STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IGEB,2021-12-31,WORST,2022-01-06,11436.154,659123.255,670559.409
IGEB,2021-12-31,WORST,2022-01-10,5221.923,0.000,5221.923
IGEB,2021-12-31,WORST,2022-01-14,2417.308,0.000,2417.308
IGEB,2021-12-31,WORST,2022-01-18,106863.847,0.000,106863.847
IGEB,2021-12-31,WORST,2022-01-20,2460.000,0.000,2460.000
IGEB,2021-12-31,WORST,2022-01-21,127.137,0.000,127.137
IGEB,2021-12-31,WORST,2022-01-24,5996.154,0.000,5996.154
IGEB,2021-12-31,WORST,2022-01-25,11591.277,0.000,11591.277
IGEB,2021-12-31,WORST,2022-01-31,10551.538,0.000,10551.538
IGEB,2021-12-31,WORST,2022-02-01,21807.462,0.000,21807.462
IGEB,2021-12-31,WORST,2022-02-07,10039.746,0.000,10039.746
IGEB,2021-12-31,WORST,2022-02-09,3254.615,0.000,3254.615
IGEB,2021-12-31,WORST,2022-02-10,879.231,0.000,879.231
IGEB,2021-12-31,WORST,2022-02-14,7220.000,0.000,7220.000
IGEB,2021-12-31,WORST,2022-02-15,51507.506,0.000,51507.506
IGEB,2021-12-31,WORST,2022-02-16,817.200,0.000,817.200
IGEB,2021-12-31,WORST,2022-02-17,856.731,0.000,856.731
IGEB,2021-12-31,WORST,2022-02-18,3369.615,0.000,3369.615
IGEB,2021-12-31,WORST,2022-02-22,5456.769,0.000,5456.769
IGEB,2021-12-31,WORST,2022-02-23,955.385,0.000,955.385
IGEB,2021-12-31,WORST,2022-02-24,1000.000,0.000,1000.000
IGEB,2021-12-31,WORST,2022-02-25,1730.769,0.000,1730.769
IGEB,2021-12-31,WORST,2022-02-28,10605.769,0.000,10605.769
IGEB,2021-12-31,WORST,2022-03-01,55780.196,0.000,55780.196
IGEB,2021-12-31,WORST,2022-03-02,4418.385,0.000,4418.385
IGEB,2021-12-31,WORST,2022-03-03,1506.154,0.000,1506.154
IGEB,2021-12-31,WORST,2022-03-07,591.923,0.000,591.923
IGEB,2021-12-31,WORST,2022-03-08,4928.462,0.000,4928.462
IGEB,2021-12-31,WORST,2022-03-09,6334.077,0.000,6334.077
IGEB,2021-12-31,WORST,2022-03-14,1307.692,0.000,1307.692
IGEB,2021-12-31,WORST,2022-03-15,88354.164,0.000,88354.164
IGEB,2021-12-31,WORST,2022-03-16,686.538,0.000,686.538
IGEB,2021-12-31,WORST,2022-03-17,95.769,0.000,95.769
IGEB,2021-12-31,WORST,2022-03-18,338.462,0.000,338.462
IGEB,2021-12-31,WORST,2022-03-21,4129.615,0.000,4129.615
IGEB,2021-12-31,WORST,2022-03-23,2123.462,0.000,2123.462
IGEB,2021-12-31,WORST,2022-03-25,7819.723,0.000,7819.723
IGEB,2021-12-31,WORST,2022-03-29,5185.769,0.000,5185.769
IGEB,2021-12-31,WORST,2022-04-01,55571.115,0.000,55571.115
IGEB,2021-12-31,WORST,2022-04-04,5231.492,0.000,5231.492
IGEB,2021-12-31,WORST,2022-04-06,955.385,0.000,955.385
IGEB,2021-12-31,WORST,2022-04-12,552.885,0.000,552.885
IGEB,2021-12-31,WORST,2022-04-13,426.923,0.000,426.923
IGEB,2021-12-31,WORST,2022-04-15,65250.362,0.000,65250.362
IGEB,2021-12-31,WORST,2022-04-18,6865.385,0.000,6865.385
IGEB,2021-12-31,WORST,2022-04-19,5573.077,0.000,5573.077
IGEB,2021-12-31,WORST,2022-04-22,1283.246,0.000,1283.246
IGEB,2021-12-31,WORST,2022-04-25,15025.592,0.000,15025.592
IGEB,2021-12-31,WORST,2022-04-28,3887.115,0.000,3887.115
IGEB,2021-12-31,WORST,2022-04-29,214.615,0.000,214.615
IGEB,2021-12-31,WORST,2022-05-02,51387.922,0.000,51387.922
IGEB,2021-12-31,WORST,2022-05-09,3070.000,0.000,3070.000
IGEB,2021-12-31,WORST,2022-05-13,4280.000,0.000,4280.000
IGEB,2021-12-31,WORST,2022-05-16,52997.656,0.000,52997.656
IGEB,2021-12-31,WORST,2022-05-18,5100.308,0.000,5100.308
IGEB,2021-12-31,WORST,2022-05-19,6683.846,0.000,6683.846
IGEB,2021-12-31,WORST,2022-05-20,1500.000,0.000,1500.000
IGEB,2021-12-31,WORST,2022-05-23,6607.308,0.000,6607.308
IGEB,2021-12-31,WORST,2022-05-25,12700.500,0.000,12700.500
IGEB,2021-12-31,WORST,2022-05-26,2202.454,0.000,2202.454
IGEB,2021-12-31,WORST,2022-05-31,10960.385,0.000,10960.385
IGEB,2021-12-31,WORST,2022-06-01,72015.672,0.000,72015.672
IGEB,2021-12-31,WORST,2022-06-06,6857.146,0.000,6857.146
IGEB,2021-12-31,WORST,2022-06-09,2015.385,0.000,2015.385
IGEB,2021-12-31,WORST,2022-06-13,1717.692,0.000,1717.692
IGEB,2021-12-31,WORST,2022-06-15,67299.186,0.000,67299.186
IGEB,2021-12-31,WORST,2022-06-17,6760.000,0.000,6760.000
IGEB,2021-12-31,WORST,2022-06-23,5815.385,0.000,5815.385
IGEB,2021-12-31,WORST,2022-06-30,1195.385,0.000,1195.385
IGEB,2021-12-31,WORST,2022-07-01,13386.154,240000.000,253386.154
IGEB,2021-12-31,WORST,2022-07-08,2981.538,0.000,2981.538
IGEB,2021-12-31,WORST,2022-07-11,2240.385,0.000,2240.385
IGEB,2021-12-31,WORST,2022-07-14,2417.308,0.000,2417.308
IGEB,2021-12-31,WORST,2022-07-15,106401.304,0.000,106401.304
IGEB,2021-12-31,WORST,2022-07-18,1315.385,0.000,1315.385
IGEB,2021-12-31,WORST,2022-07-20,2460.000,0.000,2460.000
IGEB,2021-12-31,WORST,2022-07-21,127.137,0.000,127.137
IGEB,2021-12-31,WORST,2022-07-22,1067.308,0.000,1067.308
IGEB,2021-12-31,WORST,2022-07-25,16520.123,0.000,16520.123
IGEB,2021-12-31,WORST,2022-07-29,1671.154,0.000,1671.154
IGEB,2021-12-31,WORST,2022-08-01,30687.846,0.000,30687.846
IGEB,2021-12-31,WORST,2022-08-05,6279.615,0.000,6279.615
IGEB,2021-12-31,WORST,2022-08-08,3760.131,0.000,3760.131
IGEB,2021-12-31,WORST,2022-08-09,3254.615,0.000,3254.615
IGEB,2021-12-31,WORST,2022-08-10,879.231,0.000,879.231
IGEB,2021-12-31,WORST,2022-08-15,58066.057,0.000,58066.057
IGEB,2021-12-31,WORST,2022-08-16,817.200,0.000,817.200
IGEB,2021-12-31,WORST,2022-08-17,856.731,0.000,856.731
IGEB,2021-12-31,WORST,2022-08-18,3369.615,0.000,3369.615
IGEB,2021-12-31,WORST,2022-08-19,923.077,0.000,923.077
IGEB,2021-12-31,WORST,2022-08-22,4533.692,0.000,4533.692
IGEB,2021-12-31,WORST,2022-08-23,955.385,0.000,955.385
IGEB,2021-12-31,WORST,2022-08-24,1000.000,0.000,1000.000
IGEB,2021-12-31,WORST,2022-08-25,1730.769,0.000,1730.769
IGEB,2021-12-31,WORST,2022-08-26,355.769,0.000,355.769
IGEB,2021-12-31,WORST,2022-08-29,10250.000,0.000,10250.000
IGEB,2021-12-31,WORST,2022-09-01,55689.000,120978.846,176667.846
IGEB,2021-12-31,WORST,2022-09-02,4098.846,0.000,4098.846
IGEB,2021-12-31,WORST,2022-09-06,1506.154,0.000,1506.154
IGEB,2021-12-31,WORST,2022-09-07,591.923,0.000,591.923
IGEB,2021-12-31,WORST,2022-09-08,4928.462,0.000,4928.462
IGEB,2021-12-31,WORST,2022-09-09,6334.077,0.000,6334.077
IGEB,2021-12-31,WORST,2022-09-14,1307.692,0.000,1307.692
IGEB,2021-12-31,WORST,2022-09-15,88786.369,0.000,88786.369
IGEB,2021-12-31,WORST,2022-09-16,686.538,0.000,686.538
IGEB,2021-12-31,WORST,2022-09-19,3009.231,0.000,3009.231
IGEB,2021-12-31,WORST,2022-09-20,1554.615,0.000,1554.615
IGEB,2021-12-31,WORST,2022-09-23,2123.462,0.000,2123.462
IGEB,2021-12-31,WORST,2022-09-26,7819.723,0.000,7819.723
IGEB,2021-12-31,WORST,2022-09-29,5185.769,0.000,5185.769
IGEB,2021-12-31,WORST,2022-10-03,53377.608,0.000,53377.608
IGEB,2021-12-31,WORST,2022-10-04,3525.000,0.000,3525.000
IGEB,2021-12-31,WORST,2022-10-06,955.385,0.000,955.385
IGEB,2021-12-31,WORST,2022-10-12,552.885,0.000,552.885
IGEB,2021-12-31,WORST,2022-10-13,426.923,0.000,426.923
IGEB,2021-12-31,WORST,2022-10-17,77688.823,0.000,77688.823
IGEB,2021-12-31,WORST,2022-10-24,16308.838,0.000,16308.838
IGEB,2021-12-31,WORST,2022-10-28,3887.115,0.000,3887.115
IGEB,2021-12-31,WORST,2022-10-31,214.615,0.000,214.615
IGEB,2021-12-31,WORST,2022-11-01,51286.960,0.000,51286.960
IGEB,2021-12-31,WORST,2022-11-07,1247.308,0.000,1247.308
IGEB,2021-12-31,WORST,2022-11-08,1413.462,0.000,1413.462
