STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IGOV,2021-12-31,WORST,2022-01-06,12414.276,255274.692,267688.968
IGOV,2021-12-31,WORST,2022-01-17,25474.269,0.000,25474.269
IGOV,2021-12-31,WORST,2022-01-24,5611.356,0.000,5611.356
IGOV,2021-12-31,WORST,2022-01-26,1249.397,0.000,1249.397
IGOV,2021-12-31,WORST,2022-01-31,17127.400,0.000,17127.400
IGOV,2021-12-31,WORST,2022-02-01,9242.191,0.000,9242.191
IGOV,2021-12-31,WORST,2022-02-03,3695.557,0.000,3695.557
IGOV,2021-12-31,WORST,2022-02-15,2825.276,0.000,2825.276
IGOV,2021-12-31,WORST,2022-02-17,1928.960,0.000,1928.960
IGOV,2021-12-31,WORST,2022-02-18,3016.168,0.000,3016.168
IGOV,2021-12-31,WORST,2022-02-21,5695.777,0.000,5695.777
IGOV,2021-12-31,WORST,2022-02-25,0.000,0.000,0.000
IGOV,2021-12-31,WORST,2022-02-28,556.180,0.000,556.180
IGOV,2021-12-31,WORST,2022-03-01,30985.186,0.000,30985.186
IGOV,2021-12-31,WORST,2022-03-07,5398.245,0.000,5398.245
IGOV,2021-12-31,WORST,2022-03-10,0.000,0.000,0.000
IGOV,2021-12-31,WORST,2022-03-14,18861.005,0.000,18861.005
IGOV,2021-12-31,WORST,2022-03-15,8889.419,0.000,8889.419
IGOV,2021-12-31,WORST,2022-03-18,5559.956,0.000,5559.956
IGOV,2021-12-31,WORST,2022-03-21,5697.234,0.000,5697.234
IGOV,2021-12-31,WORST,2022-03-22,24690.298,0.000,24690.298
IGOV,2021-12-31,WORST,2022-03-25,0.000,0.000,0.000
IGOV,2021-12-31,WORST,2022-03-28,19893.017,0.000,19893.017
IGOV,2021-12-31,WORST,2022-03-30,4978.580,0.000,4978.580
IGOV,2021-12-31,WORST,2022-03-31,24514.810,0.000,24514.810
IGOV,2021-12-31,WORST,2022-04-01,2962.196,0.000,2962.196
IGOV,2021-12-31,WORST,2022-04-05,0.000,0.000,0.000
IGOV,2021-12-31,WORST,2022-04-11,0.000,0.000,0.000
IGOV,2021-12-31,WORST,2022-04-14,0.000,0.000,0.000
IGOV,2021-12-31,WORST,2022-04-19,7673.162,0.000,7673.162
IGOV,2021-12-31,WORST,2022-04-20,575.975,0.000,575.975
IGOV,2021-12-31,WORST,2022-04-21,14236.529,0.000,14236.529
IGOV,2021-12-31,WORST,2022-04-22,2905.045,0.000,2905.045
IGOV,2021-12-31,WORST,2022-04-25,19971.345,0.000,19971.345
