STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IGSB,2021-12-31,WORST,2022-01-06,10374.755,460404.115,470778.870
IGSB,2021-12-31,WORST,2022-01-07,398.448,0.000,398.448
IGSB,2021-12-31,WORST,2022-01-10,8793.397,0.000,8793.397
IGSB,2021-12-31,WORST,2022-01-11,3304.130,0.000,3304.130
IGSB,2021-12-31,WORST,2022-01-12,4463.400,0.000,4463.400
IGSB,2021-12-31,WORST,2022-01-13,1860.971,0.000,1860.971
IGSB,2021-12-31,WORST,2022-01-14,2649.897,0.000,2649.897
IGSB,2021-12-31,WORST,2022-01-18,43399.381,0.000,43399.381
IGSB,2021-12-31,WORST,2022-01-19,2407.062,0.000,2407.062
IGSB,2021-12-31,WORST,2022-01-20,3744.618,0.000,3744.618
IGSB,2021-12-31,WORST,2022-01-21,2733.407,0.000,2733.407
IGSB,2021-12-31,WORST,2022-01-24,20895.865,0.000,20895.865
IGSB,2021-12-31,WORST,2022-01-25,3311.964,0.000,3311.964
IGSB,2021-12-31,WORST,2022-01-26,2825.567,0.000,2825.567
IGSB,2021-12-31,WORST,2022-01-27,3750.065,0.000,3750.065
IGSB,2021-12-31,WORST,2022-01-28,2831.182,0.000,2831.182
IGSB,2021-12-31,WORST,2022-01-30,21.511,10773.371,10794.881
IGSB,2021-12-31,WORST,2022-01-31,8914.128,0.000,8914.128
IGSB,2021-12-31,WORST,2022-02-01,19039.873,0.000,19039.873
IGSB,2021-12-31,WORST,2022-02-02,739.668,0.000,739.668
IGSB,2021-12-31,WORST,2022-02-03,1545.756,0.000,1545.756
IGSB,2021-12-31,WORST,2022-02-04,3268.847,21544.402,24813.249
IGSB,2021-12-31,WORST,2022-02-07,5138.654,0.000,5138.654
IGSB,2021-12-31,WORST,2022-02-08,2457.592,0.000,2457.592
IGSB,2021-12-31,WORST,2022-02-09,2509.068,0.000,2509.068
IGSB,2021-12-31,WORST,2022-02-10,3644.960,0.000,3644.960
IGSB,2021-12-31,WORST,2022-02-11,3239.888,0.000,3239.888
IGSB,2021-12-31,WORST,2022-02-14,6561.586,0.000,6561.586
IGSB,2021-12-31,WORST,2022-02-15,27369.914,0.000,27369.914
IGSB,2021-12-31,WORST,2022-02-16,2673.270,0.000,2673.270
IGSB,2021-12-31,WORST,2022-02-17,1518.114,0.000,1518.114
IGSB,2021-12-31,WORST,2022-02-18,1670.422,0.000,1670.422
IGSB,2021-12-31,WORST,2022-02-22,6300.758,0.000,6300.758
IGSB,2021-12-31,WORST,2022-02-23,2644.689,0.000,2644.689
IGSB,2021-12-31,WORST,2022-02-24,529.874,0.000,529.874
IGSB,2021-12-31,WORST,2022-02-25,3091.265,0.000,3091.265
IGSB,2021-12-31,WORST,2022-02-28,4493.044,0.000,4493.044
IGSB,2021-12-31,WORST,2022-03-01,23832.505,0.000,23832.505
IGSB,2021-12-31,WORST,2022-03-02,1442.134,0.000,1442.134
IGSB,2021-12-31,WORST,2022-03-03,2675.718,0.000,2675.718
IGSB,2021-12-31,WORST,2022-03-04,1781.909,0.000,1781.909
IGSB,2021-12-31,WORST,2022-03-07,5203.113,0.000,5203.113
IGSB,2021-12-31,WORST,2022-03-08,2918.833,0.000,2918.833
IGSB,2021-12-31,WORST,2022-03-09,3713.790,0.000,3713.790
IGSB,2021-12-31,WORST,2022-03-10,4591.470,0.000,4591.470
IGSB,2021-12-31,WORST,2022-03-11,5898.223,0.000,5898.223
IGSB,2021-12-31,WORST,2022-03-14,12947.209,0.000,12947.209
IGSB,2021-12-31,WORST,2022-03-15,38012.380,0.000,38012.380
IGSB,2021-12-31,WORST,2022-03-16,3993.555,0.000,3993.555
IGSB,2021-12-31,WORST,2022-03-17,3104.203,0.000,3104.203
IGSB,2021-12-31,WORST,2022-03-18,2685.790,0.000,2685.790
IGSB,2021-12-31,WORST,2022-03-21,9135.578,0.000,9135.578
IGSB,2021-12-31,WORST,2022-03-22,3556.422,0.000,3556.422
IGSB,2021-12-31,WORST,2022-03-23,2217.360,0.000,2217.360
IGSB,2021-12-31,WORST,2022-03-24,5289.552,0.000,5289.552
IGSB,2021-12-31,WORST,2022-03-25,3620.960,0.000,3620.960
IGSB,2021-12-31,WORST,2022-03-28,6671.156,0.000,6671.156
IGSB,2021-12-31,WORST,2022-03-29,3413.364,0.000,3413.364
IGSB,2021-12-31,WORST,2022-03-30,2112.926,0.000,2112.926
IGSB,2021-12-31,WORST,2022-03-31,1152.225,0.000,1152.225
IGSB,2021-12-31,WORST,2022-04-01,28571.221,0.000,28571.221
IGSB,2021-12-31,WORST,2022-04-04,6015.050,0.000,6015.050
IGSB,2021-12-31,WORST,2022-04-05,1867.268,0.000,1867.268
IGSB,2021-12-31,WORST,2022-04-06,3115.447,0.000,3115.447
IGSB,2021-12-31,WORST,2022-04-07,1282.736,0.000,1282.736
IGSB,2021-12-31,WORST,2022-04-08,2583.664,0.000,2583.664
IGSB,2021-12-31,WORST,2022-04-11,6756.642,0.000,6756.642
