STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
INMU,2021-12-31,WORST,2022-01-06,76817.624,2209311.220,2286128.844
INMU,2021-12-31,WORST,2022-01-18,7000.000,0.000,7000.000
INMU,2021-12-31,WORST,2022-01-20,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-02-01,2104.343,0.000,2104.343
INMU,2021-12-31,WORST,2022-02-15,2500.000,0.000,2500.000
INMU,2021-12-31,WORST,2022-02-22,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-03-01,22918.246,4079.054,26997.300
INMU,2021-12-31,WORST,2022-03-21,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-04-01,44847.842,0.000,44847.842
INMU,2021-12-31,WORST,2022-04-20,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-04-30,282.951,190000.000,190282.951
INMU,2021-12-31,WORST,2022-05-02,44439.134,96956.299,141395.434
INMU,2021-12-31,WORST,2022-05-16,39546.528,0.000,39546.528
INMU,2021-12-31,WORST,2022-05-20,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-06-01,73904.559,250000.000,323904.559
INMU,2021-12-31,WORST,2022-06-15,26350.000,0.000,26350.000
INMU,2021-12-31,WORST,2022-06-21,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-07-01,74364.636,400000.000,474364.636
INMU,2021-12-31,WORST,2022-07-05,286.834,0.000,286.834
INMU,2021-12-31,WORST,2022-07-15,7000.000,0.000,7000.000
INMU,2021-12-31,WORST,2022-07-20,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-08-01,2122.842,0.000,2122.842
INMU,2021-12-31,WORST,2022-08-15,2500.000,0.000,2500.000
INMU,2021-12-31,WORST,2022-08-22,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-09-01,23016.592,0.000,23016.592
INMU,2021-12-31,WORST,2022-09-20,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-10-03,43113.002,250000.000,293113.002
INMU,2021-12-31,WORST,2022-10-20,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-10-31,5000.000,0.000,5000.000
INMU,2021-12-31,WORST,2022-11-01,38137.132,0.000,38137.132
INMU,2021-12-31,WORST,2022-11-15,38968.750,650000.000,688968.750
INMU,2021-12-31,WORST,2022-11-21,721.342,0.000,721.342
INMU,2021-12-31,WORST,2022-12-01,69120.886,0.000,69120.886
INMU,2021-12-31,WORST,2022-12-15,26350.000,0.000,26350.000
INMU,2021-12-31,WORST,2022-12-20,721.342,0.000,721.342
INMU,2021-12-31,WORST,2023-01-03,64729.713,0.000,64729.713
INMU,2021-12-31,WORST,2023-01-17,7000.000,0.000,7000.000
INMU,2021-12-31,WORST,2023-01-20,721.342,0.000,721.342
INMU,2021-12-31,WORST,2023-02-01,2068.224,0.000,2068.224
INMU,2021-12-31,WORST,2023-02-15,2500.000,0.000,2500.000
INMU,2021-12-31,WORST,2023-02-21,721.342,0.000,721.342
INMU,2021-12-31,WORST,2023-03-01,22916.994,4258.354,27175.348
