STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
ISHG,2021-12-31,WORST,2022-01-06,14809.218,434712.968,449522.186
ISHG,2021-12-31,WORST,2022-01-17,41319.264,0.000,41319.264
ISHG,2021-12-31,WORST,2022-01-24,1839.201,0.000,1839.201
ISHG,2021-12-31,WORST,2022-01-31,45609.925,0.000,45609.925
ISHG,2021-12-31,WORST,2022-02-01,10318.129,0.000,10318.129
ISHG,2021-12-31,WORST,2022-02-03,15202.119,0.000,15202.119
ISHG,2021-12-31,WORST,2022-02-15,15696.353,0.000,15696.353
ISHG,2021-12-31,WORST,2022-02-25,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-03-01,46015.691,0.000,46015.691
ISHG,2021-12-31,WORST,2022-03-07,10835.600,0.000,10835.600
ISHG,2021-12-31,WORST,2022-03-10,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-03-14,33984.352,0.000,33984.352
ISHG,2021-12-31,WORST,2022-03-15,1648.940,0.000,1648.940
ISHG,2021-12-31,WORST,2022-03-18,45990.762,0.000,45990.762
ISHG,2021-12-31,WORST,2022-03-21,45471.241,0.000,45471.241
ISHG,2021-12-31,WORST,2022-03-22,8735.366,0.000,8735.366
ISHG,2021-12-31,WORST,2022-03-25,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-03-31,57634.488,0.000,57634.488
ISHG,2021-12-31,WORST,2022-04-01,6901.511,0.000,6901.511
ISHG,2021-12-31,WORST,2022-04-05,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-04-14,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-04-19,30524.842,0.000,30524.842
ISHG,2021-12-31,WORST,2022-04-20,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-04-21,44786.280,0.000,44786.280
ISHG,2021-12-31,WORST,2022-04-22,1924.745,0.000,1924.745
ISHG,2021-12-31,WORST,2022-04-25,18823.653,0.000,18823.653
ISHG,2021-12-31,WORST,2022-05-02,37824.446,0.000,37824.446
ISHG,2021-12-31,WORST,2022-05-16,21038.200,0.000,21038.200
ISHG,2021-12-31,WORST,2022-05-23,1894.157,0.000,1894.157
ISHG,2021-12-31,WORST,2022-05-24,27426.220,0.000,27426.220
ISHG,2021-12-31,WORST,2022-05-25,40639.937,0.000,40639.937
ISHG,2021-12-31,WORST,2022-05-31,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-06-01,11772.975,0.000,11772.975
ISHG,2021-12-31,WORST,2022-06-15,897.789,0.000,897.789
ISHG,2021-12-31,WORST,2022-06-16,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-06-20,7100.041,0.000,7100.041
ISHG,2021-12-31,WORST,2022-06-22,42379.254,0.000,42379.254
ISHG,2021-12-31,WORST,2022-07-01,15933.203,0.000,15933.203
ISHG,2021-12-31,WORST,2022-07-15,34436.212,0.000,34436.212
ISHG,2021-12-31,WORST,2022-07-22,1839.201,0.000,1839.201
ISHG,2021-12-31,WORST,2022-07-29,1137.025,0.000,1137.025
ISHG,2021-12-31,WORST,2022-07-31,1400.172,0.000,1400.172
ISHG,2021-12-31,WORST,2022-08-01,27178.574,0.000,27178.574
ISHG,2021-12-31,WORST,2022-08-02,1339.592,0.000,1339.592
ISHG,2021-12-31,WORST,2022-08-15,17117.853,0.000,17117.853
ISHG,2021-12-31,WORST,2022-09-01,46063.635,0.000,46063.635
ISHG,2021-12-31,WORST,2022-09-07,10835.600,0.000,10835.600
ISHG,2021-12-31,WORST,2022-09-15,1648.940,0.000,1648.940
ISHG,2021-12-31,WORST,2022-09-20,8735.366,0.000,8735.366
ISHG,2021-12-31,WORST,2022-10-03,6901.511,0.000,6901.511
ISHG,2021-12-31,WORST,2022-10-13,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-10-17,1556.168,0.000,1556.168
ISHG,2021-12-31,WORST,2022-10-18,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2022-10-20,14873.379,0.000,14873.379
ISHG,2021-12-31,WORST,2022-10-21,56439.587,0.000,56439.587
ISHG,2021-12-31,WORST,2022-10-24,7842.973,0.000,7842.973
ISHG,2021-12-31,WORST,2022-10-25,39173.547,0.000,39173.547
ISHG,2021-12-31,WORST,2022-10-31,35544.337,0.000,35544.337
ISHG,2021-12-31,WORST,2022-11-01,19629.246,0.000,19629.246
ISHG,2021-12-31,WORST,2022-11-14,24633.312,0.000,24633.312
ISHG,2021-12-31,WORST,2022-11-15,22166.678,0.000,22166.678
ISHG,2021-12-31,WORST,2022-11-21,1894.157,0.000,1894.157
ISHG,2021-12-31,WORST,2022-11-25,13616.474,0.000,13616.474
ISHG,2021-12-31,WORST,2022-11-30,11140.497,0.000,11140.497
ISHG,2021-12-31,WORST,2022-12-01,11772.975,0.000,11772.975
ISHG,2021-12-31,WORST,2022-12-15,897.789,0.000,897.789
ISHG,2021-12-31,WORST,2022-12-20,7100.041,0.000,7100.041
ISHG,2021-12-31,WORST,2023-01-02,3561.232,0.000,3561.232
ISHG,2021-12-31,WORST,2023-01-03,12346.354,0.000,12346.354
ISHG,2021-12-31,WORST,2023-01-04,11247.986,45704.988,56952.974
ISHG,2021-12-31,WORST,2023-01-16,41319.264,766113.684,807432.948
ISHG,2021-12-31,WORST,2023-01-23,1839.201,0.000,1839.201
ISHG,2021-12-31,WORST,2023-01-30,0.000,0.000,0.000
ISHG,2021-12-31,WORST,2023-01-31,45609.925,1391292.632,1436902.556
ISHG,2021-12-31,WORST,2023-02-01,25770.930,1525571.683,1551342.613
ISHG,2021-12-31,WORST,2023-02-15,15696.353,418968.421,434664.774
ISHG,2021-12-31,WORST,2023-02-27,0.000,460865.263,460865.263
ISHG,2021-12-31,WORST,2023-03-01,46015.691,1054808.150,1100823.841
ISHG,2021-12-31,WORST,2023-03-07,10835.600,0.000,10835.600
ISHG,2021-12-31,WORST,2023-03-10,0.000,466850.526,466850.526
ISHG,2021-12-31,WORST,2023-03-14,33984.352,0.000,33984.352
ISHG,2021-12-31,WORST,2023-03-15,1648.940,347145.263,348794.203
ISHG,2021-12-31,WORST,2023-03-20,100197.369,2660025.321,2760222.691
ISHG,2021-12-31,WORST,2023-03-27,0.000,781675.368,781675.368
ISHG,2021-12-31,WORST,2023-03-30,33989.678,0.000,33989.678
ISHG,2021-12-31,WORST,2023-03-31,23644.810,556348.460,579993.270
ISHG,2021-12-31,WORST,2023-04-03,6901.511,208414.745,215316.257
