STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
ISTB,2021-12-31,WORST,2022-01-06,6779.408,244004.336,250783.745
ISTB,2021-12-31,WORST,2022-01-07,640.943,49.399,690.342
ISTB,2021-12-31,WORST,2022-01-10,4988.448,3516.308,8504.756
ISTB,2021-12-31,WORST,2022-01-11,1062.939,3261.734,4324.674
ISTB,2021-12-31,WORST,2022-01-12,956.388,0.000,956.388
ISTB,2021-12-31,WORST,2022-01-13,1223.399,29594.272,30817.671
ISTB,2021-12-31,WORST,2022-01-14,1319.881,0.000,1319.881
ISTB,2021-12-31,WORST,2022-01-15,1641.168,12362.276,14003.444
ISTB,2021-12-31,WORST,2022-01-16,23.071,1208.722,1231.793
ISTB,2021-12-31,WORST,2022-01-17,131.265,0.000,131.265
ISTB,2021-12-31,WORST,2022-01-18,21435.852,1581.267,23017.120
ISTB,2021-12-31,WORST,2022-01-19,1683.301,0.000,1683.301
ISTB,2021-12-31,WORST,2022-01-20,1581.803,0.000,1581.803
ISTB,2021-12-31,WORST,2022-01-21,2173.875,0.000,2173.875
ISTB,2021-12-31,WORST,2022-01-24,8312.757,0.000,8312.757
ISTB,2021-12-31,WORST,2022-01-25,5870.682,37058.702,42929.380
ISTB,2021-12-31,WORST,2022-01-26,1752.540,0.000,1752.540
ISTB,2021-12-31,WORST,2022-01-27,1183.827,0.000,1183.827
ISTB,2021-12-31,WORST,2022-01-28,1264.522,0.000,1264.522
ISTB,2021-12-31,WORST,2022-01-30,1001.025,79984.615,80985.640
ISTB,2021-12-31,WORST,2022-01-31,21684.127,0.000,21684.127
ISTB,2021-12-31,WORST,2022-02-01,9882.190,14585.478,24467.668
ISTB,2021-12-31,WORST,2022-02-02,365.788,0.000,365.788
ISTB,2021-12-31,WORST,2022-02-03,505.543,0.000,505.543
ISTB,2021-12-31,WORST,2022-02-04,1614.625,0.000,1614.625
ISTB,2021-12-31,WORST,2022-02-07,3168.230,0.000,3168.230
ISTB,2021-12-31,WORST,2022-02-08,720.739,0.000,720.739
ISTB,2021-12-31,WORST,2022-02-09,846.525,0.000,846.525
ISTB,2021-12-31,WORST,2022-02-10,2273.367,261.771,2535.138
ISTB,2021-12-31,WORST,2022-02-11,1300.783,0.000,1300.783
ISTB,2021-12-31,WORST,2022-02-14,2654.760,0.000,2654.760
ISTB,2021-12-31,WORST,2022-02-15,27738.781,50902.870,78641.651
ISTB,2021-12-31,WORST,2022-02-16,664.992,1234.374,1899.366
ISTB,2021-12-31,WORST,2022-02-17,331.111,0.000,331.111
ISTB,2021-12-31,WORST,2022-02-18,764.667,0.000,764.667
ISTB,2021-12-31,WORST,2022-02-20,9.513,0.000,9.513
ISTB,2021-12-31,WORST,2022-02-21,39.993,0.000,39.993
ISTB,2021-12-31,WORST,2022-02-22,3289.347,0.000,3289.347
ISTB,2021-12-31,WORST,2022-02-23,221.415,0.000,221.415
ISTB,2021-12-31,WORST,2022-02-24,638.046,0.000,638.046
ISTB,2021-12-31,WORST,2022-02-25,7683.716,44398.455,52082.171
ISTB,2021-12-31,WORST,2022-02-28,21114.525,0.000,21114.525
ISTB,2021-12-31,WORST,2022-03-01,10805.698,25010.757,35816.455
ISTB,2021-12-31,WORST,2022-03-02,512.938,0.000,512.938
ISTB,2021-12-31,WORST,2022-03-03,1082.454,0.000,1082.454
