STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
MEAR,2021-12-31,WORST,2022-01-06,64274.185,21191517.257,21255791.442
MEAR,2021-12-31,WORST,2022-01-18,8823.529,0.000,8823.529
MEAR,2021-12-31,WORST,2022-02-01,20623.901,0.000,20623.901
MEAR,2021-12-31,WORST,2022-02-15,4684.874,0.000,4684.874
MEAR,2021-12-31,WORST,2022-03-01,86065.180,710084.034,796149.213
MEAR,2021-12-31,WORST,2022-03-16,590.122,1495798.319,1496388.442
MEAR,2021-12-31,WORST,2022-04-01,67566.734,1224369.748,1291936.482
MEAR,2021-12-31,WORST,2022-04-15,10307.563,0.000,10307.563
MEAR,2021-12-31,WORST,2022-04-29,1340.803,134453.782,135794.584
MEAR,2021-12-31,WORST,2022-05-02,23013.300,224369.748,247383.048
MEAR,2021-12-31,WORST,2022-05-16,7701.680,117647.059,125348.739
MEAR,2021-12-31,WORST,2022-05-18,1378.151,137815.126,139193.277
MEAR,2021-12-31,WORST,2022-06-01,131301.507,1721848.739,1853150.246
MEAR,2021-12-31,WORST,2022-06-02,554.622,0.000,554.622
MEAR,2021-12-31,WORST,2022-06-14,1655.053,165966.387,167621.440
MEAR,2021-12-31,WORST,2022-06-15,63809.874,700840.336,764650.210
MEAR,2021-12-31,WORST,2022-07-01,55327.689,3211764.706,3267092.395
MEAR,2021-12-31,WORST,2022-07-13,2477.384,248428.571,250905.956
MEAR,2021-12-31,WORST,2022-07-15,8823.529,151260.504,160084.034
MEAR,2021-12-31,WORST,2022-07-22,2184.874,218487.395,220672.269
MEAR,2021-12-31,WORST,2022-08-01,20613.355,299159.664,319773.018
MEAR,2021-12-31,WORST,2022-08-15,4684.874,204201.681,208886.555
MEAR,2021-12-31,WORST,2022-08-19,260.504,336134.454,336394.958
MEAR,2021-12-31,WORST,2022-09-01,68380.161,434453.782,502833.943
MEAR,2021-12-31,WORST,2022-10-03,50499.351,325210.084,375709.435
MEAR,2021-12-31,WORST,2022-10-17,223.529,0.000,223.529
MEAR,2021-12-31,WORST,2022-11-01,17877.899,208403.361,226281.261
MEAR,2021-12-31,WORST,2022-11-15,5739.496,234453.782,240193.277
MEAR,2021-12-31,WORST,2022-12-01,94034.625,2575630.252,2669664.877
MEAR,2021-12-31,WORST,2022-12-02,554.622,0.000,554.622
MEAR,2021-12-31,WORST,2022-12-15,46288.866,761344.538,807633.403
MEAR,2021-12-31,WORST,2023-01-03,12711.835,0.000,12711.835
MEAR,2021-12-31,WORST,2023-01-17,5042.017,336134.454,341176.471
MEAR,2021-12-31,WORST,2023-02-01,10527.479,0.000,10527.479
MEAR,2021-12-31,WORST,2023-03-01,64634.508,361344.538,425979.045
MEAR,2021-12-31,WORST,2023-04-01,3863.658,390756.303,394619.960
MEAR,2021-12-31,WORST,2023-04-03,42442.928,216806.723,259249.650
MEAR,2021-12-31,WORST,2023-04-17,223.529,0.000,223.529
MEAR,2021-12-31,WORST,2023-05-01,12645.457,0.000,12645.457
MEAR,2021-12-31,WORST,2023-05-15,1050.420,0.000,1050.420
MEAR,2021-12-31,WORST,2023-05-25,1104.713,336134.454,337239.166
