STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
MUB,2021-12-31,WORST,2022-01-06,399276.391,3215297.823,3614574.214
MUB,2021-12-31,WORST,2022-01-18,54998.540,24907.664,79906.204
MUB,2021-12-31,WORST,2022-01-20,166.718,18467.221,18633.939
MUB,2021-12-31,WORST,2022-01-30,1156.788,92774.700,93931.488
MUB,2021-12-31,WORST,2022-02-01,268150.595,454916.898,723067.493
MUB,2021-12-31,WORST,2022-02-08,8.977,4616.805,4625.782
MUB,2021-12-31,WORST,2022-02-14,0.853,46.168,47.021
MUB,2021-12-31,WORST,2022-02-15,108466.354,220567.867,329034.221
MUB,2021-12-31,WORST,2022-03-01,150559.433,294990.766,445550.200
MUB,2021-12-31,WORST,2022-03-15,151828.925,387234.534,539063.459
MUB,2021-12-31,WORST,2022-04-01,241415.738,576154.201,817569.939
MUB,2021-12-31,WORST,2022-04-15,43245.614,62326.870,105572.484
MUB,2021-12-31,WORST,2022-05-02,250469.267,413296.399,663765.666
MUB,2021-12-31,WORST,2022-05-16,180905.480,242451.524,423357.004
MUB,2021-12-31,WORST,2022-06-01,225043.119,599992.413,825035.533
MUB,2021-12-31,WORST,2022-06-15,147990.362,427054.478,575044.841
MUB,2021-12-31,WORST,2022-06-23,5687.904,145429.363,151117.267
MUB,2021-12-31,WORST,2022-06-29,3738.843,99261.311,103000.154
MUB,2021-12-31,WORST,2022-06-30,2765.143,87719.298,90484.441
MUB,2021-12-31,WORST,2022-07-01,396267.769,1671438.687,2067706.456
MUB,2021-12-31,WORST,2022-07-15,58020.716,145683.287,203704.003
MUB,2021-12-31,WORST,2022-08-01,262244.463,747343.675,1009588.138
MUB,2021-12-31,WORST,2022-08-15,103633.900,525392.428,629026.329
MUB,2021-12-31,WORST,2022-09-01,146751.355,444999.077,591750.432
MUB,2021-12-31,WORST,2022-09-15,142426.506,105170.822,247597.328
MUB,2021-12-31,WORST,2022-10-03,228743.320,800155.384,1028898.704
MUB,2021-12-31,WORST,2022-10-17,41771.699,11934.441,53706.140
MUB,2021-12-31,WORST,2022-11-01,241810.394,883125.577,1124935.971
MUB,2021-12-31,WORST,2022-11-15,174793.860,472276.085,647069.945
MUB,2021-12-31,WORST,2022-12-01,208674.191,457548.476,666222.667
MUB,2021-12-31,WORST,2022-12-15,137364.439,462396.122,599760.561
MUB,2021-12-31,WORST,2023-01-03,353756.151,388157.895,741914.045
MUB,2021-12-31,WORST,2023-01-17,54188.366,9233.610,63421.976
MUB,2021-12-31,WORST,2023-02-01,244537.050,457686.981,702224.030
MUB,2021-12-31,WORST,2023-02-07,53.791,51777.470,51831.261
MUB,2021-12-31,WORST,2023-02-15,90444.714,265604.801,356049.515
MUB,2021-12-31,WORST,2023-03-01,135025.963,589081.256,724107.218
MUB,2021-12-31,WORST,2023-03-15,140128.030,480170.822,620298.852
MUB,2021-12-31,WORST,2023-04-03,209885.068,462280.702,672165.770
MUB,2021-12-31,WORST,2023-04-17,41473.338,1662.050,43135.388
MUB,2021-12-31,WORST,2023-04-20,270.917,30009.234,30280.150
MUB,2021-12-31,WORST,2023-05-01,220077.360,367428.440,587505.800
MUB,2021-12-31,WORST,2023-05-15,163273.661,558656.510,721930.171
MUB,2021-12-31,WORST,2023-06-01,197441.331,591803.524,789244.855
MUB,2021-12-31,WORST,2023-06-15,126202.216,419367.498,545569.714
MUB,2021-12-31,WORST,2023-07-03,343699.906,825472.315,1169172.222
