iShares National Muni Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Sep 07, 2007"
Shares Outstanding,"216,600,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"BLACKROCK LIQ MUNICASH CL INS MMF","Cash and/or Derivatives","Money Market","240,882,945.86","0.96","240,882,945.86","240,858,860.00","09248U841","US09248U8412","B0BW5H6","1.00","United States","-","USD","0.04","0.13","1.00","-","0.10","0.04","-","0.13","0.04","0.13","USD","-","Feb 23, 1984"
"SACRAMENTO CALIF MUN UTIL DIST","Utility","Fixed Income","42,049,520.19","0.17","42,049,520.19","32,230,000.00","786005C97","US786005C978","-","128.58","United States","-","USD","10.26","3.43","1.00","Aug 15, 2050","5.00","15.94","-","1.46","7.16","1.46","USD","May 07, 2020","May 07, 2020"
"NEW YORK ST URBAN DEV CORP ST","State Tax-Backed","Fixed Income","38,036,104.59","0.15","38,036,104.59","34,215,000.00","64985TBV2","US64985TBV26","-","110.20","United States","-","USD","2.10","0.35","1.00","Mar 15, 2024","5.00","2.10","-","0.35","2.10","0.35","USD","Oct 21, 2021","Oct 21, 2021"
"PENNSYLVANIA ST","State Tax-Backed","Fixed Income","37,774,926.61","0.15","37,774,926.61","32,580,000.00","70914PJ86","US70914PJ865","-","113.45","United States","-","USD","2.77","0.48","1.00","Jan 01, 2025","5.00","2.77","-","0.48","2.77","0.48","USD","Nov 16, 2017","Nov 16, 2017"
"MASSACHUSETTS ST SCH BLDG AUTH","Prerefund/Escrow","Fixed Income","37,406,921.72","0.15","37,406,921.72","35,670,000.00","576000NH2","US576000NH21","-","102.98","United States","-","USD","0.61","0.20","1.00","Aug 15, 2022","5.00","0.61","-","0.20","0.61","0.20","USD","Oct 30, 2012","Oct 30, 2012"
"FOOTHILL / EASTERN TRANSN CORR","Transportation","Fixed Income","37,293,717.65","0.15","37,293,717.65","31,500,000.00","345105JH4","US345105JH47","-","116.55","United States","-","USD","11.08","3.03","1.00","Jan 15, 2046","4.00","15.22","-","1.99","7.60","1.99","USD","Feb 09, 2021","Feb 09, 2021"
"MULTNOMAH CNTY ORE","Local Tax-Backed","Fixed Income","37,012,404.67","0.15","37,012,404.67","30,000,000.00","625506QG8","US625506QG80","-","123.15","United States","-","USD","4.89","0.67","1.00","Jun 15, 2027","5.00","4.89","-","0.67","4.89","0.67","USD","Jan 26, 2021","Jan 26, 2021"
"WASHINGTON ST","State Tax-Backed","Fixed Income","35,746,664.14","0.14","35,746,664.14","26,500,000.00","93974ERS7","US93974ERS71","-","133.05","United States","-","USD","9.43","2.44","1.00","Aug 01, 2037","5.00","11.39","-","1.32","7.86","1.32","USD","Aug 18, 2021","Aug 18, 2021"
"METROPOLITAN WTR DIST SOUTHN C","Utility","Fixed Income","35,492,004.90","0.14","35,492,004.90","27,000,000.00","59266TTJ0","US59266TTJ06","-","130.20","United States","-","USD","10.77","3.38","1.00","Oct 01, 2051","5.00","16.47","-","1.49","7.64","1.49","USD","Feb 04, 2021","Feb 04, 2021"
"TEXAS ST","State Tax-Backed","Fixed Income","35,198,331.08","0.14","35,198,331.08","30,150,000.00","882723ZQ5","US882723ZQ57","-","115.49","United States","-","USD","5.69","3.63","1.00","Oct 01, 2036","5.00","10.63","-","0.80","3.44","0.80","USD","Sep 30, 2015","Sep 30, 2015"
"DENVER COLO CITY & CNTY","Local Tax-Backed","Fixed Income","32,851,955.50","0.13","32,851,955.50","24,375,000.00","249164QW7","US249164QW74","-","132.69","United States","-","USD","7.15","1.01","1.00","Aug 01, 2030","5.00","7.17","-","1.01","7.17","1.01","USD","Dec 03, 2020","Dec 03, 2020"
"LOS ANGELES CALIF","Cash and/or Derivatives","Cash","32,710,724.55","0.13","32,710,724.55","31,500,000.00","544351PL7","US544351PL75","-","101.84","United States","-","USD","0.48","0.14","1.00","Jun 23, 2022","4.00","0.48","-","0.14","0.48","0.14","USD","Jul 01, 2021","Jul 01, 2021"
"NORTH TEX TWY AUTH REV","Transportation","Fixed Income","32,455,832.15","0.13","32,455,832.15","26,025,000.00","66285WUY0","US66285WUY01","-","122.21","United States","-","USD","7.94","3.50","1.00","Jan 01, 2043","5.00","13.15","-","1.16","5.21","1.16","USD","Nov 01, 2017","Nov 01, 2017"
"GRAND PARKWAY TRANSN CORP TEX","Transportation","Fixed Income","32,174,099.28","0.13","32,174,099.28","27,400,000.00","38611TCB1","US38611TCB17","-","116.42","United States","-","USD","10.68","3.03","1.00","Oct 01, 2045","4.00","15.16","-","1.84","7.08","1.84","USD","Feb 27, 2020","Feb 27, 2020"
"NEW YORK N Y CITY TRANSITIONAL","Local Tax-Backed","Fixed Income","31,087,648.38","0.12","31,087,648.38","26,250,000.00","64971XQM3","US64971XQM38","-","117.76","United States","-","USD","10.93","2.94","1.00","May 01, 2045","4.00","15.09","-","1.81","7.54","1.81","USD","May 20, 2020","May 20, 2020"
"METROPOLITAN COUNCIL MINN MINN","Local Tax-Backed","Fixed Income","30,933,080.40","0.12","30,933,080.40","29,510,000.00","591852Y93","US591852Y931","-","104.41","United States","-","USD","0.91","0.19","1.00","Dec 01, 2022","5.00","0.90","-","0.19","0.90","0.19","USD","May 05, 2021","May 05, 2021"
"MASSACHUSETTS ST SCH BLDG AUTH","Prerefund/Escrow","Fixed Income","30,837,216.46","0.12","30,837,216.46","25,710,000.00","576000WY5","US576000WY52","-","118.05","United States","-","USD","3.75","0.56","1.00","Feb 15, 2026","5.00","3.74","-","0.56","3.74","0.56","USD","Jul 31, 2019","Jul 31, 2019"
"NEW YORK N Y","Cash and/or Derivatives","Cash","30,001,684.93","0.12","30,001,684.93","30,000,000.00","64966ML98","US64966ML981","-","100.00","United States","-","USD","0.00","0.06","1.00","Dec 01, 2047","0.06","0.00","-","0.06","0.00","0.06","USD","Dec 18, 2018","Dec 18, 2018"
"CONNECTICUT ST","State Tax-Backed","Fixed Income","29,892,625.50","0.12","29,892,625.50","27,000,000.00","20772JD82","US20772JD823","-","110.54","United States","-","USD","5.38","2.91","1.00","Jun 15, 2033","4.00","9.28","-","0.90","3.25","0.90","USD","May 28, 2015","May 28, 2015"
"NEW JERSEY ST TPK AUTH TPK REV","Transportation","Fixed Income","29,866,847.50","0.12","29,866,847.50","25,000,000.00","646140DK6","US646140DK61","-","117.47","United States","-","USD","11.67","3.08","1.00","Jan 01, 2051","4.00","17.43","-","1.88","7.57","1.88","USD","Feb 04, 2021","Feb 04, 2021"
"NEW YORK N Y CITY MUN WTR FIN","Prerefund/Escrow","Fixed Income","29,731,155.42","0.12","29,731,155.42","29,035,000.00","64972GVQ4","US64972GVQ45","-","102.18","United States","-","USD","0.45","0.22","1.00","Jun 15, 2022","5.00","0.46","-","0.22","0.46","0.22","USD","Dec 12, 2019","Dec 12, 2019"
"CONTRA COSTA CALIF CMNTY COLLE","School Districts","Fixed Income","29,663,254.52","0.12","29,663,254.52","26,965,000.00","212204HZ7","US212204HZ72","-","108.34","United States","-","USD","5.13","3.37","1.00","Aug 01, 2039","4.00","11.63","-","0.73","2.44","0.73","USD","Aug 27, 2014","Aug 27, 2014"
"CONROE TEX INDPT SCH DIST","School Districts","Fixed Income","28,954,179.75","0.12","28,954,179.75","22,370,000.00","208418T52","US208418T522","-","127.54","United States","-","USD","6.10","0.99","1.00","Feb 15, 2029","5.00","6.10","-","0.99","6.10","0.99","USD","Nov 17, 2020","Nov 01, 2020"
"PENNSYLVANIA ST TPK COMMN TPK","Transportation","Fixed Income","28,400,129.45","0.11","28,400,129.45","24,270,000.00","709224QG7","US709224QG75","-","116.60","United States","-","USD","7.21","3.95","1.00","Dec 01, 2046","5.00","14.31","-","1.14","4.02","1.14","USD","Jun 21, 2016","Jun 21, 2016"
"SAN FRANCISCO CALIF CITY & CNT","Transportation","Fixed Income","28,037,097.54","0.11","28,037,097.54","22,605,000.00","79766DSC4","US79766DSC47","-","123.20","United States","-","USD","9.49","3.68","1.00","May 01, 2050","5.00","15.57","-","1.63","6.27","1.63","USD","Sep 10, 2019","Sep 10, 2019"
"NEW JERSEY ST","State Tax-Backed","Fixed Income","28,029,537.07","0.11","28,029,537.07","22,000,000.00","646039YN1","US646039YN18","-","126.99","United States","-","USD","6.38","1.19","1.00","Jun 01, 2029","5.00","6.38","-","1.19","6.38","1.19","USD","Nov 24, 2020","Nov 24, 2020"
"NORTH TEX TWY AUTH REV","Transportation","Fixed Income","27,713,488.17","0.11","27,713,488.17","21,820,000.00","66285WZA7","US66285WZA79","-","124.51","United States","-","USD","8.12","3.05","1.00","Jan 01, 2038","5.00","11.36","-","1.32","5.96","1.32","USD","Aug 15, 2019","Aug 15, 2019"
"SAN DIEGO CALIF UNI SCH DIST","School Districts","Fixed Income","27,441,131.15","0.11","27,441,131.15","22,710,000.00","797356BB7","US797356BB72","-","118.83","United States","-","USD","11.29","3.01","1.00","Jul 01, 2050","4.00","17.68","-","1.62","7.23","1.62","USD","Aug 27, 2020","Aug 27, 2020"
"MARYLAND ST TRANSN AUTH TRANSN","Transportation","Fixed Income","27,180,011.09","0.11","27,180,011.09","20,265,000.00","574300NW5","US574300NW57","-","130.46","United States","-","USD","10.30","3.20","1.00","Jul 01, 2046","5.00","14.32","-","1.54","7.67","1.54","USD","Apr 07, 2021","Apr 07, 2021"
"NASSAU CNTY N Y INTERIM FIN AU","Local Tax-Backed","Fixed Income","27,117,925.78","0.11","27,117,925.78","20,000,000.00","631663QU8","US631663QU89","-","134.95","United States","-","USD","7.93","1.23","1.00","Nov 15, 2031","5.00","8.14","-","1.07","7.81","1.07","USD","Feb 17, 2021","Feb 17, 2021"
"NEW JERSEY ST","State Tax-Backed","Fixed Income","26,928,421.59","0.11","26,928,421.59","21,605,000.00","646039YM3","US646039YM35","-","124.22","United States","-","USD","5.63","1.08","1.00","Jun 01, 2028","5.00","5.62","-","1.08","5.62","1.08","USD","Nov 24, 2020","Nov 24, 2020"
"NEW YORK ST URBAN DEV CORP ST","State Tax-Backed","Fixed Income","26,710,438.44","0.11","26,710,438.44","20,000,000.00","64985TCH2","US64985TCH23","-","132.58","United States","-","USD","9.16","2.30","1.00","Mar 15, 2036","5.00","10.71","-","1.40","7.98","1.40","USD","Oct 21, 2021","Oct 21, 2021"
"NEW YORK ST DORM AUTH ST PERS","State Tax-Backed","Fixed Income","26,337,336.11","0.10","26,337,336.11","25,000,000.00","64990EW94","US64990EW944","-","104.39","United States","-","USD","4.09","2.85","1.00","Mar 15, 2035","3.25","10.65","-","0.66","1.65","0.66","USD","Sep 11, 2015","Sep 11, 2015"
"SALT RIV PROJ AGRIC IMPT & PWR","Utility","Fixed Income","26,308,261.68","0.10","26,308,261.68","19,900,000.00","79574CEP4","US79574CEP41","-","129.70","United States","-","USD","9.91","3.17","1.00","Jan 01, 2045","5.00","13.86","-","1.46","7.40","1.46","USD","Oct 15, 2020","Oct 15, 2020"
"NEW JERSEY ST","State Tax-Backed","Fixed Income","25,976,726.71","0.10","25,976,726.71","22,580,000.00","646039YJ0","US646039YJ06","-","114.63","United States","-","USD","3.19","0.66","1.00","Jun 01, 2025","5.00","3.18","-","0.66","3.18","0.66","USD","Nov 24, 2020","Nov 24, 2020"
"SAN FRANCISCO CALIF CITY & CNT","Utility","Fixed Income","25,915,922.50","0.10","25,915,922.50","25,000,000.00","79768HCG1","US79768HCG11","-","102.66","United States","-","USD","2.66","3.81","1.00","Oct 01, 2042","4.00","13.61","-","0.44","0.74","0.44","USD","Feb 27, 2013","Feb 27, 2013"
"METROPOLITAN WTR DIST SOUTHN C","Utility","Fixed Income","25,910,436.15","0.10","25,910,436.15","19,505,000.00","59266TSR3","US59266TSR31","-","130.34","United States","-","USD","9.24","2.87","1.00","Jul 01, 2040","5.00","12.70","-","1.23","7.07","1.23","USD","Jul 01, 2020","Jul 01, 2020"
"NEW YORK ST DORM AUTH ST PERS","State Tax-Backed","Fixed Income","25,735,301.10","0.10","25,735,301.10","21,240,000.00","64990FZT4","US64990FZT47","-","119.99","United States","-","USD","10.02","2.49","1.00","Mar 15, 2038","4.00","12.22","-","1.65","7.80","1.65","USD","Mar 25, 2021","Mar 25, 2021"
"GRAND PARKWAY TRANSN CORP TEX","Transportation","Fixed Income","25,665,888.99","0.10","25,665,888.99","21,955,000.00","38611TCC9","US38611TCC99","-","115.90","United States","-","USD","11.16","3.14","1.00","Oct 01, 2049","4.00","16.91","-","1.91","7.08","1.91","USD","Feb 27, 2020","Feb 27, 2020"
"CHESAPEAKE BAY BRDG & TUNL DIS","Transportation","Fixed Income","25,637,022.36","0.10","25,637,022.36","21,350,000.00","16514PAD1","US16514PAD15","-","117.58","United States","-","USD","6.59","3.88","1.00","Jul 01, 2046","5.00","13.95","-","0.99","4.02","0.99","USD","Nov 10, 2016","Nov 10, 2016"
"TEXAS ST","Prerefund/Escrow","Fixed Income","25,606,542.50","0.10","25,606,542.50","25,000,000.00","8827227S4","US8827227S43","-","101.18","United States","-","USD","0.25","0.29","1.00","Apr 01, 2022","5.00","0.25","-","0.29","0.25","0.29","USD","Dec 18, 2012","Dec 18, 2012"
"CALIFORNIA ST","State Tax-Backed","Fixed Income","25,555,649.73","0.10","25,555,649.73","21,210,000.00","13063DVE5","US13063DVE56","-","119.16","United States","-","USD","9.80","2.66","1.00","Mar 01, 2040","4.00","13.24","-","1.50","7.03","1.50","USD","Apr 22, 2020","Apr 22, 2020"
"DISTRICT COLUMBIA","State Tax-Backed","Fixed Income","25,549,375.64","0.10","25,549,375.64","19,725,000.00","25476FYU6","US25476FYU64","-","129.11","United States","-","USD","10.27","3.25","1.00","Feb 01, 2046","5.00","14.48","-","1.56","7.59","1.56","USD","Nov 30, 2021","Nov 30, 2021"
"NEW YORK ST TWY AUTH ST PERS I","State Tax-Backed","Fixed Income","25,513,909.09","0.10","25,513,909.09","21,110,000.00","650028XB4","US650028XB42","-","119.16","United States","-","USD","10.65","2.71","1.00","Mar 15, 2041","4.00","13.74","-","1.74","7.76","1.74","USD","Jul 28, 2021","Jul 28, 2021"
"OKLAHOMA ST WTR RES BRD REVOLV","Utility","Fixed Income","25,345,824.31","0.10","25,345,824.31","21,180,000.00","67919PSV6","US67919PSV66","-","119.57","United States","-","USD","11.55","2.90","1.00","Apr 01, 2047","4.00","16.27","-","1.70","7.89","1.70","USD","Dec 22, 2021","Dec 22, 2021"
"NEW YORK ST DORM AUTH ST PERS","State Tax-Backed","Fixed Income","25,309,901.65","0.10","25,309,901.65","24,705,000.00","64990FVS0","US64990FVS00","-","100.56","United States","-","USD","0.13","0.41","1.00","Feb 15, 2022","5.00","0.12","-","0.41","0.12","0.41","USD","Jul 13, 2017","Jul 13, 2017"
