STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
NEAR,2021-12-31,WORST,2022-01-06,6244.962,3368790.317,3375035.279
NEAR,2021-12-31,WORST,2022-01-10,2231.873,16235.868,18467.741
NEAR,2021-12-31,WORST,2022-01-11,1237.947,0.000,1237.947
NEAR,2021-12-31,WORST,2022-01-12,7347.888,252172.500,259520.388
NEAR,2021-12-31,WORST,2022-01-13,90.378,0.000,90.378
NEAR,2021-12-31,WORST,2022-01-14,124.766,116.595,241.361
NEAR,2021-12-31,WORST,2022-01-15,7234.867,420031.185,427266.053
NEAR,2021-12-31,WORST,2022-01-16,28.239,10190.392,10218.631
NEAR,2021-12-31,WORST,2022-01-17,40.135,1853.430,1893.566
NEAR,2021-12-31,WORST,2022-01-18,11156.255,56873.829,68030.085
NEAR,2021-12-31,WORST,2022-01-19,165.076,2034.320,2199.396
NEAR,2021-12-31,WORST,2022-01-20,9871.826,424328.257,434200.083
NEAR,2021-12-31,WORST,2022-01-21,23.930,0.000,23.930
NEAR,2021-12-31,WORST,2022-01-24,21615.125,32716.475,54331.599
NEAR,2021-12-31,WORST,2022-01-25,1745.676,6047.629,7793.305
NEAR,2021-12-31,WORST,2022-01-27,2305.918,0.000,2305.918
NEAR,2021-12-31,WORST,2022-01-28,661.126,8578.436,9239.561
NEAR,2021-12-31,WORST,2022-01-30,6899.229,867088.083,873987.312
NEAR,2021-12-31,WORST,2022-01-31,2937.415,19837.695,22775.110
NEAR,2021-12-31,WORST,2022-02-01,9477.150,387564.767,397041.917
NEAR,2021-12-31,WORST,2022-02-03,1594.358,0.000,1594.358
NEAR,2021-12-31,WORST,2022-02-07,2064.230,0.000,2064.230
NEAR,2021-12-31,WORST,2022-02-08,106.262,0.000,106.262
NEAR,2021-12-31,WORST,2022-02-09,1285.553,255284.974,256570.527
NEAR,2021-12-31,WORST,2022-02-10,3642.960,274559.850,278202.810
NEAR,2021-12-31,WORST,2022-02-14,7743.321,263073.744,270817.065
NEAR,2021-12-31,WORST,2022-02-15,26379.690,754711.760,781091.447
NEAR,2021-12-31,WORST,2022-02-16,1739.507,165785.546,167525.054
NEAR,2021-12-31,WORST,2022-02-17,669.085,12614.502,13283.587
NEAR,2021-12-31,WORST,2022-02-18,121.831,12461.545,12583.376
NEAR,2021-12-31,WORST,2022-02-19,52.869,0.000,52.869
NEAR,2021-12-31,WORST,2022-02-20,52.273,13398.030,13450.303
NEAR,2021-12-31,WORST,2022-02-21,9.477,6503.484,6512.962
NEAR,2021-12-31,WORST,2022-02-22,2820.617,537807.208,540627.828
NEAR,2021-12-31,WORST,2022-02-23,2004.222,0.000,2004.222
NEAR,2021-12-31,WORST,2022-02-24,13.775,0.000,13.775
NEAR,2021-12-31,WORST,2022-02-25,5140.643,7724.643,12865.285
NEAR,2021-12-31,WORST,2022-02-28,6211.036,369682.709,375893.745
NEAR,2021-12-31,WORST,2022-03-01,2123.695,0.000,2123.695
NEAR,2021-12-31,WORST,2022-03-02,2098.446,155440.415,157538.860
NEAR,2021-12-31,WORST,2022-03-07,9272.091,0.000,9272.091
NEAR,2021-12-31,WORST,2022-03-08,2540.486,0.000,2540.486
NEAR,2021-12-31,WORST,2022-03-09,255.019,0.000,255.019
NEAR,2021-12-31,WORST,2022-03-10,176.530,8096.822,8273.350
NEAR,2021-12-31,WORST,2022-03-11,1352.023,0.000,1352.023
NEAR,2021-12-31,WORST,2022-03-14,7660.763,45.150,7705.913
NEAR,2021-12-31,WORST,2022-03-15,14061.207,466162.570,480223.772
NEAR,2021-12-31,WORST,2022-03-16,680.593,-2976.039,-2295.446
NEAR,2021-12-31,WORST,2022-03-17,5179.878,332486.983,337666.861
NEAR,2021-12-31,WORST,2022-03-18,4202.831,12285.815,16488.646
NEAR,2021-12-31,WORST,2022-03-19,47.753,0.000,47.753
NEAR,2021-12-31,WORST,2022-03-20,46.524,10987.219,11033.744
NEAR,2021-12-31,WORST,2022-03-21,1214.162,145932.898,147147.058
NEAR,2021-12-31,WORST,2022-03-22,510.152,8282.907,8793.058
NEAR,2021-12-31,WORST,2022-03-23,4489.660,0.000,4489.660
NEAR,2021-12-31,WORST,2022-03-24,12.442,0.000,12.442
NEAR,2021-12-31,WORST,2022-03-25,569.046,229326.549,229895.595
NEAR,2021-12-31,WORST,2022-03-28,595.390,6907.083,7502.473
NEAR,2021-12-31,WORST,2022-03-29,1112.724,36269.430,37382.154
NEAR,2021-12-31,WORST,2022-04-01,8678.842,62176.166,70855.008
NEAR,2021-12-31,WORST,2022-04-04,814.028,0.000,814.028
NEAR,2021-12-31,WORST,2022-04-10,56.497,7494.606,7551.102
NEAR,2021-12-31,WORST,2022-04-11,2596.871,477.101,3073.972
NEAR,2021-12-31,WORST,2022-04-12,8040.982,340841.813,348882.795
NEAR,2021-12-31,WORST,2022-04-13,166.697,217616.580,217783.277
NEAR,2021-12-31,WORST,2022-04-14,145.158,68.068,213.225
NEAR,2021-12-31,WORST,2022-04-15,12058.676,75606.229,87664.905
NEAR,2021-12-31,WORST,2022-04-16,21.215,10865.776,10886.991
NEAR,2021-12-31,WORST,2022-04-18,2173.769,25809.454,27983.223
NEAR,2021-12-31,WORST,2022-04-19,3369.875,17745.561,21115.434
NEAR,2021-12-31,WORST,2022-04-20,2574.910,43055.190,45630.101
NEAR,2021-12-31,WORST,2022-04-21,25.060,0.000,25.060
NEAR,2021-12-31,WORST,2022-04-22,572.510,277018.975,277591.485
NEAR,2021-12-31,WORST,2022-04-24,391.558,129533.679,129925.236
NEAR,2021-12-31,WORST,2022-04-25,10202.333,293185.028,303387.361
NEAR,2021-12-31,WORST,2022-04-26,15.756,0.000,15.756
NEAR,2021-12-31,WORST,2022-04-27,5364.658,0.000,5364.658
NEAR,2021-12-31,WORST,2022-04-28,672.592,13792.710,14465.304
NEAR,2021-12-31,WORST,2022-04-29,3263.261,14226.694,17489.955
NEAR,2021-12-31,WORST,2022-05-01,2631.628,220248.705,222880.333
NEAR,2021-12-31,WORST,2022-05-02,5588.417,0.000,5588.417
NEAR,2021-12-31,WORST,2022-05-03,1170.600,0.000,1170.600
NEAR,2021-12-31,WORST,2022-05-06,7640.700,0.000,7640.700
NEAR,2021-12-31,WORST,2022-05-09,968.907,0.000,968.907
NEAR,2021-12-31,WORST,2022-05-10,212.584,7949.202,8161.786
NEAR,2021-12-31,WORST,2022-05-11,1886.010,0.000,1886.010
NEAR,2021-12-31,WORST,2022-05-12,256.090,0.000,256.090
NEAR,2021-12-31,WORST,2022-05-13,9304.404,445595.855,454900.259
NEAR,2021-12-31,WORST,2022-05-15,3986.639,351626.983,355613.620
NEAR,2021-12-31,WORST,2022-05-16,11298.528,920766.260,932064.788
NEAR,2021-12-31,WORST,2022-05-17,216.281,8443.027,8659.308
NEAR,2021-12-31,WORST,2022-05-18,102.013,8464.039,8566.051
NEAR,2021-12-31,WORST,2022-05-19,51.164,0.000,51.164
NEAR,2021-12-31,WORST,2022-05-20,5846.783,516041.940,521888.724
NEAR,2021-12-31,WORST,2022-05-23,26171.998,1377384.142,1403556.140
NEAR,2021-12-31,WORST,2022-05-24,12.886,0.000,12.886
NEAR,2021-12-31,WORST,2022-05-25,2136.947,7218.162,9355.109
NEAR,2021-12-31,WORST,2022-05-26,4559.585,0.000,4559.585
NEAR,2021-12-31,WORST,2022-05-27,87.051,0.000,87.051
NEAR,2021-12-31,WORST,2022-05-30,19.937,6704.225,6724.161
NEAR,2021-12-31,WORST,2022-05-31,3897.486,0.000,3897.486
NEAR,2021-12-31,WORST,2022-06-01,3929.042,0.000,3929.042
NEAR,2021-12-31,WORST,2022-06-06,1898.340,0.000,1898.340
NEAR,2021-12-31,WORST,2022-06-08,98.381,0.000,98.381
NEAR,2021-12-31,WORST,2022-06-10,1844.035,7467.906,9311.942
NEAR,2021-12-31,WORST,2022-06-13,2656.877,0.000,2656.877
NEAR,2021-12-31,WORST,2022-06-14,1010.555,82.290,1092.846
NEAR,2021-12-31,WORST,2022-06-15,11884.221,112754.986,124639.209
NEAR,2021-12-31,WORST,2022-06-16,63.235,10722.721,10785.956
NEAR,2021-12-31,WORST,2022-06-17,21.604,823.618,845.222
NEAR,2021-12-31,WORST,2022-06-18,12.324,8304.213,8316.537
NEAR,2021-12-31,WORST,2022-06-19,52.869,0.000,52.869
NEAR,2021-12-31,WORST,2022-06-20,36.869,4801.196,4838.065
NEAR,2021-12-31,WORST,2022-06-21,10108.450,11186.622,21295.072
NEAR,2021-12-31,WORST,2022-06-22,1179.654,7811.288,8990.942
NEAR,2021-12-31,WORST,2022-06-23,14.366,0.000,14.366
NEAR,2021-12-31,WORST,2022-06-24,13.775,0.000,13.775
NEAR,2021-12-31,WORST,2022-06-25,37.094,1093.040,1130.135
NEAR,2021-12-31,WORST,2022-06-27,1122.291,206590.674,207712.964
NEAR,2021-12-31,WORST,2022-06-28,17.435,6589.454,6606.889
NEAR,2021-12-31,WORST,2022-06-30,770.010,0.000,770.010
NEAR,2021-12-31,WORST,2022-07-01,8903.219,633937.824,642841.043
NEAR,2021-12-31,WORST,2022-07-05,1232.370,0.000,1232.370
NEAR,2021-12-31,WORST,2022-07-07,1665.588,159896.373,161561.961
NEAR,2021-12-31,WORST,2022-07-08,0.000,207253.886,207253.886
NEAR,2021-12-31,WORST,2022-07-10,45.803,7524.071,7569.874
NEAR,2021-12-31,WORST,2022-07-11,1364.637,50787.565,52152.202
NEAR,2021-12-31,WORST,2022-07-12,1157.468,54695.910,55853.378
NEAR,2021-12-31,WORST,2022-07-13,168.549,0.000,168.549
NEAR,2021-12-31,WORST,2022-07-14,127.334,114.765,242.100
NEAR,2021-12-31,WORST,2022-07-15,10503.031,548102.176,558605.205
NEAR,2021-12-31,WORST,2022-07-16,13.935,10667.906,10681.840
NEAR,2021-12-31,WORST,2022-07-18,2219.395,25250.678,27470.073
NEAR,2021-12-31,WORST,2022-07-19,940.049,54992.285,55932.334
NEAR,2021-12-31,WORST,2022-07-20,2500.935,35844.997,38345.933
NEAR,2021-12-31,WORST,2022-07-21,25.338,0.000,25.338
NEAR,2021-12-31,WORST,2022-07-22,536.480,16973.757,17510.237
NEAR,2021-12-31,WORST,2022-07-24,156.623,51813.472,51970.094
NEAR,2021-12-31,WORST,2022-07-25,4876.788,229435.577,234312.366
NEAR,2021-12-31,WORST,2022-07-27,1666.441,0.000,1666.441
NEAR,2021-12-31,WORST,2022-07-28,661.588,12931.904,13593.490
NEAR,2021-12-31,WORST,2022-07-29,1170.484,13339.338,14509.822
NEAR,2021-12-31,WORST,2022-08-01,6991.218,0.000,6991.218
NEAR,2021-12-31,WORST,2022-08-03,1760.630,0.000,1760.630
NEAR,2021-12-31,WORST,2022-08-08,346.116,0.000,346.116
NEAR,2021-12-31,WORST,2022-08-09,894.286,165803.109,166697.394
NEAR,2021-12-31,WORST,2022-08-10,1143.328,7331.707,8475.036
NEAR,2021-12-31,WORST,2022-08-12,2176.898,169430.052,171606.950
NEAR,2021-12-31,WORST,2022-08-15,16986.231,542167.916,559154.145
NEAR,2021-12-31,WORST,2022-08-16,1785.431,10593.422,12378.854
NEAR,2021-12-31,WORST,2022-08-17,624.081,7954.675,8578.756
NEAR,2021-12-31,WORST,2022-08-18,95.683,7362.914,7458.597
NEAR,2021-12-31,WORST,2022-08-19,52.869,0.000,52.869
NEAR,2021-12-31,WORST,2022-08-20,33.340,4907.496,4940.836
NEAR,2021-12-31,WORST,2022-08-22,1358.582,18370.020,19728.601
NEAR,2021-12-31,WORST,2022-08-23,1270.724,0.000,1270.724
NEAR,2021-12-31,WORST,2022-08-24,13.330,0.000,13.330
NEAR,2021-12-31,WORST,2022-08-25,5124.608,6809.781,11934.389
NEAR,2021-12-31,WORST,2022-08-29,4031.491,0.000,4031.491
NEAR,2021-12-31,WORST,2022-08-30,112.413,6382.435,6494.848
NEAR,2021-12-31,WORST,2022-08-31,661.160,0.000,661.160
NEAR,2021-12-31,WORST,2022-09-01,3234.897,155440.415,158675.312
NEAR,2021-12-31,WORST,2022-09-06,9275.233,0.000,9275.233
NEAR,2021-12-31,WORST,2022-09-08,2544.793,0.000,2544.793
NEAR,2021-12-31,WORST,2022-09-09,255.019,0.000,255.019
NEAR,2021-12-31,WORST,2022-09-10,38.871,7107.579,7146.450
NEAR,2021-12-31,WORST,2022-09-12,7992.830,94663.212,102656.042
NEAR,2021-12-31,WORST,2022-09-13,701.210,259067.358,259768.567
NEAR,2021-12-31,WORST,2022-09-14,1534.830,161.298,1696.126
NEAR,2021-12-31,WORST,2022-09-15,12288.180,975396.754,987684.933
NEAR,2021-12-31,WORST,2022-09-16,667.688,10448.271,11115.959
NEAR,2021-12-31,WORST,2022-09-18,2.443,7364.882,7367.325
NEAR,2021-12-31,WORST,2022-09-19,4699.928,773.707,5473.635
NEAR,2021-12-31,WORST,2022-09-20,273.033,15618.461,15891.495
NEAR,2021-12-31,WORST,2022-09-22,533.534,7318.964,7852.498
NEAR,2021-12-31,WORST,2022-09-23,4491.050,51813.472,56304.522
NEAR,2021-12-31,WORST,2022-09-25,34.094,929.768,963.862
NEAR,2021-12-31,WORST,2022-09-26,733.034,22227.979,22961.013
NEAR,2021-12-31,WORST,2022-09-27,4100.881,453886.010,457986.891
NEAR,2021-12-31,WORST,2022-09-28,15.602,6276.404,6292.004
NEAR,2021-12-31,WORST,2022-09-29,988.523,0.000,988.523
