STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
SGOV,2021-12-31,WORST,2022-01-06,0.000,1081710.182,1081710.182
SGOV,2021-12-31,WORST,2022-01-11,0.000,6625.767,6625.767
SGOV,2021-12-31,WORST,2022-01-18,183861.963,14798773.006,14982634.969
SGOV,2021-12-31,WORST,2022-01-25,0.000,269938.650,269938.650
SGOV,2021-12-31,WORST,2022-01-31,138255.368,14747239.264,14885494.632
SGOV,2021-12-31,WORST,2022-02-01,0.000,14802822.086,14802822.086
SGOV,2021-12-31,WORST,2022-02-03,0.000,8374723.926,8374723.926
SGOV,2021-12-31,WORST,2022-02-08,0.000,7301840.491,7301840.491
SGOV,2021-12-31,WORST,2022-02-15,0.000,13749815.951,13749815.951
SGOV,2021-12-31,WORST,2022-02-28,118098.160,13496932.515,13615030.675
SGOV,2021-12-31,WORST,2022-03-01,0.000,2453987.730,2453987.730
SGOV,2021-12-31,WORST,2022-03-10,0.000,874723.926,874723.926
SGOV,2021-12-31,WORST,2022-03-17,0.000,7625092.025,7625092.025
SGOV,2021-12-31,MATURITY,2022-01-06,0.000,1081710.182,1081710.182
SGOV,2021-12-31,MATURITY,2022-01-11,0.000,6625.767,6625.767
SGOV,2021-12-31,MATURITY,2022-01-18,183861.963,14798773.006,14982634.969
SGOV,2021-12-31,MATURITY,2022-01-25,0.000,269938.650,269938.650
SGOV,2021-12-31,MATURITY,2022-01-31,138255.368,14747239.264,14885494.632
SGOV,2021-12-31,MATURITY,2022-02-01,0.000,14802822.086,14802822.086
SGOV,2021-12-31,MATURITY,2022-02-03,0.000,8374723.926,8374723.926
SGOV,2021-12-31,MATURITY,2022-02-08,0.000,7301840.491,7301840.491
SGOV,2021-12-31,MATURITY,2022-02-15,0.000,13749815.951,13749815.951
SGOV,2021-12-31,MATURITY,2022-02-28,118098.160,13496932.515,13615030.675
SGOV,2021-12-31,MATURITY,2022-03-01,0.000,2453987.730,2453987.730
SGOV,2021-12-31,MATURITY,2022-03-10,0.000,874723.926,874723.926
SGOV,2021-12-31,MATURITY,2022-03-17,0.000,7625092.025,7625092.025
