iShares Short Treasury Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Jan 05, 2007"
Shares Outstanding,"118,540,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"TREASURY BILL","Cash and/or Derivatives","Cash","1,715,563,835.33","13.03","1,715,563,835.33","1,715,756,000.00","912796N21","US912796N216","BNBYGW5","99.99","United States","-","USD","0.21","0.05","1.00","Mar 17, 2022","0.00","0.21","-","0.05","0.21","0.05","USD","Sep 16, 2021","Sep 16, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","1,322,926,803.66","10.05","1,322,926,803.66","1,323,030,000.00","912796M97","US912796M978","BLHM447","99.99","United States","-","USD","0.19","0.04","1.00","Mar 10, 2022","0.00","0.19","-","0.04","0.19","0.04","USD","Sep 09, 2021","Sep 09, 2021"
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","1,183,729,999.96","8.99","1,183,729,999.96","1,183,730,000.00","066922477","US0669224778","6922477","1.00","United States","-","USD","0.07","0.07","1.00","-","0.10","0.10","-","0.07","0.10","0.07","USD","-","Feb 04, 2009"
"TREASURY NOTE","Treasuries","Fixed Income","1,138,821,865.19","8.65","1,138,821,865.19","1,127,431,000.00","9128286U9","US9128286U98","BK1WFT8","100.72","United States","-","USD","0.37","0.19","1.00","May 15, 2022","2.13","0.37","-","0.19","0.37","0.19","USD","May 15, 2019","May 15, 2019"
"TREASURY NOTE","Treasuries","Fixed Income","881,898,189.81","6.70","881,898,189.81","867,850,000.00","9128287C8","US9128287C81","BJGR182","100.80","United States","-","USD","0.53","0.27","1.00","Jul 15, 2022","1.75","0.54","-","0.27","0.54","0.27","USD","Jul 15, 2019","Jul 15, 2019"
"TREASURY NOTE","Treasuries","Fixed Income","806,442,424.24","6.12","806,442,424.24","799,254,000.00","912828X47","US912828X471","BD2Z8K9","100.57","United States","-","USD","0.33","0.16","1.00","Apr 30, 2022","1.88","0.33","-","0.16","0.33","0.16","USD","Apr 30, 2017","May 01, 2017"
"TREASURY BILL","Cash and/or Derivatives","Cash","720,014,216.68","5.47","720,014,216.68","720,280,000.00","912796H44","US912796H440","BMCXZ83","99.96","United States","-","USD","0.38","0.10","1.00","May 19, 2022","0.00","0.39","-","0.10","0.39","0.10","USD","May 20, 2021","May 20, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","704,924,901.22","5.35","704,924,901.22","704,939,000.00","912796Q93","US912796Q938","BP48509","100.00","United States","-","USD","0.09","0.02","1.00","Feb 01, 2022","0.00","0.09","-","0.02","0.09","0.02","USD","Oct 05, 2021","Oct 05, 2021"
"TREASURY NOTE","Treasuries","Fixed Income","583,885,572.68","4.43","583,885,572.68","579,161,000.00","912828XR6","US912828XR65","BDZZ3H8","100.65","United States","-","USD","0.41","0.18","1.00","May 31, 2022","1.75","0.41","-","0.18","0.41","0.18","USD","May 31, 2017","May 31, 2017"
"TREASURY NOTE","Treasuries","Fixed Income","494,772,043.47","3.76","494,772,043.47","490,129,000.00","912828XG0","US912828XG01","BZ56VG0","100.93","United States","-","USD","0.50","0.26","1.00","Jun 30, 2022","2.13","0.50","-","0.26","0.50","0.26","USD","Jun 30, 2015","Jun 30, 2015"
"TREASURY BILL","Cash and/or Derivatives","Cash","482,893,439.40","3.67","482,893,439.40","482,920,000.00","912796S26","US912796S264","BLN7VD4","99.99","United States","-","USD","0.16","0.03","1.00","Mar 01, 2022","0.00","0.17","-","0.03","0.17","0.03","USD","Nov 02, 2021","Nov 02, 2021"
