STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
SLQD,2021-12-31,WORST,2022-01-06,9574.739,289098.412,298673.152
SLQD,2021-12-31,WORST,2022-01-07,103.054,0.000,103.054
SLQD,2021-12-31,WORST,2022-01-10,8263.278,54959.514,63222.792
SLQD,2021-12-31,WORST,2022-01-11,3419.628,52449.393,55869.021
SLQD,2021-12-31,WORST,2022-01-12,3648.493,12935.223,16583.716
SLQD,2021-12-31,WORST,2022-01-13,1739.626,0.000,1739.626
SLQD,2021-12-31,WORST,2022-01-14,2026.700,6032.389,8059.089
SLQD,2021-12-31,WORST,2022-01-15,91.721,7975.709,8067.429
SLQD,2021-12-31,WORST,2022-01-18,43725.638,39129.555,82855.192
SLQD,2021-12-31,WORST,2022-01-19,1661.260,0.000,1661.260
SLQD,2021-12-31,WORST,2022-01-20,3452.897,27975.709,31428.606
SLQD,2021-12-31,WORST,2022-01-21,1572.471,0.000,1572.471
SLQD,2021-12-31,WORST,2022-01-24,23697.160,30850.202,54547.363
SLQD,2021-12-31,WORST,2022-01-25,5060.593,10789.474,15850.067
SLQD,2021-12-31,WORST,2022-01-26,2282.814,0.000,2282.814
SLQD,2021-12-31,WORST,2022-01-27,3710.957,13663.968,17374.925
SLQD,2021-12-31,WORST,2022-01-28,833.297,0.000,833.297
SLQD,2021-12-31,WORST,2022-01-30,1718.062,156417.004,158135.066
SLQD,2021-12-31,WORST,2022-01-31,7668.223,24979.757,32647.980
SLQD,2021-12-31,WORST,2022-02-01,20074.254,52327.935,72402.189
SLQD,2021-12-31,WORST,2022-02-02,909.104,0.000,909.104
SLQD,2021-12-31,WORST,2022-02-03,1457.947,9676.113,11134.060
SLQD,2021-12-31,WORST,2022-02-04,3416.757,6376.518,9793.276
SLQD,2021-12-31,WORST,2022-02-06,212.288,15647.773,15860.061
SLQD,2021-12-31,WORST,2022-02-07,6399.699,19008.097,25407.796
SLQD,2021-12-31,WORST,2022-02-08,3555.719,14473.684,18029.403
SLQD,2021-12-31,WORST,2022-02-09,2412.517,48360.324,50772.841
SLQD,2021-12-31,WORST,2022-02-10,2337.060,21801.619,24138.680
SLQD,2021-12-31,WORST,2022-02-11,2543.266,0.000,2543.266
SLQD,2021-12-31,WORST,2022-02-14,6926.624,47449.393,54376.017
SLQD,2021-12-31,WORST,2022-02-15,30338.750,142267.206,172605.956
SLQD,2021-12-31,WORST,2022-02-16,2814.912,0.000,2814.912
SLQD,2021-12-31,WORST,2022-02-17,1877.086,18279.352,20156.438
SLQD,2021-12-31,WORST,2022-02-18,1560.860,0.000,1560.860
SLQD,2021-12-31,WORST,2022-02-22,7043.252,14574.899,21618.151
SLQD,2021-12-31,WORST,2022-02-23,2706.226,0.000,2706.226
SLQD,2021-12-31,WORST,2022-02-24,861.006,18927.126,19788.131
SLQD,2021-12-31,WORST,2022-02-25,3188.888,0.000,3188.888
SLQD,2021-12-31,WORST,2022-02-28,5469.459,53340.081,58809.540
SLQD,2021-12-31,WORST,2022-03-01,24871.877,80850.202,105722.080
SLQD,2021-12-31,WORST,2022-03-02,1376.845,0.000,1376.845
SLQD,2021-12-31,WORST,2022-03-03,2443.695,0.000,2443.695
SLQD,2021-12-31,WORST,2022-03-04,1598.993,10668.016,12267.009
SLQD,2021-12-31,WORST,2022-03-07,6393.025,64635.628,71028.652
SLQD,2021-12-31,WORST,2022-03-08,3254.909,26376.518,29631.427
SLQD,2021-12-31,WORST,2022-03-09,4084.943,0.000,4084.943
SLQD,2021-12-31,WORST,2022-03-10,3551.222,0.000,3551.222
SLQD,2021-12-31,WORST,2022-03-11,7452.304,35587.045,43039.348
SLQD,2021-12-31,WORST,2022-03-14,9586.200,66720.648,76306.847
SLQD,2021-12-31,WORST,2022-03-15,42632.370,104311.741,146944.111
SLQD,2021-12-31,WORST,2022-03-16,2742.985,0.000,2742.985
SLQD,2021-12-31,WORST,2022-03-17,1485.041,15263.158,16748.199
SLQD,2021-12-31,WORST,2022-03-18,1944.615,0.000,1944.615
SLQD,2021-12-31,WORST,2022-03-21,5242.092,0.000,5242.092
SLQD,2021-12-31,WORST,2022-03-22,1682.288,10202.429,11884.718
