ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|NEW JERSEY ST TPK AUTH TPK REV|NJSTRN|US646139Y664|646139Y66|United States|1225000|1255|1255|USD|NAT0-5|6/18/2012|
12/30/2021|NEW JERSEY ST TPK AUTH TPK REV|NJSTRN|US646139Z406|646139Z40|United States|5770000|5913|5913|USD|NAT0-5|9/20/2012|
12/30/2021|NEW YORK ST TWY AUTH GEN REV|NYSTRN|US650009YD91|650009YD9|United States|225000|231|231|USD|NAT0-5|7/11/2012|
12/30/2021|NEW YORK ST TWY AUTH GEN REV|NYSTRN|US650009ZB27|650009ZB2|United States|1415000|1450|1450|USD|NAT0-5|7/11/2012|
12/30/2021|TRIBOROUGH BRDG & TUNL AUTH N|TRBTRN|US896029S898||United States|830000|852|852|USD|NAT0-5|11/19/1997|
12/30/2021|TRIBOROUGH BRDG & TUNL AUTH N Y RE|TRBTRN|US896029Z323|896029Z32|United States|8990000|9236|9236|USD|NAT0-5|8/15/1999|
12/30/2021|TRIBOROUGH BRDG & TUNL AUTH N Y RE|TRBTRN|US89602NWR15|89602NWR1|United States|200000|205|205|USD|NAT0-5|10/13/2011|
12/30/2021|TRIBOROUGH BRDG & TUNL AUTH N Y RE|TRBTRN|US89602NWS97|89602NWS9|United States|250000|256|256|USD|NAT0-5|10/13/2011|
12/30/2021|SAN ANTONIO TEX ELEC & GAS REV|SANUTL|US79625GCT85|79625GCT8|United States|175000|179|179|USD|NAT0-5|7/1/2016|
12/30/2021|MARYLAND ST|MDS|US574193JQ28|574193JQ2|United States|4040000|4138|4138|USD|NAT0-5|3/18/2014|
12/30/2021|NEW JERSEY ECONOMIC DEV AUTH R|NJSDEV|US645918M832|645918M83|United States|755000|773|773|USD|NAT0-5|5/2/2012|
12/30/2021|PENNSYLVANIA ECONOMIC DEV FING|PASDEV|US70869HAL96|70869HAL9|United States|4090000|4189|4189|USD|NAT0-5|1/18/2012|
12/30/2021|BAY AREA TOLL AUTH CALIF TOLL|BAYTRN|US072024SC72|072024SC7|United States|2295000|2351|2351|USD|NAT0-5|10/23/2012|
12/30/2021|CALIFORNIA ST PUB WKS BRD LEAS|CASFAC|US1306852V18|1306852V1|United States|480000|492|492|USD|NAT0-5|4/3/2012|
12/30/2021|HARTFORD CNTY CONN MET DIST CL|HARFAC|US416498AW33|416498AW3|United States|5000000|5121|5121|USD|NAT0-5|6/19/2013|
12/30/2021|NEW YORK N Y|NYC|US64966QNR73|64966QNR7|United States|2405000|2463|2463|USD|NAT0-5|4/5/2012|
12/30/2021|TEXAS ST|TXS|US8827227S43|8827227S4|United States|15225000|15594|15594|USD|NAT0-5|12/18/2012|
12/30/2021|CALIFORNIA ST DEPT WTR RES PWR|CASPWR|US13066YSX84|13066YSX8|United States|6345000|6499|6499|USD|NAT0-5|4/29/2015|
12/30/2021|OHIO STATE|OHS|US677521ZG40|677521ZG4|United States|705000|722|722|USD|NAT0-5|10/24/2012|
12/30/2021|WISCONSIN ST|WIS|US97705LU706|97705LU70|United States|2090000|2141|2141|USD|NAT0-5|5/1/2012|
12/30/2021|SAN ANTONIO TEX WTR REV|SANWTR|US79642GDN97|79642GDN9|United States|1585000|1623|1623|USD|NAT0-5|2/1/2012|
12/30/2021|CALIFORNIA ST PUB WKS BRD LEASE RE|CASFAC|US130685CG31||United States|50000|51|51|USD|NAT0-5|4/1/2007|
12/30/2021|PENNSYLVANIA ST|PAS|US70914PSJ20|70914PSJ2|United States|320000|328|328|USD|NAT0-5|4/26/2012|
12/30/2021|PENNSYLVANIA ST|PAS|US70914PSL75|70914PSL7|United States|3990000|4086|4086|USD|NAT0-5|4/26/2012|
12/30/2021|UNIVERSITY COLO ENTERPRISE SYS|UCOHGR|US91417KYD70|91417KYD7|United States|420000|430|430|USD|NAT0-5|10/31/2012|
12/30/2021|VIRGINIA ST|VAS|US9281098H33|9281098H3|United States|245000|251|251|USD|NAT0-5|8/14/2019|
12/30/2021|NEW YORK N Y CITY MUN WTR FIN|NYCUTL|US64972GVQ45|64972GVQ4|United States|18390000|18831|18831|USD|NAT0-5|12/12/2019|
12/30/2021|NEW YORK N Y CITY MUN WTR FIN|NYCUTL|US64972GXK56|64972GXK5|United States|2990000|3061|3061|USD|NAT0-5|4/3/2014|
