STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
SUSB,2021-12-31,WORST,2022-01-06,3889.416,421626.437,425515.854
SUSB,2021-12-31,WORST,2022-01-07,38.720,0.000,38.720
SUSB,2021-12-31,WORST,2022-01-10,3499.962,0.000,3499.962
SUSB,2021-12-31,WORST,2022-01-11,550.459,0.000,550.459
SUSB,2021-12-31,WORST,2022-01-12,6193.463,0.000,6193.463
SUSB,2021-12-31,WORST,2022-01-13,785.978,0.000,785.978
SUSB,2021-12-31,WORST,2022-01-14,504.195,0.000,504.195
SUSB,2021-12-31,WORST,2022-01-18,21148.611,0.000,21148.611
SUSB,2021-12-31,WORST,2022-01-19,1983.121,0.000,1983.121
SUSB,2021-12-31,WORST,2022-01-20,920.133,0.000,920.133
SUSB,2021-12-31,WORST,2022-01-21,28.967,0.000,28.967
SUSB,2021-12-31,WORST,2022-01-24,6937.771,0.000,6937.771
SUSB,2021-12-31,WORST,2022-01-25,834.450,0.000,834.450
SUSB,2021-12-31,WORST,2022-01-26,210.820,0.000,210.820
SUSB,2021-12-31,WORST,2022-01-27,2223.261,0.000,2223.261
SUSB,2021-12-31,WORST,2022-01-28,1145.322,0.000,1145.322
SUSB,2021-12-31,WORST,2022-01-31,4579.088,0.000,4579.088
SUSB,2021-12-31,WORST,2022-02-01,10034.397,0.000,10034.397
SUSB,2021-12-31,WORST,2022-02-02,61.045,0.000,61.045
SUSB,2021-12-31,WORST,2022-02-03,2171.594,0.000,2171.594
SUSB,2021-12-31,WORST,2022-02-04,1258.510,0.000,1258.510
SUSB,2021-12-31,WORST,2022-02-07,4152.674,0.000,4152.674
SUSB,2021-12-31,WORST,2022-02-08,4367.980,0.000,4367.980
SUSB,2021-12-31,WORST,2022-02-09,729.385,0.000,729.385
SUSB,2021-12-31,WORST,2022-02-10,347.673,0.000,347.673
SUSB,2021-12-31,WORST,2022-02-11,1290.901,0.000,1290.901
SUSB,2021-12-31,WORST,2022-02-14,6854.553,0.000,6854.553
SUSB,2021-12-31,WORST,2022-02-15,14342.586,0.000,14342.586
SUSB,2021-12-31,WORST,2022-02-16,1720.821,0.000,1720.821
SUSB,2021-12-31,WORST,2022-02-17,2064.495,0.000,2064.495
SUSB,2021-12-31,WORST,2022-02-18,1205.151,0.000,1205.151
SUSB,2021-12-31,WORST,2022-02-22,4771.371,0.000,4771.371
SUSB,2021-12-31,WORST,2022-02-23,703.134,0.000,703.134
SUSB,2021-12-31,WORST,2022-02-24,200.121,0.000,200.121
SUSB,2021-12-31,WORST,2022-02-25,1402.893,0.000,1402.893
SUSB,2021-12-31,WORST,2022-02-28,3813.774,0.000,3813.774
SUSB,2021-12-31,WORST,2022-03-01,12467.379,0.000,12467.379
SUSB,2021-12-31,WORST,2022-03-02,1239.643,0.000,1239.643
SUSB,2021-12-31,WORST,2022-03-03,1510.707,0.000,1510.707
SUSB,2021-12-31,WORST,2022-03-04,1011.455,0.000,1011.455
SUSB,2021-12-31,WORST,2022-03-07,1451.667,0.000,1451.667
SUSB,2021-12-31,WORST,2022-03-08,229.675,0.000,229.675
SUSB,2021-12-31,WORST,2022-03-09,1501.549,0.000,1501.549
SUSB,2021-12-31,WORST,2022-03-10,1773.704,0.000,1773.704
SUSB,2021-12-31,WORST,2022-03-11,2509.401,0.000,2509.401
SUSB,2021-12-31,WORST,2022-03-14,5733.426,0.000,5733.426
SUSB,2021-12-31,WORST,2022-03-15,23080.302,0.000,23080.302
SUSB,2021-12-31,WORST,2022-03-16,3498.410,0.000,3498.410
SUSB,2021-12-31,WORST,2022-03-17,735.001,0.000,735.001
SUSB,2021-12-31,WORST,2022-03-18,4632.863,0.000,4632.863
SUSB,2021-12-31,WORST,2022-03-21,4587.495,0.000,4587.495
SUSB,2021-12-31,WORST,2022-03-22,1333.912,0.000,1333.912
SUSB,2021-12-31,WORST,2022-03-23,212.500,0.000,212.500
SUSB,2021-12-31,WORST,2022-03-24,2222.784,0.000,2222.784
SUSB,2021-12-31,WORST,2022-03-25,1270.530,0.000,1270.530
SUSB,2021-12-31,WORST,2022-03-28,1377.794,0.000,1377.794
SUSB,2021-12-31,WORST,2022-03-29,1659.461,0.000,1659.461
SUSB,2021-12-31,WORST,2022-03-30,1740.140,0.000,1740.140
SUSB,2021-12-31,WORST,2022-03-31,1246.401,0.000,1246.401
SUSB,2021-12-31,WORST,2022-04-01,20668.833,0.000,20668.833
SUSB,2021-12-31,WORST,2022-04-04,3978.385,0.000,3978.385
SUSB,2021-12-31,WORST,2022-04-05,1922.335,0.000,1922.335
SUSB,2021-12-31,WORST,2022-04-06,313.334,0.000,313.334
SUSB,2021-12-31,WORST,2022-04-07,261.008,0.000,261.008
SUSB,2021-12-31,WORST,2022-04-08,777.940,0.000,777.940
