STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
TLH,2021-12-31,WORST,2022-01-06,0.000,2049828.889,2049828.889
TLH,2021-12-31,WORST,2022-02-15,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2022-05-16,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2022-08-15,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2022-11-15,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2023-02-15,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2023-05-15,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2023-08-15,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2023-11-15,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2024-02-15,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2024-05-15,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2024-08-15,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2024-11-15,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2025-02-18,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2025-05-15,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2025-08-15,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2025-11-17,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2026-02-17,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2026-05-15,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2026-08-17,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2026-11-16,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2027-02-16,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2027-05-17,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2027-08-16,578744.927,0.000,578744.927
TLH,2021-12-31,WORST,2027-11-15,1000459.612,0.000,1000459.612
TLH,2021-12-31,WORST,2028-02-15,578744.927,0.000,578744.927
