iShares 10-20 Year Treasury Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Jan 05, 2007"
Shares Outstanding,"10,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"TREASURY BOND","Treasuries","Fixed Income","388,002,560.93","25.36","388,002,560.93","389,234,000.00","912810SW9","US912810SW99","BN303J7","98.98","United States","-","USD","15.81","1.94","1.00","Feb 15, 2041","1.88","15.87","-","1.94","15.87","1.94","USD","Feb 15, 2021","Mar 01, 2021"
"TREASURY BOND","Treasuries","Fixed Income","297,195,410.40","19.43","297,195,410.40","282,191,000.00","912810SY5","US912810SY55","BMCXZ94","105.03","United States","-","USD","15.64","1.94","1.00","May 15, 2041","2.25","15.72","-","1.94","15.72","1.94","USD","May 15, 2021","Jun 01, 2021"
"TREASURY BOND","Treasuries","Fixed Income","283,458,039.28","18.53","283,458,039.28","202,575,600.00","912810QD3","US912810QD37","B59RHH2","139.37","United States","-","USD","13.22","1.79","1.00","Nov 15, 2039","4.38","13.32","-","1.79","13.32","1.79","USD","Nov 15, 2009","Nov 16, 2009"
"TREASURY BOND","Treasuries","Fixed Income","210,763,330.94","13.78","210,763,330.94","230,828,000.00","912810ST6","US912810ST60","BNG0BM3","91.13","United States","-","USD","16.31","1.94","1.00","Nov 15, 2040","1.38","16.37","-","1.94","16.37","1.94","USD","Nov 15, 2020","Nov 30, 2020"
"TREASURY BOND","Treasuries","Fixed Income","179,221,675.62","11.72","179,221,675.62","204,277,600.00","912810SQ2","US912810SQ22","BKVKF47","87.31","United States","-","USD","16.41","1.94","1.00","Aug 15, 2040","1.13","16.46","-","1.94","16.46","1.94","USD","Aug 15, 2020","Aug 31, 2020"
"TREASURY BOND","Treasuries","Fixed Income","52,555,348.02","3.44","52,555,348.02","39,440,000.00","912810QK7","US912810QK79","B50PG34","131.80","United States","-","USD","13.82","1.85","1.00","Aug 15, 2040","3.88","13.92","-","1.85","13.92","1.85","USD","Aug 15, 2010","Aug 16, 2010"
"TREASURY BOND","Treasuries","Fixed Income","26,941,427.03","1.76","26,941,427.03","19,573,600.00","912810QB7","US912810QB70","B41K8R9","137.10","United States","-","USD","13.01","1.76","1.00","May 15, 2039","4.25","13.10","-","1.76","13.10","1.76","USD","May 15, 2009","May 15, 2009"
"TREASURY BOND","Treasuries","Fixed Income","22,983,387.41","1.50","22,983,387.41","15,811,000.00","912810QE1","US912810QE10","B3M3870","143.63","United States","-","USD","13.13","1.79","1.00","Feb 15, 2040","4.63","13.23","-","1.79","13.23","1.79","USD","Feb 15, 2010","Feb 16, 2010"
"TREASURY BOND","Treasuries","Fixed Income","20,814,866.79","1.36","20,814,866.79","14,825,000.00","912810PX0","US912810PX00","B3CJB24","139.83","United States","-","USD","12.32","1.70","1.00","May 15, 2038","4.50","12.41","-","1.70","12.41","1.70","USD","May 15, 2008","Aug 15, 2008"
"TREASURY BOND","Treasuries","Fixed Income","18,139,746.45","1.19","18,139,746.45","12,408,000.00","912810PU6","US912810PU60","B23Y8Q4","145.56","United States","-","USD","11.54","1.64","1.00","May 15, 2037","5.00","11.62","-","1.64","11.62","1.64","USD","May 15, 2007","Aug 15, 2007"
