STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
TLT,2021-12-31,WORST,2022-01-06,0.000,-8547.289,-8547.289
TLT,2021-12-31,WORST,2022-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2022-05-16,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2022-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2022-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2023-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2023-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2023-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2023-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2024-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2024-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2024-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2024-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2025-02-18,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2025-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2025-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2025-11-17,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2026-02-17,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2026-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2026-08-17,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2026-11-16,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2027-02-16,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2027-05-17,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2027-08-16,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2027-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2028-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2028-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2028-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2028-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2029-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2029-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2029-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2029-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2030-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2030-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2030-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2030-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2031-02-18,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2031-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2031-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2031-11-17,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2032-02-17,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2032-05-17,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2032-08-16,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2032-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2033-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2033-05-16,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2033-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2033-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2034-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2034-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2034-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2034-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2035-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2035-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2035-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2035-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2036-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2036-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2036-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2036-11-17,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2037-02-17,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2037-05-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2037-08-17,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2037-11-16,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2038-02-16,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2038-05-17,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2038-08-16,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2038-11-15,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2039-02-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2039-05-16,572261.278,0.000,572261.278
TLT,2021-12-31,WORST,2039-08-15,1095100.147,0.000,1095100.147
TLT,2021-12-31,WORST,2039-11-15,572261.278,0.000,572261.278
