STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
USBF,2021-12-31,WORST,2022-01-06,20020.000,4020976.050,4040996.050
USBF,2021-12-31,WORST,2022-01-13,909.562,0.000,909.562
USBF,2021-12-31,WORST,2022-01-14,2250.000,0.000,2250.000
USBF,2021-12-31,WORST,2022-01-15,1782.217,10268.800,12051.017
USBF,2021-12-31,WORST,2022-01-18,63507.681,0.000,63507.681
USBF,2021-12-31,WORST,2022-01-20,6343.750,0.000,6343.750
USBF,2021-12-31,WORST,2022-01-24,23512.500,0.000,23512.500
USBF,2021-12-31,WORST,2022-01-25,15943.172,24883.860,40827.011
USBF,2021-12-31,WORST,2022-01-26,6256.250,0.000,6256.250
USBF,2021-12-31,WORST,2022-01-27,1171.875,0.000,1171.875
USBF,2021-12-31,WORST,2022-01-28,1187.500,0.000,1187.500
USBF,2021-12-31,WORST,2022-01-30,783.247,41393.750,42176.997
USBF,2021-12-31,WORST,2022-01-31,6784.375,0.000,6784.375
USBF,2021-12-31,WORST,2022-02-01,20952.000,25781.250,46733.250
USBF,2021-12-31,WORST,2022-02-03,1687.500,0.000,1687.500
USBF,2021-12-31,WORST,2022-02-04,2196.000,0.000,2196.000
USBF,2021-12-31,WORST,2022-02-07,468.750,0.000,468.750
USBF,2021-12-31,WORST,2022-02-09,9496.875,0.000,9496.875
USBF,2021-12-31,WORST,2022-02-13,909.562,0.000,909.562
USBF,2021-12-31,WORST,2022-02-14,3625.000,0.000,3625.000
USBF,2021-12-31,WORST,2022-02-15,111932.200,10281.300,122213.499
USBF,2021-12-31,WORST,2022-02-16,1532.250,0.000,1532.250
USBF,2021-12-31,WORST,2022-02-18,1537.500,0.000,1537.500
USBF,2021-12-31,WORST,2022-02-20,13177.083,102678.000,115855.075
USBF,2021-12-31,WORST,2022-02-22,8512.500,0.000,8512.500
USBF,2021-12-31,WORST,2022-02-25,50128.983,263715.181,313844.168
USBF,2021-12-31,WORST,2022-03-01,89364.104,25718.750,115082.854
USBF,2021-12-31,WORST,2022-03-02,3582.500,0.000,3582.500
USBF,2021-12-31,WORST,2022-03-03,5006.250,0.000,5006.250
USBF,2021-12-31,WORST,2022-03-04,2593.750,0.000,2593.750
USBF,2021-12-31,WORST,2022-03-08,21500.000,0.000,21500.000
USBF,2021-12-31,WORST,2022-03-09,2812.500,0.000,2812.500
USBF,2021-12-31,WORST,2022-03-10,8393.750,0.000,8393.750
USBF,2021-12-31,WORST,2022-03-13,909.562,0.000,909.562
USBF,2021-12-31,WORST,2022-03-14,1543.750,0.000,1543.750
USBF,2021-12-31,WORST,2022-03-15,82442.286,25781.250,108223.536
USBF,2021-12-31,WORST,2022-03-18,3000.000,0.000,3000.000
USBF,2021-12-31,WORST,2022-03-20,12899.932,86241.152,99141.076
USBF,2021-12-31,WORST,2022-03-21,13243.875,0.000,13243.875
USBF,2021-12-31,WORST,2022-03-25,61820.830,255819.340,317640.180
USBF,2021-12-31,WORST,2022-03-30,440.625,0.000,440.625
USBF,2021-12-31,WORST,2022-03-31,3156.250,0.000,3156.250
USBF,2021-12-31,WORST,2022-04-01,48486.562,25859.500,74346.062
USBF,2021-12-31,WORST,2022-04-04,9569.375,0.000,9569.375
USBF,2021-12-31,WORST,2022-04-05,1542.000,0.000,1542.000
USBF,2021-12-31,WORST,2022-04-13,10456.438,0.000,10456.438
USBF,2021-12-31,WORST,2022-04-15,89761.800,51912.500,141674.300
USBF,2021-12-31,WORST,2022-04-18,7500.000,0.000,7500.000
USBF,2021-12-31,WORST,2022-04-19,546.875,0.000,546.875
USBF,2021-12-31,WORST,2022-04-20,12666.931,93370.844,106037.774
USBF,2021-12-31,WORST,2022-04-21,4937.500,0.000,4937.500
USBF,2021-12-31,WORST,2022-04-25,51576.160,310591.047,362167.223
