ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|TREASURY NOTE|TNOTE|US9128286B18|9128286B1|United States|150000|164|164|USD|ISHUSBF|2/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US9128286T26|9128286T2|United States|150000|160|160|USD|ISHUSBF|5/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828ZQ64|912828ZQ6|United States|260000|243|243|USD|ISHUSBF|5/15/2020|
12/30/2021|TREASURY NOTE|TNOTE|US91282CBL46|91282CBL4|United States|70000|68|68|USD|ISHUSBF|2/16/2021|
12/30/2021|TREASURY NOTE (2OLD)|TNOTE|US91282CCB54|91282CCB5|United States|100000|102|102|USD|ISHUSBF|5/17/2021|
12/30/2021|TREASURY NOTE (OLD)|TNOTE|US91282CCS89|91282CCS8|United States|240000|236|236|USD|ISHUSBF|8/16/2021|
12/30/2021|TREASURY NOTE (OTR)|TNOTE|US91282CDJ71|91282CDJ7|United States|300000|297|297|USD|ISHUSBF|11/15/2021|
12/30/2021|TREASURY BOND|TBOND|US912810SR05|912810SR0|United States|150000|131|131|USD|ISHUSBF|6/1/2020|
12/30/2021|TREASURY BOND|TBOND|US912810SQ22|912810SQ2|United States|250000|219|219|USD|ISHUSBF|8/31/2020|
12/30/2021|TREASURY BOND|TBOND|US912810ST60|912810ST6|United States|200000|182|182|USD|ISHUSBF|11/30/2020|
12/30/2021|TREASURY BOND|TBOND|US912810SW99|912810SW9|United States|325000|323|323|USD|ISHUSBF|3/1/2021|
12/30/2021|TREASURY BOND|TBOND|US912810SY55|912810SY5|United States|50000|52|52|USD|ISHUSBF|6/1/2021|
12/30/2021|TREASURY BOND|TBOND|US912810TA60|912810TA6|United States|260000|253|253|USD|ISHUSBF|8/31/2021|
12/30/2021|TREASURY BOND|TBOND|US912810RK60|912810RK6|United States|100000|111|111|USD|ISHUSBF|2/17/2015|
12/30/2021|TREASURY BOND|TBOND|US912810RN00|912810RN0|United States|50000|59|59|USD|ISHUSBF|8/17/2015|
