STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
USHY,2021-12-31,WORST,2022-01-06,28741.268,176204.579,204945.846
USHY,2021-12-31,WORST,2022-01-07,585.759,0.000,585.759
USHY,2021-12-31,WORST,2022-01-10,2203.668,22597.382,24801.050
USHY,2021-12-31,WORST,2022-01-14,589.331,0.000,589.331
USHY,2021-12-31,WORST,2022-01-15,244.348,27113.844,27358.191
USHY,2021-12-31,WORST,2022-01-18,126307.544,53596.693,179904.237
USHY,2021-12-31,WORST,2022-01-20,3111.518,0.000,3111.518
USHY,2021-12-31,WORST,2022-01-24,1951.451,0.000,1951.451
USHY,2021-12-31,WORST,2022-01-25,594.219,0.000,594.219
USHY,2021-12-31,WORST,2022-01-26,689.571,0.000,689.571
USHY,2021-12-31,WORST,2022-01-30,8113.035,634407.802,642520.837
USHY,2021-12-31,WORST,2022-01-31,14489.986,0.000,14489.986
USHY,2021-12-31,WORST,2022-02-01,83997.167,175348.009,259345.176
USHY,2021-12-31,WORST,2022-02-04,588.204,0.000,588.204
USHY,2021-12-31,WORST,2022-02-07,640.158,0.000,640.158
USHY,2021-12-31,WORST,2022-02-09,571.235,0.000,571.235
USHY,2021-12-31,WORST,2022-02-10,484.824,0.000,484.824
USHY,2021-12-31,WORST,2022-02-14,397.214,0.000,397.214
USHY,2021-12-31,WORST,2022-02-15,107881.023,310305.275,418186.299
USHY,2021-12-31,WORST,2022-02-16,774.315,0.000,774.315
USHY,2021-12-31,WORST,2022-02-17,438.687,0.000,438.687
USHY,2021-12-31,WORST,2022-02-22,501.471,0.000,501.471
USHY,2021-12-31,WORST,2022-02-28,2262.858,0.000,2262.858
USHY,2021-12-31,WORST,2022-03-01,68811.428,233926.323,302737.751
USHY,2021-12-31,WORST,2022-03-04,319.089,0.000,319.089
USHY,2021-12-31,WORST,2022-03-08,230.486,0.000,230.486
USHY,2021-12-31,WORST,2022-03-09,678.449,0.000,678.449
USHY,2021-12-31,WORST,2022-03-10,60.806,0.000,60.806
USHY,2021-12-31,WORST,2022-03-14,966.737,19050.174,20016.911
USHY,2021-12-31,WORST,2022-03-15,88871.600,350931.520,439803.120
USHY,2021-12-31,WORST,2022-03-18,682.475,0.000,682.475
USHY,2021-12-31,WORST,2022-03-21,889.495,0.000,889.495
USHY,2021-12-31,WORST,2022-03-22,180.628,0.000,180.628
USHY,2021-12-31,WORST,2022-03-25,1279.990,0.000,1279.990
USHY,2021-12-31,WORST,2022-03-28,917.655,0.000,917.655
USHY,2021-12-31,WORST,2022-03-30,4770.609,51565.518,56336.127
USHY,2021-12-31,WORST,2022-03-31,4349.295,11071.594,15420.889
USHY,2021-12-31,WORST,2022-04-01,75830.788,241007.400,316838.187
USHY,2021-12-31,WORST,2022-04-04,2953.953,0.000,2953.953
USHY,2021-12-31,WORST,2022-04-06,208.961,0.000,208.961
USHY,2021-12-31,WORST,2022-04-07,366.717,0.000,366.717
USHY,2021-12-31,WORST,2022-04-08,109.971,28987.952,29097.923
USHY,2021-12-31,WORST,2022-04-11,626.158,0.000,626.158
USHY,2021-12-31,WORST,2022-04-14,464.128,0.000,464.128
USHY,2021-12-31,WORST,2022-04-15,98513.034,486693.155,585206.189
USHY,2021-12-31,WORST,2022-04-18,1420.931,0.000,1420.931
USHY,2021-12-31,WORST,2022-04-19,2810.062,0.000,2810.062
USHY,2021-12-31,WORST,2022-04-20,3111.518,0.000,3111.518
USHY,2021-12-31,WORST,2022-04-22,2080.818,0.000,2080.818
USHY,2021-12-31,WORST,2022-04-25,304.640,0.000,304.640
USHY,2021-12-31,WORST,2022-04-27,445.308,0.000,445.308
USHY,2021-12-31,WORST,2022-04-28,977.012,0.000,977.012
USHY,2021-12-31,WORST,2022-04-29,878.137,0.000,878.137
USHY,2021-12-31,WORST,2022-05-01,991.335,40023.301,41014.636
USHY,2021-12-31,WORST,2022-05-02,79399.528,454214.104,533613.632
USHY,2021-12-31,WORST,2022-05-03,2230.349,0.000,2230.349
USHY,2021-12-31,WORST,2022-05-04,250.062,0.000,250.062
USHY,2021-12-31,WORST,2022-05-06,410.600,0.000,410.600
USHY,2021-12-31,WORST,2022-05-13,1379.026,0.000,1379.026
USHY,2021-12-31,WORST,2022-05-15,484.413,36824.942,37309.355
USHY,2021-12-31,WORST,2022-05-16,87207.390,449070.596,536277.985
USHY,2021-12-31,WORST,2022-05-17,655.663,0.000,655.663
USHY,2021-12-31,WORST,2022-05-20,2116.537,0.000,2116.537
USHY,2021-12-31,WORST,2022-05-23,980.827,0.000,980.827
USHY,2021-12-31,WORST,2022-05-24,1010.456,8097.390,9107.846
USHY,2021-12-31,WORST,2022-05-31,3566.776,21343.177,24909.952
USHY,2021-12-31,WORST,2022-06-01,72708.824,274138.234,346847.057
USHY,2021-12-31,WORST,2022-06-06,3301.199,0.000,3301.199
USHY,2021-12-31,WORST,2022-06-07,289.683,13910.145,14199.828
USHY,2021-12-31,WORST,2022-06-08,1170.706,0.000,1170.706
USHY,2021-12-31,WORST,2022-06-09,266.820,0.000,266.820
USHY,2021-12-31,WORST,2022-06-13,1037.433,0.000,1037.433
USHY,2021-12-31,WORST,2022-06-14,363.206,0.000,363.206
USHY,2021-12-31,WORST,2022-06-15,66009.082,232948.098,298957.180
USHY,2021-12-31,WORST,2022-06-16,1013.482,0.000,1013.482
USHY,2021-12-31,WORST,2022-06-17,762.207,9003.707,9765.915
USHY,2021-12-31,WORST,2022-06-18,221.279,9756.013,9977.292
USHY,2021-12-31,WORST,2022-06-21,936.250,0.000,936.250
USHY,2021-12-31,WORST,2022-06-27,1758.038,0.000,1758.038
USHY,2021-12-31,WORST,2022-06-30,9783.050,38.230,9821.280
USHY,2021-12-31,WORST,2022-07-01,27094.507,162883.863,189978.370
USHY,2021-12-31,WORST,2022-07-07,585.759,0.000,585.759
USHY,2021-12-31,WORST,2022-07-08,835.859,0.000,835.859
USHY,2021-12-31,WORST,2022-07-11,934.372,0.000,934.372
USHY,2021-12-31,WORST,2022-07-14,589.331,0.000,589.331
USHY,2021-12-31,WORST,2022-07-15,120168.718,407144.096,527312.814
USHY,2021-12-31,WORST,2022-07-18,1949.847,0.000,1949.847
USHY,2021-12-31,WORST,2022-07-20,3111.518,0.000,3111.518
USHY,2021-12-31,WORST,2022-07-22,1434.375,0.000,1434.375
USHY,2021-12-31,WORST,2022-07-25,1111.295,0.000,1111.295
USHY,2021-12-31,WORST,2022-07-26,689.571,0.000,689.571
USHY,2021-12-31,WORST,2022-07-29,1710.361,0.000,1710.361
USHY,2021-12-31,WORST,2022-08-01,92739.037,331372.550,424111.588
USHY,2021-12-31,WORST,2022-08-04,588.204,0.000,588.204
USHY,2021-12-31,WORST,2022-08-08,640.158,0.000,640.158
USHY,2021-12-31,WORST,2022-08-09,571.235,0.000,571.235
USHY,2021-12-31,WORST,2022-08-10,484.824,0.000,484.824
USHY,2021-12-31,WORST,2022-08-12,1187.442,6950.880,8138.323
USHY,2021-12-31,WORST,2022-08-15,98731.033,298000.192,396731.225
USHY,2021-12-31,WORST,2022-08-16,774.315,0.000,774.315
USHY,2021-12-31,WORST,2022-08-17,438.687,0.000,438.687
USHY,2021-12-31,WORST,2022-08-22,501.471,0.000,501.471
USHY,2021-12-31,WORST,2022-08-23,413.577,0.000,413.577
USHY,2021-12-31,WORST,2022-08-29,976.641,0.000,976.641
USHY,2021-12-31,WORST,2022-08-30,513.496,0.000,513.496
USHY,2021-12-31,WORST,2022-08-31,735.924,0.000,735.924
USHY,2021-12-31,WORST,2022-09-01,62304.797,164322.991,226627.788
USHY,2021-12-31,WORST,2022-09-06,212.726,0.000,212.726
USHY,2021-12-31,WORST,2022-09-07,728.863,38112.141,38841.004
USHY,2021-12-31,WORST,2022-09-08,230.486,0.000,230.486
USHY,2021-12-31,WORST,2022-09-09,678.449,0.000,678.449
USHY,2021-12-31,WORST,2022-09-12,60.806,0.000,60.806
USHY,2021-12-31,WORST,2022-09-14,311.785,0.000,311.785
USHY,2021-12-31,WORST,2022-09-15,78052.200,135773.359,213825.559
USHY,2021-12-31,WORST,2022-09-19,1571.970,0.000,1571.970
USHY,2021-12-31,WORST,2022-09-22,180.628,0.000,180.628
USHY,2021-12-31,WORST,2022-09-26,1279.990,0.000,1279.990
