STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
BGRN,2021-12-31,WORST,2022-01-06,5768.652,638652.308,644420.960
BGRN,2021-12-31,WORST,2022-01-10,0.000,0.000,0.000
BGRN,2021-12-31,WORST,2022-01-12,291.540,0.000,291.540
BGRN,2021-12-31,WORST,2022-01-14,2292.079,0.000,2292.079
BGRN,2021-12-31,WORST,2022-01-17,8481.970,0.000,8481.970
BGRN,2021-12-31,WORST,2022-01-18,7233.316,0.000,7233.316
BGRN,2021-12-31,WORST,2022-01-19,247.525,0.000,247.525
BGRN,2021-12-31,WORST,2022-01-20,94.129,0.000,94.129
BGRN,2021-12-31,WORST,2022-01-21,582.818,0.000,582.818
BGRN,2021-12-31,WORST,2022-01-24,3262.430,39603.960,42866.390
BGRN,2021-12-31,WORST,2022-01-25,3987.670,0.000,3987.670
BGRN,2021-12-31,WORST,2022-01-26,153.128,0.000,153.128
BGRN,2021-12-31,WORST,2022-01-27,2137.244,0.000,2137.244
BGRN,2021-12-31,WORST,2022-01-28,11.259,0.000,11.259
BGRN,2021-12-31,WORST,2022-01-31,9713.292,0.000,9713.292
BGRN,2021-12-31,WORST,2022-02-01,5734.950,0.000,5734.950
BGRN,2021-12-31,WORST,2022-02-02,1896.897,-110176.908,-108280.011
BGRN,2021-12-31,WORST,2022-02-03,1992.379,0.000,1992.379
BGRN,2021-12-31,WORST,2022-02-04,1652.388,0.000,1652.388
BGRN,2021-12-31,WORST,2022-02-07,3958.293,-3.056,3955.237
BGRN,2021-12-31,WORST,2022-02-08,2935.025,-843.052,2091.973
BGRN,2021-12-31,WORST,2022-02-09,2690.998,0.000,2690.998
BGRN,2021-12-31,WORST,2022-02-10,1154.688,0.000,1154.688
BGRN,2021-12-31,WORST,2022-02-11,427.548,0.000,427.548
BGRN,2021-12-31,WORST,2022-02-14,3535.210,0.000,3535.210
BGRN,2021-12-31,WORST,2022-02-15,2320.909,0.000,2320.909
BGRN,2021-12-31,WORST,2022-02-16,185.644,0.000,185.644
BGRN,2021-12-31,WORST,2022-02-17,135.113,45037.624,45172.737
BGRN,2021-12-31,WORST,2022-02-18,4941.775,0.000,4941.775
BGRN,2021-12-31,WORST,2022-02-22,3144.620,0.000,3144.620
BGRN,2021-12-31,WORST,2022-02-23,1935.692,0.000,1935.692
BGRN,2021-12-31,WORST,2022-02-24,1433.604,0.000,1433.604
BGRN,2021-12-31,WORST,2022-02-28,6335.230,0.000,6335.230
BGRN,2021-12-31,WORST,2022-03-01,7953.301,22518.812,30472.113
BGRN,2021-12-31,WORST,2022-03-02,459.298,0.000,459.298
BGRN,2021-12-31,WORST,2022-03-03,1070.542,11757.499,12828.041
BGRN,2021-12-31,WORST,2022-03-07,4256.223,0.000,4256.223
BGRN,2021-12-31,WORST,2022-03-08,788.158,0.000,788.158
BGRN,2021-12-31,WORST,2022-03-09,168.429,0.000,168.429
BGRN,2021-12-31,WORST,2022-03-10,1009.992,0.000,1009.992
BGRN,2021-12-31,WORST,2022-03-11,1684.371,0.000,1684.371
BGRN,2021-12-31,WORST,2022-03-14,3866.714,0.000,3866.714
BGRN,2021-12-31,WORST,2022-03-15,6352.645,0.000,6352.645
BGRN,2021-12-31,WORST,2022-03-16,2254.030,0.000,2254.030
BGRN,2021-12-31,WORST,2022-03-17,1479.208,0.000,1479.208
BGRN,2021-12-31,WORST,2022-03-18,7122.169,0.000,7122.169
BGRN,2021-12-31,WORST,2022-03-21,1412.032,0.000,1412.032
BGRN,2021-12-31,WORST,2022-03-22,1003.608,0.000,1003.608
BGRN,2021-12-31,WORST,2022-03-23,1207.337,0.000,1207.337
BGRN,2021-12-31,WORST,2022-03-24,8275.314,0.000,8275.314
BGRN,2021-12-31,WORST,2022-03-25,444.747,0.000,444.747
BGRN,2021-12-31,WORST,2022-03-28,10385.075,0.000,10385.075
BGRN,2021-12-31,WORST,2022-03-29,1827.723,0.000,1827.723
BGRN,2021-12-31,WORST,2022-03-30,4556.748,0.000,4556.748
BGRN,2021-12-31,WORST,2022-03-31,698.003,1216.297,1914.300
BGRN,2021-12-31,WORST,2022-04-01,8011.444,0.000,8011.444
BGRN,2021-12-31,WORST,2022-04-06,281.485,0.000,281.485
BGRN,2021-12-31,WORST,2022-04-07,986.025,0.000,986.025
BGRN,2021-12-31,WORST,2022-04-08,2246.944,0.000,2246.944
BGRN,2021-12-31,WORST,2022-04-11,3418.978,0.000,3418.978
BGRN,2021-12-31,WORST,2022-04-12,569.307,0.000,569.307
BGRN,2021-12-31,WORST,2022-04-13,3978.342,0.000,3978.342
BGRN,2021-12-31,WORST,2022-04-14,415.322,0.000,415.322
BGRN,2021-12-31,WORST,2022-04-15,8437.297,0.000,8437.297
BGRN,2021-12-31,WORST,2022-04-18,198.020,0.000,198.020
BGRN,2021-12-31,WORST,2022-04-19,5113.460,0.000,5113.460
BGRN,2021-12-31,WORST,2022-04-20,182.464,0.000,182.464
BGRN,2021-12-31,WORST,2022-04-21,1013.347,0.000,1013.347
BGRN,2021-12-31,WORST,2022-04-22,11858.727,0.000,11858.727
BGRN,2021-12-31,WORST,2022-04-25,7551.728,33778.218,41329.946
BGRN,2021-12-31,WORST,2022-04-26,1094.353,0.000,1094.353
BGRN,2021-12-31,WORST,2022-04-27,871.163,0.000,871.163
BGRN,2021-12-31,WORST,2022-04-28,198.020,0.000,198.020
BGRN,2021-12-31,WORST,2022-04-29,103.858,0.000,103.858
BGRN,2021-12-31,WORST,2022-05-02,12220.597,0.000,12220.597
BGRN,2021-12-31,WORST,2022-05-04,562.970,0.000,562.970
BGRN,2021-12-31,WORST,2022-05-05,719.565,33778.218,34497.783
BGRN,2021-12-31,WORST,2022-05-09,928.382,0.000,928.382
BGRN,2021-12-31,WORST,2022-05-10,1469.352,0.000,1469.352
BGRN,2021-12-31,WORST,2022-05-11,391.917,0.000,391.917
BGRN,2021-12-31,WORST,2022-05-12,1857.802,0.000,1857.802
BGRN,2021-12-31,WORST,2022-05-13,855.264,0.000,855.264
BGRN,2021-12-31,WORST,2022-05-16,13111.932,13465.347,26577.279
BGRN,2021-12-31,WORST,2022-05-17,626.239,0.000,626.239
BGRN,2021-12-31,WORST,2022-05-18,495.050,0.000,495.050
BGRN,2021-12-31,WORST,2022-05-19,202.669,0.000,202.669
BGRN,2021-12-31,WORST,2022-05-20,3191.077,0.000,3191.077
BGRN,2021-12-31,WORST,2022-05-23,3191.768,0.000,3191.768
