STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
CMBS,2021-12-31,WORST,2022-01-06,0.000,192006.670,192006.670
CMBS,2021-12-31,WORST,2022-01-10,21182.846,15122.203,36305.050
CMBS,2021-12-31,WORST,2022-01-12,167.660,0.000,167.660
CMBS,2021-12-31,WORST,2022-01-13,704.478,0.000,704.478
CMBS,2021-12-31,WORST,2022-01-15,58817.232,29724.157,88541.386
CMBS,2021-12-31,WORST,2022-01-25,50280.839,17938.901,68219.739
CMBS,2021-12-31,WORST,2022-02-10,21146.130,17783.965,38930.095
CMBS,2021-12-31,WORST,2022-02-12,167.660,0.000,167.660
CMBS,2021-12-31,WORST,2022-02-13,704.474,0.000,704.474
CMBS,2021-12-31,WORST,2022-02-15,58730.705,11637.352,70368.055
CMBS,2021-12-31,WORST,2022-02-25,50237.812,12492.622,62730.428
CMBS,2021-12-31,WORST,2022-03-10,21095.815,10603.519,31699.333
CMBS,2021-12-31,WORST,2022-03-12,167.660,0.000,167.660
CMBS,2021-12-31,WORST,2022-03-13,704.346,0.000,704.346
CMBS,2021-12-31,WORST,2022-03-15,58698.876,15568.521,74267.396
CMBS,2021-12-31,WORST,2022-03-25,50214.017,19527.409,69741.426
CMBS,2021-12-31,WORST,2022-04-10,21131.296,22336.472,43467.767
CMBS,2021-12-31,WORST,2022-04-12,167.660,0.000,167.660
CMBS,2021-12-31,WORST,2022-04-13,707.966,0.000,707.966
CMBS,2021-12-31,WORST,2022-04-15,58748.193,42531.747,101279.941
CMBS,2021-12-31,WORST,2022-04-25,50278.692,16631.593,66910.282
CMBS,2021-12-31,WORST,2022-05-10,21000.943,9706.471,30707.414
CMBS,2021-12-31,WORST,2022-05-12,167.660,0.000,167.660
CMBS,2021-12-31,WORST,2022-05-13,703.989,0.000,703.989
CMBS,2021-12-31,WORST,2022-05-15,58610.897,23400.139,82011.035
CMBS,2021-12-31,WORST,2022-05-25,50123.803,20185.490,70309.298
CMBS,2021-12-31,WORST,2022-06-10,21040.154,11582.315,32622.470
CMBS,2021-12-31,WORST,2022-06-12,167.660,0.000,167.660
CMBS,2021-12-31,WORST,2022-06-13,707.686,0.000,707.686
CMBS,2021-12-31,WORST,2022-06-15,58560.593,43499.467,102060.059
CMBS,2021-12-31,WORST,2022-06-25,50190.686,14141.793,64332.473
CMBS,2021-12-31,WORST,2022-07-10,20942.867,9176.088,30118.955
CMBS,2021-12-31,WORST,2022-07-12,167.660,0.000,167.660
CMBS,2021-12-31,WORST,2022-07-13,703.773,0.000,703.773
CMBS,2021-12-31,WORST,2022-07-15,58446.178,14075.911,72522.088
CMBS,2021-12-31,WORST,2022-07-25,50041.071,20190.487,70231.556
CMBS,2021-12-31,WORST,2022-08-10,21277.093,15956.252,37233.346
CMBS,2021-12-31,WORST,2022-08-12,167.660,0.000,167.660
CMBS,2021-12-31,WORST,2022-08-13,707.353,0.000,707.353
CMBS,2021-12-31,WORST,2022-08-15,58478.081,25108.245,83586.327
CMBS,2021-12-31,WORST,2022-08-25,50108.157,15137.418,65245.570
CMBS,2021-12-31,WORST,2022-09-10,20938.477,30335.370,51273.845
CMBS,2021-12-31,WORST,2022-09-12,167.660,103.661,271.321
CMBS,2021-12-31,WORST,2022-09-13,707.345,0.000,707.345
CMBS,2021-12-31,WORST,2022-09-15,58323.939,21087.879,79411.816
CMBS,2021-12-31,WORST,2022-09-25,50071.918,19981.448,70053.365
CMBS,2021-12-31,WORST,2022-10-10,20794.255,71109.158,91903.414
CMBS,2021-12-31,WORST,2022-10-12,167.382,1086.813,1254.195
CMBS,2021-12-31,WORST,2022-10-13,703.648,0.000,703.648
CMBS,2021-12-31,WORST,2022-10-15,58166.708,69715.340,127882.049
CMBS,2021-12-31,WORST,2022-10-25,49906.973,47760.662,97667.635
CMBS,2021-12-31,WORST,2022-11-10,20667.663,61236.324,81903.987
CMBS,2021-12-31,WORST,2022-11-12,164.476,0.000,164.476
CMBS,2021-12-31,WORST,2022-11-13,707.331,0.000,707.331
CMBS,2021-12-31,WORST,2022-11-15,58072.280,111236.697,169308.977
CMBS,2021-12-31,WORST,2022-11-25,49930.662,37661.395,87592.061
CMBS,2021-12-31,WORST,2022-12-10,21085.279,125510.053,146595.331
CMBS,2021-12-31,WORST,2022-12-12,164.476,0.000,164.476
CMBS,2021-12-31,WORST,2022-12-13,703.667,0.000,703.667
CMBS,2021-12-31,WORST,2022-12-15,57672.700,71091.184,128763.883
CMBS,2021-12-31,WORST,2022-12-25,49720.256,50668.577,100388.830
CMBS,2021-12-31,WORST,2023-01-10,20256.640,93092.850,113349.489
CMBS,2021-12-31,WORST,2023-01-12,929.693,10389.129,11318.822
CMBS,2021-12-31,WORST,2023-01-13,703.663,1.611,705.274
CMBS,2021-12-31,WORST,2023-01-15,57479.960,147086.232,204566.192
CMBS,2021-12-31,WORST,2023-01-25,49551.942,99984.915,149536.856
CMBS,2021-12-31,WORST,2023-02-10,19822.882,51801.230,71624.113
