STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
ELQD,2021-12-31,WORST,2022-01-06,11418.750,776536.700,787955.450
ELQD,2021-12-31,WORST,2022-01-12,40468.750,0.000,40468.750
ELQD,2021-12-31,WORST,2022-01-13,18687.500,0.000,18687.500
ELQD,2021-12-31,WORST,2022-01-14,9794.330,0.000,9794.330
ELQD,2021-12-31,WORST,2022-01-18,61590.001,0.000,61590.001
ELQD,2021-12-31,WORST,2022-01-20,4343.750,0.000,4343.750
ELQD,2021-12-31,WORST,2022-01-21,46007.000,0.000,46007.000
ELQD,2021-12-31,WORST,2022-01-24,19820.000,0.000,19820.000
ELQD,2021-12-31,WORST,2022-01-26,8500.000,0.000,8500.000
ELQD,2021-12-31,WORST,2022-01-27,8062.500,0.000,8062.500
ELQD,2021-12-31,WORST,2022-01-31,18500.000,0.000,18500.000
ELQD,2021-12-31,WORST,2022-02-01,12650.000,0.000,12650.000
ELQD,2021-12-31,WORST,2022-02-03,2150.000,0.000,2150.000
ELQD,2021-12-31,WORST,2022-02-07,25200.000,0.000,25200.000
ELQD,2021-12-31,WORST,2022-02-09,7687.500,0.000,7687.500
ELQD,2021-12-31,WORST,2022-02-10,12200.000,0.000,12200.000
ELQD,2021-12-31,WORST,2022-02-14,22050.000,0.000,22050.000
ELQD,2021-12-31,WORST,2022-02-15,38452.124,0.000,38452.124
ELQD,2021-12-31,WORST,2022-02-17,9187.500,0.000,9187.500
ELQD,2021-12-31,WORST,2022-02-23,20925.000,0.000,20925.000
ELQD,2021-12-31,WORST,2022-02-25,7187.500,0.000,7187.500
ELQD,2021-12-31,WORST,2022-02-28,2437.500,0.000,2437.500
ELQD,2021-12-31,WORST,2022-03-01,45637.500,0.000,45637.500
ELQD,2021-12-31,WORST,2022-03-02,562.500,0.000,562.500
ELQD,2021-12-31,WORST,2022-03-07,5250.000,0.000,5250.000
ELQD,2021-12-31,WORST,2022-03-09,325.000,0.000,325.000
ELQD,2021-12-31,WORST,2022-03-14,14195.000,0.000,14195.000
ELQD,2021-12-31,WORST,2022-03-15,78446.566,0.000,78446.566
ELQD,2021-12-31,WORST,2022-03-21,36268.750,0.000,36268.750
ELQD,2021-12-31,WORST,2022-03-22,44255.000,0.000,44255.000
ELQD,2021-12-31,WORST,2022-03-23,22400.000,0.000,22400.000
ELQD,2021-12-31,WORST,2022-03-24,7695.875,0.000,7695.875
ELQD,2021-12-31,WORST,2022-03-25,56856.250,0.000,56856.250
ELQD,2021-12-31,WORST,2022-03-28,39315.625,0.000,39315.625
ELQD,2021-12-31,WORST,2022-03-31,11581.500,0.000,11581.500
ELQD,2021-12-31,WORST,2022-04-01,79623.097,0.000,79623.097
ELQD,2021-12-31,WORST,2022-04-04,2187.500,0.000,2187.500
ELQD,2021-12-31,WORST,2022-04-05,3577.000,0.000,3577.000
ELQD,2021-12-31,WORST,2022-04-13,1718.750,0.000,1718.750
ELQD,2021-12-31,WORST,2022-04-15,14212.013,0.000,14212.013
ELQD,2021-12-31,WORST,2022-04-19,22626.000,0.000,22626.000
ELQD,2021-12-31,WORST,2022-04-20,2500.000,0.000,2500.000
ELQD,2021-12-31,WORST,2022-04-22,46366.875,0.000,46366.875
ELQD,2021-12-31,WORST,2022-04-25,12230.125,0.000,12230.125
ELQD,2021-12-31,WORST,2022-04-26,9562.500,0.000,9562.500
ELQD,2021-12-31,WORST,2022-04-29,11625.000,0.000,11625.000
ELQD,2021-12-31,WORST,2022-05-02,46229.500,0.000,46229.500
ELQD,2021-12-31,WORST,2022-05-03,2178.000,0.000,2178.000
ELQD,2021-12-31,WORST,2022-05-10,2875.000,0.000,2875.000
ELQD,2021-12-31,WORST,2022-05-11,14559.375,0.000,14559.375
ELQD,2021-12-31,WORST,2022-05-12,17387.500,0.000,17387.500
ELQD,2021-12-31,WORST,2022-05-13,11250.000,0.000,11250.000
ELQD,2021-12-31,WORST,2022-05-16,104781.500,0.000,104781.500
ELQD,2021-12-31,WORST,2022-05-18,9718.750,0.000,9718.750
ELQD,2021-12-31,WORST,2022-05-20,6351.750,0.000,6351.750
ELQD,2021-12-31,WORST,2022-05-23,40650.000,0.000,40650.000
ELQD,2021-12-31,WORST,2022-05-24,31071.250,0.000,31071.250
ELQD,2021-12-31,WORST,2022-05-31,25043.750,0.000,25043.750
ELQD,2021-12-31,WORST,2022-06-01,59018.750,0.000,59018.750
ELQD,2021-12-31,WORST,2022-06-03,2018.750,0.000,2018.750
ELQD,2021-12-31,WORST,2022-06-06,7125.875,0.000,7125.875
ELQD,2021-12-31,WORST,2022-06-08,1906.250,0.000,1906.250
ELQD,2021-12-31,WORST,2022-06-09,2925.000,0.000,2925.000
ELQD,2021-12-31,WORST,2022-06-13,2250.000,0.000,2250.000
ELQD,2021-12-31,WORST,2022-06-14,14937.500,0.000,14937.500
ELQD,2021-12-31,WORST,2022-06-15,54905.416,0.000,54905.416
ELQD,2021-12-31,WORST,2022-06-17,4637.500,0.000,4637.500
ELQD,2021-12-31,WORST,2022-06-21,17612.500,0.000,17612.500
ELQD,2021-12-31,WORST,2022-06-24,1812.500,0.000,1812.500
ELQD,2021-12-31,WORST,2022-06-30,5000.000,0.000,5000.000
ELQD,2021-12-31,WORST,2022-07-01,8043.750,0.000,8043.750
ELQD,2021-12-31,WORST,2022-07-06,3375.000,0.000,3375.000
ELQD,2021-12-31,WORST,2022-07-12,40468.750,0.000,40468.750
ELQD,2021-12-31,WORST,2022-07-13,18687.500,0.000,18687.500
ELQD,2021-12-31,WORST,2022-07-14,9702.500,0.000,9702.500
ELQD,2021-12-31,WORST,2022-07-15,42470.000,0.000,42470.000
ELQD,2021-12-31,WORST,2022-07-18,8437.500,0.000,8437.500
ELQD,2021-12-31,WORST,2022-07-19,10240.000,0.000,10240.000
