STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
GHYG,2021-12-31,WORST,2022-01-06,31855.710,401755.117,433610.827
GHYG,2021-12-31,WORST,2022-01-10,3731.388,29357.143,33088.531
GHYG,2021-12-31,WORST,2022-01-11,203.071,0.000,203.071
GHYG,2021-12-31,WORST,2022-01-14,2820.054,0.000,2820.054
GHYG,2021-12-31,WORST,2022-01-15,276.508,18571.429,18847.937
GHYG,2021-12-31,WORST,2022-01-17,30674.335,0.000,30674.335
GHYG,2021-12-31,WORST,2022-01-18,103627.794,45607.143,149234.937
GHYG,2021-12-31,WORST,2022-01-19,1177.814,0.000,1177.814
GHYG,2021-12-31,WORST,2022-01-20,3181.250,0.000,3181.250
GHYG,2021-12-31,WORST,2022-01-21,500.000,0.000,500.000
GHYG,2021-12-31,WORST,2022-01-24,5486.079,0.000,5486.079
GHYG,2021-12-31,WORST,2022-01-25,785.714,0.000,785.714
GHYG,2021-12-31,WORST,2022-01-28,1502.729,0.000,1502.729
GHYG,2021-12-31,WORST,2022-01-30,10410.090,737343.327,747753.417
GHYG,2021-12-31,WORST,2022-01-31,19199.808,22337.857,41537.665
GHYG,2021-12-31,WORST,2022-02-01,71124.614,209233.357,280357.971
GHYG,2021-12-31,WORST,2022-02-03,527.986,0.000,527.986
GHYG,2021-12-31,WORST,2022-02-04,974.743,0.000,974.743
GHYG,2021-12-31,WORST,2022-02-07,4159.960,0.000,4159.960
GHYG,2021-12-31,WORST,2022-02-10,675.000,0.000,675.000
GHYG,2021-12-31,WORST,2022-02-11,934.129,0.000,934.129
GHYG,2021-12-31,WORST,2022-02-14,2811.883,33547.400,36359.283
GHYG,2021-12-31,WORST,2022-02-15,99798.920,330111.621,429910.541
GHYG,2021-12-31,WORST,2022-02-16,1192.436,0.000,1192.436
GHYG,2021-12-31,WORST,2022-02-17,2875.979,0.000,2875.979
GHYG,2021-12-31,WORST,2022-02-18,852.900,0.000,852.900
GHYG,2021-12-31,WORST,2022-02-22,1797.125,0.000,1797.125
