STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBDD,2020-10-02,WORST,2020-10-08,89.120,319017.300,319106.420
IBDD,2020-10-02,WORST,2020-10-09,2206.296,0.000,2206.296
IBDD,2020-10-02,WORST,2020-10-13,3238.889,0.000,3238.889
IBDD,2020-10-02,WORST,2020-10-15,10407.333,0.000,10407.333
IBDD,2020-10-02,WORST,2020-10-19,1286.111,0.000,1286.111
IBDD,2020-10-02,WORST,2020-10-21,1895.791,0.000,1895.791
IBDD,2020-10-02,WORST,2020-10-23,569.444,0.000,569.444
IBDD,2020-10-02,WORST,2020-10-26,4726.204,0.000,4726.204
IBDD,2020-10-02,WORST,2020-10-27,1301.296,0.000,1301.296
IBDD,2020-10-02,WORST,2020-10-29,1088.889,0.000,1088.889
IBDD,2020-10-02,WORST,2020-11-02,12942.454,0.000,12942.454
IBDD,2020-10-02,WORST,2020-11-03,1009.028,0.000,1009.028
IBDD,2020-10-02,WORST,2020-11-06,7909.185,0.000,7909.185
IBDD,2020-10-02,WORST,2020-11-09,7422.130,0.000,7422.130
IBDD,2020-10-02,WORST,2020-11-12,3861.574,0.000,3861.574
IBDD,2020-10-02,WORST,2020-11-13,1730.556,0.000,1730.556
IBDD,2020-10-02,WORST,2020-11-16,15948.241,0.000,15948.241
IBDD,2020-10-02,WORST,2020-11-17,1062.963,0.000,1062.963
IBDD,2020-10-02,WORST,2020-11-18,1912.130,0.000,1912.130
IBDD,2020-10-02,WORST,2020-11-19,2575.926,0.000,2575.926
IBDD,2020-10-02,WORST,2020-11-20,2976.852,0.000,2976.852
IBDD,2020-10-02,WORST,2020-11-23,3547.407,0.000,3547.407
IBDD,2020-10-02,WORST,2020-11-27,1652.778,0.000,1652.778
IBDD,2020-10-02,WORST,2020-11-30,3592.500,0.000,3592.500
IBDD,2020-10-02,WORST,2020-12-01,12415.994,0.000,12415.994
IBDD,2020-10-02,WORST,2020-12-02,1055.093,0.000,1055.093
IBDD,2020-10-02,WORST,2020-12-07,3934.417,0.000,3934.417
IBDD,2020-10-02,WORST,2020-12-08,1015.926,0.000,1015.926
IBDD,2020-10-02,WORST,2020-12-10,924.907,0.000,924.907
IBDD,2020-10-02,WORST,2020-12-14,1989.583,0.000,1989.583
IBDD,2020-10-02,WORST,2020-12-15,15110.007,0.000,15110.007
IBDD,2020-10-02,WORST,2020-12-16,1772.963,0.000,1772.963
IBDD,2020-10-02,WORST,2020-12-18,1237.963,0.000,1237.963
IBDD,2020-10-02,WORST,2020-12-21,1186.111,0.000,1186.111
IBDD,2020-10-02,WORST,2020-12-22,312.500,0.000,312.500
IBDD,2020-10-02,WORST,2020-12-28,2495.185,0.000,2495.185
IBDD,2020-10-02,WORST,2020-12-29,1720.926,0.000,1720.926
IBDD,2020-10-02,WORST,2020-12-30,2565.278,0.000,2565.278
IBDD,2020-10-02,WORST,2021-01-05,902.778,0.000,902.778
IBDD,2020-10-02,WORST,2021-01-06,145.833,0.000,145.833
IBDD,2020-10-02,WORST,2021-01-08,986.111,0.000,986.111
IBDD,2020-10-02,WORST,2021-01-11,11254.806,0.000,11254.806
IBDD,2020-10-02,WORST,2021-01-12,1685.867,0.000,1685.867
IBDD,2020-10-02,WORST,2021-01-13,2603.704,0.000,2603.704
IBDD,2020-10-02,WORST,2021-01-15,20319.820,0.000,20319.820
IBDD,2020-10-02,WORST,2021-01-19,8630.287,0.000,8630.287
IBDD,2020-10-02,WORST,2021-01-20,4075.231,0.000,4075.231
IBDD,2020-10-02,WORST,2021-01-22,6635.880,0.000,6635.880
IBDD,2020-10-02,WORST,2021-01-25,14022.098,0.000,14022.098
IBDD,2020-10-02,WORST,2021-01-27,615.556,0.000,615.556
IBDD,2020-10-02,WORST,2021-01-29,770.278,0.000,770.278
IBDD,2020-10-02,WORST,2021-02-01,21835.602,0.000,21835.602
IBDD,2020-10-02,WORST,2021-02-03,833.333,0.000,833.333
IBDD,2020-10-02,WORST,2021-02-08,1111.111,0.000,1111.111
IBDD,2020-10-02,WORST,2021-02-09,1789.167,0.000,1789.167
IBDD,2020-10-02,WORST,2021-02-10,1496.065,0.000,1496.065
IBDD,2020-10-02,WORST,2021-02-11,694.444,0.000,694.444
IBDD,2020-10-02,WORST,2021-02-16,21088.830,0.000,21088.830
IBDD,2020-10-02,WORST,2021-02-19,338.704,0.000,338.704
IBDD,2020-10-02,WORST,2021-02-22,4631.667,0.000,4631.667
IBDD,2020-10-02,WORST,2021-02-23,4914.352,0.000,4914.352
IBDD,2020-10-02,WORST,2021-02-25,3437.500,0.000,3437.500
IBDD,2020-10-02,WORST,2021-03-01,15858.602,0.000,15858.602
