STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBDO,2021-12-31,WORST,2022-01-06,4254.196,1210533.346,1214787.542
IBDO,2021-12-31,WORST,2022-01-07,442.742,0.000,442.742
IBDO,2021-12-31,WORST,2022-01-10,4648.294,0.000,4648.294
IBDO,2021-12-31,WORST,2022-01-11,4780.588,0.000,4780.588
IBDO,2021-12-31,WORST,2022-01-13,1188.300,0.000,1188.300
IBDO,2021-12-31,WORST,2022-01-14,1142.962,0.000,1142.962
IBDO,2021-12-31,WORST,2022-01-18,21336.076,0.000,21336.076
IBDO,2021-12-31,WORST,2022-01-19,2882.166,0.000,2882.166
IBDO,2021-12-31,WORST,2022-01-20,1292.246,0.000,1292.246
IBDO,2021-12-31,WORST,2022-01-24,9715.787,0.000,9715.787
IBDO,2021-12-31,WORST,2022-01-25,4412.212,0.000,4412.212
IBDO,2021-12-31,WORST,2022-01-26,2901.251,0.000,2901.251
IBDO,2021-12-31,WORST,2022-01-27,916.183,0.000,916.183
IBDO,2021-12-31,WORST,2022-01-31,7450.346,0.000,7450.346
IBDO,2021-12-31,WORST,2022-02-01,10295.433,0.000,10295.433
IBDO,2021-12-31,WORST,2022-02-02,593.538,0.000,593.538
IBDO,2021-12-31,WORST,2022-02-03,2590.162,0.000,2590.162
IBDO,2021-12-31,WORST,2022-02-04,414.285,71000.000,71414.285
IBDO,2021-12-31,WORST,2022-02-07,1009.054,0.000,1009.054
IBDO,2021-12-31,WORST,2022-02-08,2029.708,0.000,2029.708
IBDO,2021-12-31,WORST,2022-02-09,458.492,0.000,458.492
IBDO,2021-12-31,WORST,2022-02-10,828.962,0.000,828.962
IBDO,2021-12-31,WORST,2022-02-11,1180.008,0.000,1180.008
IBDO,2021-12-31,WORST,2022-02-14,2551.931,0.000,2551.931
IBDO,2021-12-31,WORST,2022-02-15,12154.003,0.000,12154.003
IBDO,2021-12-31,WORST,2022-02-16,2959.523,0.000,2959.523
IBDO,2021-12-31,WORST,2022-02-17,996.962,0.000,996.962
IBDO,2021-12-31,WORST,2022-02-18,608.077,0.000,608.077
IBDO,2021-12-31,WORST,2022-02-22,2682.208,0.000,2682.208
IBDO,2021-12-31,WORST,2022-02-23,3628.710,0.000,3628.710
IBDO,2021-12-31,WORST,2022-02-24,126.923,0.000,126.923
IBDO,2021-12-31,WORST,2022-02-25,2925.635,0.000,2925.635
IBDO,2021-12-31,WORST,2022-02-28,3237.681,0.000,3237.681
IBDO,2021-12-31,WORST,2022-03-01,12826.489,0.000,12826.489
IBDO,2021-12-31,WORST,2022-03-02,1762.237,0.000,1762.237
IBDO,2021-12-31,WORST,2022-03-03,1294.500,0.000,1294.500
IBDO,2021-12-31,WORST,2022-03-07,2939.638,0.000,2939.638
IBDO,2021-12-31,WORST,2022-03-08,205.967,0.000,205.967
IBDO,2021-12-31,WORST,2022-03-09,347.692,0.000,347.692
IBDO,2021-12-31,WORST,2022-03-10,679.667,0.000,679.667
IBDO,2021-12-31,WORST,2022-03-11,359.042,0.000,359.042
IBDO,2021-12-31,WORST,2022-03-14,5308.012,0.000,5308.012
IBDO,2021-12-31,WORST,2022-03-15,25149.765,0.000,25149.765
IBDO,2021-12-31,WORST,2022-03-16,1448.646,0.000,1448.646
IBDO,2021-12-31,WORST,2022-03-18,1456.121,0.000,1456.121
IBDO,2021-12-31,WORST,2022-03-21,3390.338,0.000,3390.338
IBDO,2021-12-31,WORST,2022-03-22,478.125,0.000,478.125
IBDO,2021-12-31,WORST,2022-03-23,1935.308,0.000,1935.308
IBDO,2021-12-31,WORST,2022-03-25,736.492,0.000,736.492
IBDO,2021-12-31,WORST,2022-03-28,1650.685,0.000,1650.685
IBDO,2021-12-31,WORST,2022-03-29,1922.712,0.000,1922.712
IBDO,2021-12-31,WORST,2022-03-30,675.823,0.000,675.823
IBDO,2021-12-31,WORST,2022-03-31,1371.700,0.000,1371.700
IBDO,2021-12-31,WORST,2022-04-01,10748.113,0.000,10748.113
IBDO,2021-12-31,WORST,2022-04-04,7588.685,0.000,7588.685
IBDO,2021-12-31,WORST,2022-04-05,1680.085,0.000,1680.085
IBDO,2021-12-31,WORST,2022-04-06,1986.715,0.000,1986.715
IBDO,2021-12-31,WORST,2022-04-07,21.108,0.000,21.108
IBDO,2021-12-31,WORST,2022-04-11,4208.687,0.000,4208.687
IBDO,2021-12-31,WORST,2022-04-12,2499.738,0.000,2499.738
IBDO,2021-12-31,WORST,2022-04-15,11571.438,0.000,11571.438
IBDO,2021-12-31,WORST,2022-04-18,2901.060,0.000,2901.060
IBDO,2021-12-31,WORST,2022-04-19,3415.105,0.000,3415.105
IBDO,2021-12-31,WORST,2022-04-20,646.285,0.000,646.285
IBDO,2021-12-31,WORST,2022-04-25,1200.356,0.000,1200.356
IBDO,2021-12-31,WORST,2022-04-26,124.192,0.000,124.192
IBDO,2021-12-31,WORST,2022-04-28,641.308,0.000,641.308
IBDO,2021-12-31,WORST,2022-04-29,2040.279,0.000,2040.279
IBDO,2021-12-31,WORST,2022-05-02,12394.203,0.000,12394.203
IBDO,2021-12-31,WORST,2022-05-03,5038.625,0.000,5038.625
IBDO,2021-12-31,WORST,2022-05-04,1669.808,0.000,1669.808
IBDO,2021-12-31,WORST,2022-05-05,796.731,0.000,796.731
IBDO,2021-12-31,WORST,2022-05-09,1615.648,0.000,1615.648
IBDO,2021-12-31,WORST,2022-05-10,1786.640,0.000,1786.640
IBDO,2021-12-31,WORST,2022-05-11,1132.797,0.000,1132.797
IBDO,2021-12-31,WORST,2022-05-12,22.404,0.000,22.404
IBDO,2021-12-31,WORST,2022-05-13,1400.780,0.000,1400.780
IBDO,2021-12-31,WORST,2022-05-16,22222.011,0.000,22222.011
IBDO,2021-12-31,WORST,2022-05-17,187.478,0.000,187.478
IBDO,2021-12-31,WORST,2022-05-18,2773.462,0.000,2773.462
IBDO,2021-12-31,WORST,2022-05-20,2701.346,0.000,2701.346
IBDO,2021-12-31,WORST,2022-05-23,3118.472,0.000,3118.472
IBDO,2021-12-31,WORST,2022-05-24,909.808,0.000,909.808
IBDO,2021-12-31,WORST,2022-05-25,3061.708,0.000,3061.708
IBDO,2021-12-31,WORST,2022-05-26,2471.603,0.000,2471.603
IBDO,2021-12-31,WORST,2022-05-27,466.769,0.000,466.769
IBDO,2021-12-31,WORST,2022-05-31,2458.565,0.000,2458.565
IBDO,2021-12-31,WORST,2022-06-01,10105.366,0.000,10105.366
IBDO,2021-12-31,WORST,2022-06-02,60.577,0.000,60.577
IBDO,2021-12-31,WORST,2022-06-03,71.969,0.000,71.969
IBDO,2021-12-31,WORST,2022-06-06,4020.365,0.000,4020.365
