STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBDS,2021-12-31,WORST,2022-01-06,6024.208,173120.950,179145.157
IBDS,2021-12-31,WORST,2022-01-10,541.547,0.000,541.547
IBDS,2021-12-31,WORST,2022-01-11,4298.562,0.000,4298.562
IBDS,2021-12-31,WORST,2022-01-12,2553.008,0.000,2553.008
IBDS,2021-12-31,WORST,2022-01-13,2720.000,0.000,2720.000
IBDS,2021-12-31,WORST,2022-01-18,36900.972,5891.790,42792.762
IBDS,2021-12-31,WORST,2022-01-20,3845.730,0.000,3845.730
IBDS,2021-12-31,WORST,2022-01-21,1297.376,0.000,1297.376
IBDS,2021-12-31,WORST,2022-01-24,4999.047,0.000,4999.047
IBDS,2021-12-31,WORST,2022-01-25,1318.868,0.000,1318.868
IBDS,2021-12-31,WORST,2022-01-26,3544.097,0.000,3544.097
IBDS,2021-12-31,WORST,2022-01-27,642.030,0.000,642.030
IBDS,2021-12-31,WORST,2022-02-01,11529.072,0.000,11529.072
IBDS,2021-12-31,WORST,2022-02-03,616.689,0.000,616.689
IBDS,2021-12-31,WORST,2022-02-07,4171.361,0.000,4171.361
IBDS,2021-12-31,WORST,2022-02-09,3970.322,0.000,3970.322
IBDS,2021-12-31,WORST,2022-02-10,714.455,0.000,714.455
IBDS,2021-12-31,WORST,2022-02-11,792.215,0.000,792.215
IBDS,2021-12-31,WORST,2022-02-14,1205.114,0.000,1205.114
IBDS,2021-12-31,WORST,2022-02-15,20315.897,0.000,20315.897
IBDS,2021-12-31,WORST,2022-02-16,553.762,0.000,553.762
IBDS,2021-12-31,WORST,2022-02-17,1232.890,0.000,1232.890
IBDS,2021-12-31,WORST,2022-02-22,9223.509,0.000,9223.509
IBDS,2021-12-31,WORST,2022-02-24,791.980,0.000,791.980
IBDS,2021-12-31,WORST,2022-02-28,1676.498,0.000,1676.498
IBDS,2021-12-31,WORST,2022-03-01,17731.919,0.000,17731.919
IBDS,2021-12-31,WORST,2022-03-02,1613.032,0.000,1613.032
IBDS,2021-12-31,WORST,2022-03-03,747.723,0.000,747.723
IBDS,2021-12-31,WORST,2022-03-08,4425.979,0.000,4425.979
IBDS,2021-12-31,WORST,2022-03-09,2310.458,0.000,2310.458
IBDS,2021-12-31,WORST,2022-03-11,1036.527,0.000,1036.527
IBDS,2021-12-31,WORST,2022-03-14,4680.223,0.000,4680.223
IBDS,2021-12-31,WORST,2022-03-15,22344.763,0.000,22344.763
IBDS,2021-12-31,WORST,2022-03-16,4371.071,0.000,4371.071
IBDS,2021-12-31,WORST,2022-03-21,3140.900,0.000,3140.900
IBDS,2021-12-31,WORST,2022-03-22,1192.724,445.680,1638.404
IBDS,2021-12-31,WORST,2022-03-23,783.045,0.000,783.045
IBDS,2021-12-31,WORST,2022-03-25,3857.599,0.000,3857.599
IBDS,2021-12-31,WORST,2022-03-28,2445.458,0.000,2445.458
IBDS,2021-12-31,WORST,2022-03-29,8250.223,0.000,8250.223
IBDS,2021-12-31,WORST,2022-03-30,979.579,0.000,979.579
IBDS,2021-12-31,WORST,2022-04-01,26817.729,0.000,26817.729
IBDS,2021-12-31,WORST,2022-04-04,1668.267,0.000,1668.267
IBDS,2021-12-31,WORST,2022-04-05,719.745,0.000,719.745
IBDS,2021-12-31,WORST,2022-04-06,3611.819,0.000,3611.819
IBDS,2021-12-31,WORST,2022-04-11,1546.411,0.000,1546.411
IBDS,2021-12-31,WORST,2022-04-13,464.109,0.000,464.109
IBDS,2021-12-31,WORST,2022-04-14,919.203,0.000,919.203
IBDS,2021-12-31,WORST,2022-04-15,21202.102,5891.790,27093.891
IBDS,2021-12-31,WORST,2022-04-19,2107.528,0.000,2107.528
IBDS,2021-12-31,WORST,2022-04-21,3051.030,0.000,3051.030
IBDS,2021-12-31,WORST,2022-04-25,5085.903,0.000,5085.903
IBDS,2021-12-31,WORST,2022-04-27,1703.651,0.000,1703.651
IBDS,2021-12-31,WORST,2022-04-29,2445.545,0.000,2445.545
IBDS,2021-12-31,WORST,2022-05-02,11446.308,0.000,11446.308
IBDS,2021-12-31,WORST,2022-05-03,4737.401,0.000,4737.401
IBDS,2021-12-31,WORST,2022-05-04,1168.781,0.000,1168.781
IBDS,2021-12-31,WORST,2022-05-05,1800.446,0.000,1800.446
IBDS,2021-12-31,WORST,2022-05-09,778.837,0.000,778.837
IBDS,2021-12-31,WORST,2022-05-11,5360.524,0.000,5360.524
IBDS,2021-12-31,WORST,2022-05-13,2605.724,0.000,2605.724
IBDS,2021-12-31,WORST,2022-05-16,23834.420,0.000,23834.420
IBDS,2021-12-31,WORST,2022-05-17,1337.450,0.000,1337.450
IBDS,2021-12-31,WORST,2022-05-18,1075.990,0.000,1075.990
IBDS,2021-12-31,WORST,2022-05-19,1665.495,0.000,1665.495
IBDS,2021-12-31,WORST,2022-05-20,2518.750,0.000,2518.750
IBDS,2021-12-31,WORST,2022-05-25,4456.837,0.000,4456.837
IBDS,2021-12-31,WORST,2022-05-31,2041.658,0.000,2041.658
IBDS,2021-12-31,WORST,2022-06-01,28669.617,0.000,28669.617
IBDS,2021-12-31,WORST,2022-06-02,1484.146,0.000,1484.146
IBDS,2021-12-31,WORST,2022-06-03,324.950,0.000,324.950
IBDS,2021-12-31,WORST,2022-06-06,7763.218,0.000,7763.218
IBDS,2021-12-31,WORST,2022-06-08,822.215,0.000,822.215
IBDS,2021-12-31,WORST,2022-06-13,899.598,0.000,899.598
IBDS,2021-12-31,WORST,2022-06-15,24537.361,0.000,24537.361
IBDS,2021-12-31,WORST,2022-06-17,1122.772,0.000,1122.772
IBDS,2021-12-31,WORST,2022-06-21,1441.491,0.000,1441.491
IBDS,2021-12-31,WORST,2022-06-22,1384.963,0.000,1384.963
IBDS,2021-12-31,WORST,2022-06-30,2677.939,0.000,2677.939
IBDS,2021-12-31,WORST,2022-07-01,5364.709,0.000,5364.709
IBDS,2021-12-31,WORST,2022-07-06,659.499,0.000,659.499
IBDS,2021-12-31,WORST,2022-07-08,541.547,0.000,541.547
IBDS,2021-12-31,WORST,2022-07-11,4298.562,0.000,4298.562
IBDS,2021-12-31,WORST,2022-07-12,2553.008,0.000,2553.008
IBDS,2021-12-31,WORST,2022-07-13,2720.000,0.000,2720.000
IBDS,2021-12-31,WORST,2022-07-15,32817.588,6905.404,39722.992
IBDS,2021-12-31,WORST,2022-07-18,3693.072,0.000,3693.072
IBDS,2021-12-31,WORST,2022-07-19,660.322,0.000,660.322
IBDS,2021-12-31,WORST,2022-07-20,3845.730,0.000,3845.730
IBDS,2021-12-31,WORST,2022-07-21,1297.376,0.000,1297.376
IBDS,2021-12-31,WORST,2022-07-22,4999.047,0.000,4999.047
IBDS,2021-12-31,WORST,2022-07-25,1318.868,0.000,1318.868
IBDS,2021-12-31,WORST,2022-07-26,3544.097,0.000,3544.097
IBDS,2021-12-31,WORST,2022-07-27,642.030,0.000,642.030
IBDS,2021-12-31,WORST,2022-08-01,12891.622,0.000,12891.622
IBDS,2021-12-31,WORST,2022-08-03,616.689,0.000,616.689
IBDS,2021-12-31,WORST,2022-08-05,476.832,0.000,476.832
IBDS,2021-12-31,WORST,2022-08-08,3694.530,0.000,3694.530
IBDS,2021-12-31,WORST,2022-08-09,3970.322,0.000,3970.322
IBDS,2021-12-31,WORST,2022-08-10,714.455,0.000,714.455
IBDS,2021-12-31,WORST,2022-08-11,792.215,0.000,792.215
IBDS,2021-12-31,WORST,2022-08-12,269.619,0.000,269.619
IBDS,2021-12-31,WORST,2022-08-15,21180.795,0.000,21180.795
IBDS,2021-12-31,WORST,2022-08-16,553.762,0.000,553.762
IBDS,2021-12-31,WORST,2022-08-17,1232.890,0.000,1232.890
IBDS,2021-12-31,WORST,2022-08-22,9223.509,0.000,9223.509
IBDS,2021-12-31,WORST,2022-08-24,791.980,0.000,791.980
IBDS,2021-12-31,WORST,2022-08-29,1676.498,0.000,1676.498
IBDS,2021-12-31,WORST,2022-09-01,17698.179,0.000,17698.179
IBDS,2021-12-31,WORST,2022-09-02,1613.032,0.000,1613.032
IBDS,2021-12-31,WORST,2022-09-06,747.723,0.000,747.723
IBDS,2021-12-31,WORST,2022-09-08,4449.700,0.000,4449.700
IBDS,2021-12-31,WORST,2022-09-09,2310.458,0.000,2310.458
IBDS,2021-12-31,WORST,2022-09-12,4282.592,0.000,4282.592
IBDS,2021-12-31,WORST,2022-09-14,1434.158,0.000,1434.158
IBDS,2021-12-31,WORST,2022-09-15,22892.641,0.000,22892.641
IBDS,2021-12-31,WORST,2022-09-16,4371.071,0.000,4371.071
