iShares® iBonds® Dec 2027 Term Corporate ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Sep 12, 2017"
Shares Outstanding,"20,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"CITIGROUP INC","Corporates","Fixed Income","6,282,245.35","1.17","6,282,245.35","5,579,000.00","172967KA8","US172967KA87","BY7RB31","111.47","United States","-","USD","5.08","2.31","1.00","Sep 29, 2027","4.45","5.06","-","2.31","5.06","2.31","USD","Sep 29, 2015","Sep 29, 2015"
"T-MOBILE USA INC","Corporates","Fixed Income","5,891,932.90","1.10","5,891,932.90","5,401,000.00","87264ABD6","US87264ABD63","-","108.30","United States","-","USD","4.70","2.08","1.00","Apr 15, 2027","3.75","4.78","-","2.04","4.65","2.04","USD","Apr 15, 2021","May 21, 2021"
"BAT CAPITAL CORP","Corporates","Fixed Income","5,302,032.29","0.99","5,302,032.29","4,988,000.00","05526DBB0","US05526DBB01","BG5QSC2","104.95","United Kingdom","-","USD","4.95","2.60","1.00","Aug 15, 2027","3.56","5.03","-","2.56","4.82","2.56","USD","Aug 15, 2018","Nov 20, 2018"
"AMAZON.COM INC","Corporates","Fixed Income","5,068,678.00","0.94","5,068,678.00","4,640,000.00","023135BC9","US023135BC96","BDGMR43","108.11","United States","-","USD","5.00","1.64","1.00","Aug 22, 2027","3.15","5.14","-","1.58","4.93","1.58","USD","Feb 22, 2018","Jun 06, 2018"
"MICROSOFT CORPORATION","Corporates","Fixed Income","4,985,755.67","0.93","4,985,755.67","4,523,000.00","594918BY9","US594918BY93","BYP2PD6","108.90","United States","-","USD","4.52","1.48","1.00","Feb 06, 2027","3.30","4.66","-","1.39","4.45","1.39","USD","Feb 06, 2017","Feb 06, 2017"
"BROADCOM CORPORATION/BROADCOM CAYM","Corporates","Fixed Income","4,918,632.40","0.92","4,918,632.40","4,462,000.00","11134LAH2","US11134LAH24","BDRTBT6","108.45","United States","-","USD","4.39","2.10","1.00","Jan 15, 2027","3.88","4.52","-","2.02","4.32","2.02","USD","Jan 15, 2018","Feb 14, 2018"
"VERIZON COMMUNICATIONS INC","Corporates","Fixed Income","4,813,219.27","0.90","4,813,219.27","4,281,000.00","92343VDY7","US92343VDY74","BYZNV75","111.23","United States","-","USD","4.68","1.85","1.00","Mar 16, 2027","4.13","4.68","-","1.85","4.68","1.85","USD","Mar 16, 2017","Mar 16, 2017"
"MORGAN STANLEY","Corporates","Fixed Income","4,721,465.34","0.88","4,721,465.34","4,286,000.00","61746BEF9","US61746BEF94","BYM4WS9","108.54","United States","-","USD","4.58","1.85","1.00","Jan 20, 2027","3.63","4.57","-","1.85","4.57","1.85","USD","Jan 20, 2017","Jan 20, 2017"
"WELLS FARGO & COMPANY MTN","Corporates","Fixed Income","4,382,177.67","0.82","4,382,177.67","3,855,000.00","94974BGL8","US94974BGL80","BYQXN34","111.78","United States","-","USD","4.92","2.05","1.00","Jul 22, 2027","4.30","4.91","-","2.05","4.91","2.05","USD","Jul 22, 2015","Jul 22, 2015"
"UNITED AIRLINES 2020-1 CLASS A PAS","Corporates","Fixed Income","4,210,138.46","0.78","4,210,138.46","3,808,313.00","90931GAA7","US90931GAA76","BMFV4N2","109.31","United States","-","USD","2.97","2.86","1.00","Oct 15, 2027","5.88","2.98","-","2.86","2.98","2.86","USD","Oct 28, 2020","Oct 28, 2020"
