ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|AGREE LP|ADC|US008513AB91|008513AB9|United States|195000|192|192|USD|ISHIBDT|5/14/2021|
12/30/2021|AMERICAN INTERNATIONAL GROUP INC|AIG|US026874DK01|026874DK0|United States|872000|986|986|USD|ISHIBDT|3/26/2018|
12/30/2021|ASSURANT INC|AIZ|US04621XAJ72||United States|305000|353|353|USD|ISHIBDT|3/27/2018|
12/30/2021|AIR LEASE CORPORATION|AL|US00914AAQ58|00914AAQ5|United States|390000|380|380|USD|ISHIBDT|8/18/2021|
12/30/2021|AIR LEASE CORPORATION|AL|US00912XBF06|00912XBF0|United States|579000|647|647|USD|ISHIBDT|9/17/2018|
12/30/2021|ALLY FINANCIAL INC|ALLY|US02005NBP42|02005NBP4|United States|90000|90|90|USD|ISHIBDT|11/2/2021|
12/30/2021|AMERICAN HOMES 4 RENT LP|AMH|US02666TAA51|02666TAA5|United States|620000|698|698|USD|ISHIBDT|2/7/2018|
12/30/2021|ANTHEM INC|ANTM|US036752AG89|036752AG8|United States|1175000|1325|1325|USD|ISHIBDT|3/2/2018|
12/30/2021|AON CORP|AON|US037389BB82||United States|586000|670|670|USD|ISHIBDT|12/3/2018|
12/30/2021|ALEXANDRIA REAL ESTATE EQUITIES IN|ARE|US015271AK55|015271AK5|United States|465000|524|524|USD|ISHIBDT|3/3/2017|
12/30/2021|ARES CAPITAL CORPORATION|ARCC|US04010LBB80|04010LBB8|United States|1235000|1233|1233|USD|ISHIBDT|6/10/2021|
12/30/2021|AVALONBAY COMMUNITIES INC MTN|AVB|US05348EBC21|05348EBC2|United States|408000|444|444|USD|ISHIBDT|11/15/2017|
12/30/2021|AVALONBAY COMMUNITIES INC|AVB|US053484AC59|053484AC5|United States|60000|60|60|USD|ISHIBDT|11/18/2021|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406RAF47||United States|869000|955|955|USD|ISHIBDT|1/29/2018|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406RAH03||United States|499000|564|564|USD|ISHIBDT|4/30/2018|
12/30/2021|BANK OF NEW YORK MELLON/THE MTN|BK|US06406RAU14||United States|145000|145|145|USD|ISHIBDT|4/26/2021|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406GAA94|06406GAA9|United States|750000|799|799|USD|ISHIBDT|10/31/2016|
12/30/2021|BRIXMOR OPERATING PARTNERSHIP LP|BRX|US11120VAK98|11120VAK9|United States|345000|346|346|USD|ISHIBDT|3/5/2021|
12/30/2021|BLACKSTONE SECURED LENDING FUND 144A|BXSL|US09261XAF96|09261XAF9|United States|585000|572|572|USD|ISHIBDT|9/30/2021|
12/30/2021|BOSTON PROPERTIES LP|BXP|US10112RBA14|10112RBA1|United States|1009000|1147|1147|USD|ISHIBDT|11/28/2018|
12/30/2021|CITIGROUP INC|C|US172967AR23||United States|315000|403|403|USD|ISHIBDT|1/9/1998|
12/30/2021|CITIGROUP INC|C|US172967KU42|172967KU4|United States|2134000|2384|2384|USD|ISHIBDT|7/25/2016|
12/30/2021|CINCINNATI FINANCIAL CORPORATION|CINF|US172062AF88||United States|265000|342|342|USD|ISHIBDT|4/29/2005|
12/30/2021|CME GROUP INC|CME|US12572QAJ40|12572QAJ4|United States|737000|820|820|USD|ISHIBDT|6/21/2018|
12/30/2021|CAPITAL ONE FINANCIAL CORPORATION|COF|US14040HBW43|14040HBW4|United States|1291000|1423|1423|USD|ISHIBDT|1/30/2018|
12/30/2021|CAMDEN PROPERTY TRUST|CPT|US133131AW29|133131AW2|United States|435000|495|495|USD|ISHIBDT|10/4/2018|
12/30/2021|DISCOVER BANK|DFS|US25466AAP66||United States|1045000|1202|1202|USD|ISHIBDT|9/13/2018|
12/30/2021|DIGITAL REALTY TRUST LP|DLR|US25389JAT34||United States|784000|903|903|USD|ISHIBDT|6/21/2018|
12/30/2021|PHYSICIANS REALTY LP|DOC|US71951QAB86||United States|285000|317|317|USD|ISHIBDT|12/1/2017|
12/30/2021|DUKE REALTY LP|DRE|US26441YBB20|26441YBB2|United States|614000|693|693|USD|ISHIBDT|9/11/2018|
12/30/2021|EPR PROPERTIES|EPR|US26884UAE91|26884UAE9|United States|300000|327|327|USD|ISHIBDT|4/16/2018|
12/30/2021|AXA EQUITABLE HOLDINGS INC|EQH|US29444GAJ67||France|180000|230|230|USD|ISHIBDT|4/6/1998|
12/30/2021|AXA EQUITABLE HOLDINGS INC|EQH|US054561AJ49|054561AJ4|United States|1584000|1789|1789|USD|ISHIBDT|1/16/2019|
12/30/2021|ERP OPERATING LP|EQR|US26884ABJ16||United States|455000|501|501|USD|ISHIBDT|2/7/2018|
12/30/2021|ERP OPERATING LP|EQR|US26884ABK88||United States|486000|553|553|USD|ISHIBDT|11/30/2018|
12/30/2021|ESSEX PROPERTY TRUST INC|ESS|US29717PAY34|29717PAY3|United States|380000|373|373|USD|ISHIBDT|3/1/2021|
12/30/2021|FIFTH THIRD BANCORP|FITB|US316773CV06|316773CV0|United States|873000|974|974|USD|ISHIBDT|3/14/2018|
12/30/2021|FIDELITY NATIONAL FINANCIAL INC|FNF|US31620RAH84||United States|589000|677|677|USD|ISHIBDT|6/17/2019|
12/30/2021|FS KKR CAPITAL CORP|FSK|US302635AK33||United States|675000|677|677|USD|ISHIBDT|10/12/2021|
12/30/2021|TORCHMARK CORPORATION|GL|US891027AS33|891027AS3|United States|575000|662|662|USD|ISHIBDT|9/27/2018|
12/30/2021|GATX CORPORATION|GMT|US361448BA03|361448BA0|United States|195000|212|212|USD|ISHIBDT|11/2/2017|
12/30/2021|GATX CORPORATION|GMT|US361448BC68|361448BC6|United States|473000|543|543|USD|ISHIBDT|5/7/2018|
12/30/2021|HIGHWOODS REALTY LP|HIW|US431282AQ55|431282AQ5|United States|280000|313|313|USD|ISHIBDT|3/5/2018|
12/30/2021|HEALTHCARE REALTY TRUST INC|HR|US421946AK01|421946AK0|United States|325000|356|356|USD|ISHIBDT|12/11/2017|
12/30/2021|INTERCONTINENTAL EXCHANGE INC|ICE|US45866FAJ30|45866FAJ3|United States|792000|886|886|USD|ISHIBDT|8/13/2018|
12/30/2021|INVITATION HOMES OPERATING PARTNER|INVH|US46188BAB80|46188BAB8|United States|550000|547|547|USD|ISHIBDT|11/5/2021|
12/30/2021|KEYBANK NA/CLEVELAND OH MTN|KEY|US49306CAB72||United States|200000|259|259|USD|ISHIBDT|2/3/1998|
12/30/2021|KEYCORP MTN|KEY|US49326EEG44||United States|968000|1091|1091|USD|ISHIBDT|4/30/2018|
