ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|AMERICAN ASSETS TRUST LP|AAT|US02401LAA26|02401LAA2|United States|50000|52|52|USD|ISHIBDW|1/26/2021|
12/30/2021|AMERICAN CAMPUS COMMUNITIES OPERAT|ACC|US024836AG36|024836AG3|United States|42000|47|47|USD|ISHIBDW|6/11/2020|
12/30/2021|ASSURED GUARANTY US HOLDINGS INC|AGO|US04621WAD20|04621WAD2|United States|50000|52|52|USD|ISHIBDW|5/26/2021|
12/30/2021|ARTHUR J GALLAGHER & CO|AJG|US04316JAA79|04316JAA7|United States|43000|43|43|USD|ISHIBDW|11/9/2021|
12/30/2021|ALLY FINANCIAL INC|ALLY|US370425RZ53||United States|50000|70|70|USD|ISHIBDW|11/2/2001|
12/30/2021|ALLY FINANCIAL INC|ALLY|US36186CBY84||United States|279000|399|399|USD|ISHIBDW|12/31/2008|
12/30/2021|AMERICAN HOMES 4 RENT LP|AMH|US02666TAC18||United States|75000|75|75|USD|ISHIBDW|7/8/2021|
12/30/2021|ANTHEM INC|ANTM|US036752AP88||United States|102000|105|105|USD|ISHIBDW|3/17/2021|
12/30/2021|AON CORP|AON|US03740LAA08|03740LAA0|United States|44000|43|43|USD|ISHIBDW|8/23/2021|
12/30/2021|AON CORP|AON|US03740LAC63|03740LAC6|United States|40000|41|41|USD|ISHIBDW|12/2/2021|
12/30/2021|ALEXANDRIA REAL ESTATE EQUITIES IN|ARE|US015271AR09|015271AR0|United States|110000|120|120|USD|ISHIBDW|7/15/2019|
12/30/2021|ARES CAPITAL CORPORATION|ARCC|US04010LBC63||United States|75000|74|74|USD|ISHIBDW|11/4/2021|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406RAR84|06406RAR8|United States|15000|15|15|USD|ISHIBDW|1/28/2021|
12/30/2021|BANK OF NEW YORK MELLON CORP/THE MTN|BK|US06406RAW79|06406RAW7|United States|70000|69|69|USD|ISHIBDW|7/27/2021|
12/30/2021|BROADSTONE NET LEASE LLC|BNL|US11135EAA29|11135EAA2|United States|47000|46|46|USD|ISHIBDW|9/15/2021|
12/30/2021|BROWN & BROWN INC|BRO|US115236AC57||United States|100000|99|99|USD|ISHIBDW|9/24/2020|
12/30/2021|BRIXMOR OPERATING PARTNERSHIP LP|BRX|US11120VAL71||United States|50000|49|49|USD|ISHIBDW|8/16/2021|
12/30/2021|BOSTON PROPERTIES LP|BXP|US10112RBD52|10112RBD5|United States|140000|148|148|USD|ISHIBDW|5/5/2020|
12/30/2021|PHYSICIANS REALTY LP|DOC|US71951QAC69||United States|62000|62|62|USD|ISHIBDW|10/13/2021|
12/30/2021|DUKE REALTY CORPORATION|DRE|US26441YBF34|26441YBF3|United States|90000|86|86|USD|ISHIBDW|1/21/2021|
12/30/2021|EPR PROPERTIES|EPR|US26884UAG40|26884UAG4|United States|51000|51|51|USD|ISHIBDW|10/27/2021|
12/30/2021|ESSENTIAL PROPERTIES LP|EPRT|US29670VAA70|29670VAA7|United States|49000|49|49|USD|ISHIBDW|6/28/2021|
12/30/2021|ESSEX PORTFOLIO LP|ESS|US29717PAZ09|29717PAZ0|United States|60000|60|60|USD|ISHIBDW|6/1/2021|
12/30/2021|EXTRA SPACE STORAGE LP|EXR|US30225VAF40|30225VAF4|United States|40000|40|40|USD|ISHIBDW|5/11/2021|
12/30/2021|FIRST AMERICAN FINANCIAL CORP|FAF|US31847RAH57|31847RAH5|United States|50000|49|49|USD|ISHIBDW|8/3/2021|
12/30/2021|FIDELITY NATIONAL FINANCIAL INC|FNF|US31620RAK14|31620RAK1|United States|73000|73|73|USD|ISHIBDW|9/15/2020|
12/30/2021|GATX CORPORATION|GMT|US361448BG72|361448BG7|United States|55000|52|52|USD|ISHIBDW|2/3/2021|
12/30/2021|HIGHWOODS REALTY LP|HIW|US431282AT94|431282AT9|United States|50000|50|50|USD|ISHIBDW|8/13/2020|
12/30/2021|HEALTHCARE REALTY TRUST INC|HR|US421946AM66|421946AM6|United States|80000|77|77|USD|ISHIBDW|10/2/2020|
12/30/2021|HOST HOTELS & RESORTS LP|HST|US44107TBA34|44107TBA3|United States|30000|29|29|USD|ISHIBDW|11/23/2021|
12/30/2021|HEALTHCARE TRUST OF AMERICA HOLDIN|HTA|US42225UAH77||United States|95000|91|91|USD|ISHIBDW|9/28/2020|
12/30/2021|INVITATION HOMES OPERATING PARTNER|INVH|US46188BAA08|46188BAA0|United States|78000|74|74|USD|ISHIBDW|8/6/2021|
12/30/2021|JEFFERIES GROUP LLC MTN|JEF|US47233JGT97|47233JGT9|United States|125000|124|124|USD|ISHIBDW|10/8/2021|
12/30/2021|JACKSON FINANCIAL INC      144A|JXN|US46817MAK36|46817MAK3|United States|49000|49|49|USD|ISHIBDW|11/23/2021|
12/30/2021|KIMCO REALTY CORPORATION|KIM|US49446RAY53|49446RAY5|United States|50000|49|49|USD|ISHIBDW|9/22/2021|
12/30/2021|LINCOLN NATIONAL CORPORATION|LNC|US534187BK40||United States|2000|2|2|USD|ISHIBDW|5/15/2020|
12/30/2021|LIFE STORAGE LP|LSI|US53227JAD63|53227JAD6|United States|73000|72|72|USD|ISHIBDW|10/7/2021|
12/30/2021|LEXINGTON REALTY TRUST|LXP|US529537AA08|529537AA0|United States|60000|58|58|USD|ISHIBDW|8/30/2021|
12/30/2021|MID-AMERICA APARTMENTS LP|MAA|US59523UAS69|59523UAS6|United States|50000|48|48|USD|ISHIBDW|8/12/2020|
12/30/2021|MARSH & MCLENNAN COMPANIES INC|MMC|US571748BP64|571748BP6|United States|35000|35|35|USD|ISHIBDW|12/8/2021|
12/30/2021|NASDAQ INC|NDAQ|US63111XAD30|63111XAD3|United States|115000|108|108|USD|ISHIBDW|12/21/2020|
12/30/2021|NATIONAL HEALTH INVESTORS INC.|NHI|US63633DAF15|63633DAF1|United States|40000|39|39|USD|ISHIBDW|1/26/2021|
12/30/2021|REALTY INCOME CORPORATION|O|US756109AX24|756109AX2|United States|85000|93|93|USD|ISHIBDW|5/8/2020|
12/30/2021|CORPORATE OFFICE PROPERTIES LP|OFC|US22003BAM81||United States|47000|47|47|USD|ISHIBDW|3/11/2021|
12/30/2021|OMEGA HEALTHCARE INVESTORS INC|OHI|US681936BM17|681936BM1|United States|70000|72|72|USD|ISHIBDW|10/9/2020|
12/30/2021|OFFICE PROPERTIES INCOME TRUST|OPI|US67623CAF68|67623CAF6|United States|50000|49|49|USD|ISHIBDW|9/28/2021|
12/30/2021|PHILLIPS EDISON GROCERY CENTER OPE|PECO|US71845JAA60|71845JAA6|United States|37000|36|36|USD|ISHIBDW|10/6/2021|
12/30/2021|PROLOGIS LP|PLD|US74340XBS99|74340XBS9|United States|57000|55|55|USD|ISHIBDW|2/19/2021|
12/30/2021|PRIMERICA INC|PRI|US74164MAB46|74164MAB4|United States|72000|73|73|USD|ISHIBDW|11/19/2021|
12/30/2021|PUBLIC STORAGE|PSA|US74460WAE75||United States|75000|76|76|USD|ISHIBDW|4/23/2021|
12/30/2021|PUBLIC STORAGE|PSA|US74460DAJ81|74460DAJ8|United States|67000|67|67|USD|ISHIBDW|11/9/2021|
12/30/2021|SAFEHOLD OPERATING PARTNERSHIP LP|SAFE|US78646UAA79|78646UAA7|United States|70000|69|69|USD|ISHIBDW|5/7/2021|
12/30/2021|SABRA HEALTH CARE LP|SBRA|US78574MAA18|78574MAA1|United States|85000|84|84|USD|ISHIBDW|9/30/2021|
12/30/2021|CHARLES SCHWAB CORPORATION (THE)|SCHW|US808513BG98||United States|92000|89|89|USD|ISHIBDW|12/11/2020|
12/30/2021|CHARLES SCHWAB CORPORATION (THE)|SCHW|US808513BS37||United States|75000|76|76|USD|ISHIBDW|5/13/2021|
12/30/2021|CHARLES SCHWAB CORPORATION (THE)|SCHW|US808513BT10|808513BT1|United States|125000|123|123|USD|ISHIBDW|8/26/2021|
12/30/2021|SVB FINANCIAL GROUP|SIVB|US78486QAF81|78486QAF8|United States|100000|96|96|USD|ISHIBDW|2/2/2021|
12/30/2021|TANGER PROPERTIES LP|SKT|US875484AL13|875484AL1|United States|40000|39|39|USD|ISHIBDW|8/10/2021|
12/30/2021|SIMON PROPERTY GROUP LP|SPG|US828807DM67|828807DM6|United States|56000|55|55|USD|ISHIBDW|1/21/2021|
12/30/2021|SPIRIT REALTY LP|SRC|US84861TAG31|84861TAG3|United States|46000|48|48|USD|ISHIBDW|8/6/2020|
12/30/2021|STEWART INFORMATION SERVICES CORPO|STC|US86038AAA07|86038AAA0|United States|58000|59|59|USD|ISHIBDW|11/24/2021|
12/30/2021|STORE CAPITAL CORP|STOR|US862121AD28|862121AD2|United States|47000|46|46|USD|ISHIBDW|11/17/2021|
12/30/2021|STATE STREET CORP|STT|US857477BP72||United States|100000|100|100|USD|ISHIBDW|3/3/2021|
12/30/2021|SUN COMMUNITIES OPERATING LP|SUI|US866677AE75||United States|88000|89|89|USD|ISHIBDW|6/28/2021|
12/30/2021|SYNCHRONY FINANCIAL|SYF|US87165BAR42|87165BAR4|United States|87000|87|87|USD|ISHIBDW|10/28/2021|
12/30/2021|UDR INC MTN|UDR|US90265EAR18|90265EAR1|United States|75000|79|79|USD|ISHIBDW|8/15/2019|
12/30/2021|UNITEDHEALTH GROUP INC|UNH|US91324PED06|91324PED0|United States|174000|177|177|USD|ISHIBDW|5/19/2021|
12/30/2021|VORNADO REALTY LP|VNO|US929043AL12|929043AL1|United States|40000|41|41|USD|ISHIBDW|5/24/2021|
12/30/2021|VENTAS REALTY LP|VTR|US92277GAW78|92277GAW7|United States|70000|70|70|USD|ISHIBDW|8/20/2021|
12/30/2021|WELLTOWER INC|WELL|US95040QAL86|95040QAL8|United States|25000|26|26|USD|ISHIBDW|6/30/2020|
12/30/2021|WELLTOWER INC|WELL|US95040QAM69|95040QAM6|United States|100000|103|103|USD|ISHIBDW|3/25/2021|
12/30/2021|WP CAREY INC|WPC|US92936UAG40|92936UAG4|United States|75000|75|75|USD|ISHIBDW|10/14/2020|
12/30/2021|AGILENT TECHNOLOGIES INC|A|US00846UAN19|00846UAN1|United States|100000|100|100|USD|ISHIBDW|3/12/2021|
12/30/2021|APPLE INC|AAPL|US037833ED89||United States|309000|303|303|USD|ISHIBDW|2/8/2021|
12/30/2021|APPLE INC|AAPL|US037833EJ59|037833EJ5|United States|113000|111|111|USD|ISHIBDW|8/5/2021|
12/30/2021|AMERISOURCEBERGEN CORPORATION|ABC|US03073EAT29|03073EAT2|United States|95000|97|97|USD|ISHIBDW|3/30/2021|
12/30/2021|ANHEUSER-BUSCH INBEV WORLDWIDE INC|ABIBB|US035240AR13|035240AR1|Belgium|84000|103|103|USD|ISHIBDW|1/23/2019|
12/30/2021|ANALOG DEVICES INC|ADI|US032654AV70||United States|130000|131|131|USD|ISHIBDW|10/5/2021|
12/30/2021|AUTODESK INC|ADSK|US052769AH94||United States|110000|110|110|USD|ISHIBDW|10/7/2021|
12/30/2021|AMCOR FLEXIBLES NORTH AMERICA INC|AMCR|US02344AAA60||United States|95000|96|96|USD|ISHIBDW|5/25/2021|
12/30/2021|AMGEN INC|AMGN|US031162CW82|031162CW8|United States|130000|132|132|USD|ISHIBDW|5/6/2020|
12/30/2021|AMERICAN TOWER CORPORATION|AMT|US03027XBM11|03027XBM1|United States|77000|78|78|USD|ISHIBDW|3/29/2021|
12/30/2021|AMERICAN TOWER CORPORATION|AMT|US03027XBS80|03027XBS8|United States|75000|73|73|USD|ISHIBDW|9/27/2021|
12/30/2021|AMAZON.COM INC|AMZN|US023135BZ81|023135BZ8|United States|335000|340|340|USD|ISHIBDW|5/12/2021|
12/30/2021|AUTONATION INC|AN|US05329WAS17||United States|56000|55|55|USD|ISHIBDW|7/29/2021|
12/30/2021|AMPHENOL CORPORATION|APH|US032095AL53|032095AL5|United States|75000|74|74|USD|ISHIBDW|9/14/2021|
12/30/2021|BROADCOM INC               144A|AVGO|US11135FBH38|11135FBH3|United States|295000|291|291|USD|ISHIBDW|1/19/2021|
12/30/2021|AVNET INC|AVT|US053807AU73|053807AU7|United States|40000|40|40|USD|ISHIBDW|5/6/2021|
12/30/2021|ASTRAZENECA FINANCE LLC|AZN|US04636NAB91||United Kingdom|62000|63|63|USD|ISHIBDW|5/28/2021|
12/30/2021|AUTOZONE INC|AZO|US053332BA96|053332BA9|United States|76000|72|72|USD|ISHIBDW|8/14/2020|
12/30/2021|BOEING CO|BA|US097023DC69|097023DC6|United States|150000|162|162|USD|ISHIBDW|11/2/2020|
12/30/2021|BANNER HEALTH|BANNER|US06654DAD93|06654DAD9|United States|35000|34|34|USD|ISHIBDW|10/29/2020|
12/30/2021|BAT CAPITAL CORP|BATSLN|US05526DBS36||United Kingdom|135000|132|132|USD|ISHIBDW|9/25/2020|
12/30/2021|BAXTER INTERNATIONAL INC|BAX|US071813CB37|071813CB3|United States|45000|43|43|USD|ISHIBDW|5/11/2021|
12/30/2021|BRUNSWICK CORPORATION|BC|US117043AT65|117043AT6|United States|54000|52|52|USD|ISHIBDW|8/18/2021|
12/30/2021|BECTON DICKINSON AND COMPANY|BDX|US075887CL11|075887CL1|United States|118000|115|115|USD|ISHIBDW|2/11/2021|
12/30/2021|BUNGE LIMITED FINANCE CORPORATION|BG|US120568BC39|120568BC3|United States|116000|118|118|USD|ISHIBDW|5/14/2021|
12/30/2021|BROADRIDGE FINANCIAL SOLUTIONS INC|BR|US11133TAE38|11133TAE3|United States|100000|101|101|USD|ISHIBDW|5/17/2021|
12/30/2021|Bon Secours Mercy Health|BSHSI|US09778PAB13||United States|77000|76|76|USD|ISHIBDW|10/15/2020|
12/30/2021|CARRIER GLOBAL CORP|CARR|US14448CAL81|14448CAL8|United States|90000|93|93|USD|ISHIBDW|12/8/2020|
12/30/2021|CATERPILLAR INC|CAT|US149123CK50|149123CK5|United States|37000|37|37|USD|ISHIBDW|3/12/2021|
12/30/2021|CBRE SERVICES INC|CBG|US12505BAE02||United States|75000|76|76|USD|ISHIBDW|3/18/2021|
12/30/2021|CROWN CASTLE INTERNATIONAL CORP|CCI|US22822VAT89|22822VAT8|United States|80000|79|79|USD|ISHIBDW|6/15/2020|
12/30/2021|CROWN CASTLE INTERNATIONAL CORP|CCI|US22822VAW19|22822VAW1|United States|76000|73|73|USD|ISHIBDW|2/16/2021|
12/30/2021|CROWN CASTLE INTERNATIONAL CORP|CCI|US22822VAY74|22822VAY7|United States|155000|156|156|USD|ISHIBDW|6/29/2021|
12/30/2021|CDW LLC|CDWC|US12513GBJ76|12513GBJ7|United States|105000|109|109|USD|ISHIBDW|12/1/2021|
12/30/2021|CEDARS-SINAI HEALTH SYSTEM|CEDARS|US15073LAA17||United States|44000|44|44|USD|ISHIBDW|12/1/2021|
12/30/2021|CHURCH & DWIGHT CO INC|CHD|US17136MAA09|17136MAA0|United States|56000|57|57|USD|ISHIBDW|12/10/2021|
12/30/2021|CHOICE HOTELS INTERNATIONAL INC|CHH|US169905AG19|169905AG1|United States|25000|27|27|USD|ISHIBDW|7/23/2020|
12/30/2021|CHARTER COMMUNICATIONS OPERATING L|CHTR|US161175BU77|161175BU7|United States|178000|177|177|USD|ISHIBDW|4/17/2020|
12/30/2021|CIGNA CORP|CI|US125523CM05|125523CM0|United States|162000|164|164|USD|ISHIBDW|3/3/2021|
12/30/2021|COMCAST CORPORATION|CMCSA|US20030NDM02||United States|160000|158|158|USD|ISHIBDW|5/28/2020|
12/30/2021|COMCAST CORPORATION|CMCSA|US20030NDN84|20030NDN8|United States|202000|191|191|USD|ISHIBDW|8/25/2020|
12/30/2021|CONOCOPHILLIPS             144A|COP|US20825CAZ77||United States|75000|76|76|USD|ISHIBDW|2/8/2021|
12/30/2021|SALESFORCE.COM INC.|CRM|US79466LAJ35|79466LAJ3|United States|175000|175|175|USD|ISHIBDW|7/12/2021|
12/30/2021|CVS HEALTH CORP|CVS|US126650DQ03|126650DQ0|United States|127000|123|123|USD|ISHIBDW|12/16/2020|
12/30/2021|CVS HEALTH CORP|CVS|US126650DR85|126650DR8|United States|118000|117|117|USD|ISHIBDW|8/18/2021|
12/30/2021|DAIMLER FINANCE NORTH AMERICA LLC|DAIGR|US233835AQ08||Germany|169000|259|259|USD|ISHIBDW|1/18/2001|
12/30/2021|JOHN DEERE CAPITAL CORP|DE|US24422EVL00||United States|150000|144|144|USD|ISHIBDW|1/7/2021|
12/30/2021|JOHN DEERE CAPITAL CORP MTN|DE|US24422EVS52||United States|20000|20|20|USD|ISHIBDW|6/17/2021|
12/30/2021|QUEST DIAGNOSTICS INCORPORATED|DGX|US74834LBC37|74834LBC3|United States|69000|71|71|USD|ISHIBDW|5/13/2020|
12/30/2021|WALT DISNEY CO|DIS|US254687FX90|254687FX9|United States|250000|263|263|USD|ISHIBDW|5/13/2020|
12/30/2021|DOLLAR TREE INC|DLTR|US256746AJ71|256746AJ7|United States|85000|85|85|USD|ISHIBDW|12/1/2021|
12/30/2021|T-MOBILE USA INC|TMUS|US87264ACB98||United States|270000|271|271|USD|ISHIBDW|5/21/2021|
12/30/2021|T-MOBILE USA INC|TMUS|US87264ABX28|87264ABX2|United States|110000|107|107|USD|ISHIBDW|5/21/2021|
12/30/2021|DEVON FINANCING CO LLC|DVN|US25179SAD27||United States|65000|93|93|USD|ISHIBDW|3/12/2002|
12/30/2021|ELECTRONIC ARTS INC|EA|US285512AE93|285512AE9|United States|75000|72|72|USD|ISHIBDW|2/11/2021|
12/30/2021|EBAY INC|EBAY|US278642AY97|278642AY9|United States|80000|81|81|USD|ISHIBDW|5/10/2021|
12/30/2021|ECOLAB INC|ECL|US278865BF65|278865BF6|United States|79000|74|74|USD|ISHIBDW|8/13/2020|
12/30/2021|EQUIFAX INC|EFX|US294429AT25|294429AT2|United States|117000|117|117|USD|ISHIBDW|8/13/2021|
12/30/2021|ESTEE LAUDER COMPANIES INC. (THE)|EL|US29736RAR12|29736RAR1|United States|40000|40|40|USD|ISHIBDW|3/4/2021|
12/30/2021|EQUINIX INC|EQIX|US29444UBS42|29444UBS4|United States|120000|120|120|USD|ISHIBDW|5/17/2021|
