STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBHB,2021-12-31,WORST,2022-01-06,10802.419,2069494.997,2080297.416
IBHB,2021-12-31,WORST,2022-01-07,2030.806,72580.645,74611.452
IBHB,2021-12-31,WORST,2022-01-10,4511.976,24193.548,28705.524
IBHB,2021-12-31,WORST,2022-01-15,185.484,16129.032,16314.516
IBHB,2021-12-31,WORST,2022-01-18,31113.669,148387.097,179500.766
IBHB,2021-12-31,WORST,2022-01-20,2709.677,0.000,2709.677
IBHB,2021-12-31,WORST,2022-01-24,9360.000,0.000,9360.000
IBHB,2021-12-31,WORST,2022-01-25,3224.516,24193.548,27418.065
IBHB,2021-12-31,WORST,2022-01-30,4617.443,408709.677,413327.120
IBHB,2021-12-31,WORST,2022-01-31,3364.113,0.000,3364.113
IBHB,2021-12-31,WORST,2022-02-01,4433.333,36129.032,40562.366
IBHB,2021-12-31,WORST,2022-02-02,705.645,0.000,705.645
IBHB,2021-12-31,WORST,2022-02-03,1081.089,0.000,1081.089
IBHB,2021-12-31,WORST,2022-02-09,3178.562,40322.581,43501.142
IBHB,2021-12-31,WORST,2022-02-10,1579.435,132258.065,133837.500
IBHB,2021-12-31,WORST,2022-02-14,1814.516,72580.645,74395.161
IBHB,2021-12-31,WORST,2022-02-15,50682.527,674193.548,724876.075
IBHB,2021-12-31,WORST,2022-02-22,1689.113,0.000,1689.113
IBHB,2021-12-31,WORST,2022-02-24,737.500,0.000,737.500
IBHB,2021-12-31,WORST,2022-02-28,809.644,56451.613,57261.257
IBHB,2021-12-31,WORST,2022-03-01,9696.841,72580.645,82277.487
IBHB,2021-12-31,WORST,2022-03-07,2540.323,0.000,2540.323
IBHB,2021-12-31,WORST,2022-03-14,665.323,0.000,665.323
IBHB,2021-12-31,WORST,2022-03-15,69278.731,1114193.548,1183472.279
IBHB,2021-12-31,WORST,2022-03-16,2516.667,150000.000,152516.667
IBHB,2021-12-31,WORST,2022-03-17,23.632,104516.129,104539.761
IBHB,2021-12-31,WORST,2022-03-21,1713.710,0.000,1713.710
IBHB,2021-12-31,WORST,2022-03-25,774.194,0.000,774.194
IBHB,2021-12-31,WORST,2022-03-28,600.806,0.000,600.806
IBHB,2021-12-31,WORST,2022-04-01,29882.763,390029.326,419912.088
IBHB,2021-12-31,WORST,2022-04-05,246.976,11290.323,11537.298
IBHB,2021-12-31,WORST,2022-04-07,1488.710,0.000,1488.710
IBHB,2021-12-31,WORST,2022-04-11,892.742,0.000,892.742
IBHB,2021-12-31,WORST,2022-04-12,629.032,0.000,629.032
IBHB,2021-12-31,WORST,2022-04-15,10203.540,275806.452,286009.992
IBHB,2021-12-31,WORST,2022-04-19,72.474,2422.671,2495.145
IBHB,2021-12-31,WORST,2022-04-30,854.839,85483.871,86338.710
IBHB,2021-12-31,WORST,2022-05-01,1414.781,97096.774,98511.555
IBHB,2021-12-31,WORST,2022-05-02,27352.823,101612.903,128965.726
IBHB,2021-12-31,WORST,2022-05-06,3112.903,0.000,3112.903
IBHB,2021-12-31,WORST,2022-05-09,5090.726,0.000,5090.726
IBHB,2021-12-31,WORST,2022-05-12,239.415,24193.548,24432.964
IBHB,2021-12-31,WORST,2022-05-15,8408.366,828387.097,836795.463
IBHB,2021-12-31,WORST,2022-05-16,54480.645,130967.742,185448.387
IBHB,2021-12-31,WORST,2022-05-19,559.476,24193.548,24753.024
IBHB,2021-12-31,WORST,2022-05-20,1806.452,154838.710,156645.162
IBHB,2021-12-31,WORST,2022-05-23,10024.185,419354.839,429379.023
IBHB,2021-12-31,WORST,2022-05-30,1757.056,133870.968,135628.024
IBHB,2021-12-31,WORST,2022-05-31,516.532,0.000,516.532
IBHB,2021-12-31,WORST,2022-06-01,29310.787,754193.548,783504.335
IBHB,2021-12-31,WORST,2022-06-06,5978.226,270967.742,276945.968
IBHB,2021-12-31,WORST,2022-06-13,146.774,11290.323,11437.097
IBHB,2021-12-31,WORST,2022-06-15,29922.164,653225.806,683147.970
IBHB,2021-12-31,WORST,2022-06-16,2258.065,258064.516,260322.581
IBHB,2021-12-31,WORST,2022-06-22,326.613,58064.516,58391.129
IBHB,2021-12-31,WORST,2022-06-25,2317.540,195161.290,197478.831
IBHB,2021-12-31,WORST,2022-06-27,838.306,33870.968,34709.274
IBHB,2021-12-31,WORST,2022-07-01,11460.349,1066129.032,1077589.382
IBHB,2021-12-31,WORST,2022-07-03,900.907,72580.645,73481.552
IBHB,2021-12-31,WORST,2022-07-08,4122.581,232258.065,236380.645
IBHB,2021-12-31,WORST,2022-07-15,15764.180,676129.032,691893.213
IBHB,2021-12-31,WORST,2022-07-21,1406.021,114516.129,115922.150
IBHB,2021-12-31,WORST,2022-07-24,614.583,50000.000,50614.584
IBHB,2021-12-31,WORST,2022-08-01,9210.776,653225.806,662436.582
IBHB,2021-12-31,WORST,2022-08-02,705.645,56451.613,57157.258
IBHB,2021-12-31,WORST,2022-08-09,2666.129,187096.774,189762.903
IBHB,2021-12-31,WORST,2022-08-15,41145.734,2193225.806,2234371.540
IBHB,2021-12-31,WORST,2022-08-25,645.161,51612.903,52258.065
IBHB,2021-12-31,WORST,2022-09-01,13687.004,1260967.742,1274654.745
IBHB,2021-12-31,WORST,2022-09-06,1134.274,116129.032,117263.307
IBHB,2021-12-31,WORST,2022-09-07,2540.323,161290.323,163830.645
IBHB,2021-12-31,WORST,2022-09-12,1189.516,80645.161,81834.677
IBHB,2021-12-31,WORST,2022-09-15,34627.016,1446774.194,1481401.210
IBHB,2021-12-31,WORST,2022-09-20,1713.710,80645.161,82358.871
IBHB,2021-12-31,WORST,2022-09-26,600.806,50000.000,50600.806
IBHB,2021-12-31,WORST,2022-10-01,1992.898,153225.806,155218.704
IBHB,2021-12-31,WORST,2022-10-03,6517.137,314516.129,321033.266
IBHB,2021-12-31,WORST,2022-10-07,1488.710,83870.968,85359.677
IBHB,2021-12-31,WORST,2022-10-11,892.742,66129.032,67021.774
IBHB,2021-12-31,WORST,2022-10-15,3130.739,254838.710,257969.448
IBHB,2021-12-31,WORST,2022-10-16,517.473,45161.290,45678.763
IBHB,2021-12-31,WORST,2022-10-17,4092.742,327419.355,331512.097
IBHB,2021-12-31,WORST,2022-10-31,430.443,33870.968,34301.411
IBHB,2021-12-31,WORST,2022-11-01,14115.928,859677.419,873793.347
IBHB,2021-12-31,WORST,2022-11-02,2705.645,196774.194,199479.839
IBHB,2021-12-31,WORST,2022-11-07,2338.710,161290.323,163629.032
IBHB,2021-12-31,WORST,2022-11-08,790.323,45161.290,45951.613
IBHB,2021-12-31,WORST,2022-11-09,4300.403,217741.935,222042.339
IBHB,2021-12-31,WORST,2022-11-15,25993.481,1066774.194,1092767.674
IBHB,2021-12-31,WORST,2022-11-16,4125.000,250000.000,254125.000
IBHB,2021-12-31,WORST,2022-11-21,3801.613,287096.774,290898.387
IBHB,2021-12-31,WORST,2022-12-01,786.290,32258.065,33044.355
IBHB,2021-12-31,WORST,2022-12-15,13917.742,500967.742,514885.484
IBHB,2021-12-31,MATURITY,2022-01-06,10802.419,2069494.997,2080297.416
IBHB,2021-12-31,MATURITY,2022-01-07,2030.806,72580.645,74611.452
IBHB,2021-12-31,MATURITY,2022-01-10,4511.976,24193.548,28705.524
IBHB,2021-12-31,MATURITY,2022-01-18,31113.669,148387.097,179500.766
IBHB,2021-12-31,MATURITY,2022-01-20,2709.677,0.000,2709.677
IBHB,2021-12-31,MATURITY,2022-01-24,9360.000,0.000,9360.000
IBHB,2021-12-31,MATURITY,2022-01-25,3224.516,24193.548,27418.065
IBHB,2021-12-31,MATURITY,2022-01-31,3364.113,0.000,3364.113
IBHB,2021-12-31,MATURITY,2022-02-01,4030.645,0.000,4030.645
IBHB,2021-12-31,MATURITY,2022-02-02,705.645,0.000,705.645
IBHB,2021-12-31,MATURITY,2022-02-03,1081.089,0.000,1081.089
IBHB,2021-12-31,MATURITY,2022-02-09,2666.129,0.000,2666.129
IBHB,2021-12-31,MATURITY,2022-02-14,1814.516,72580.645,74395.161
IBHB,2021-12-31,MATURITY,2022-02-15,45625.402,335483.871,381109.273
IBHB,2021-12-31,MATURITY,2022-02-22,1689.113,0.000,1689.113
IBHB,2021-12-31,MATURITY,2022-02-24,737.500,0.000,737.500
IBHB,2021-12-31,MATURITY,2022-03-01,8933.065,0.000,8933.065
IBHB,2021-12-31,MATURITY,2022-03-07,2540.323,0.000,2540.323
IBHB,2021-12-31,MATURITY,2022-03-09,614.919,40322.581,40937.500
IBHB,2021-12-31,MATURITY,2022-03-10,181.452,8064.516,8245.968
IBHB,2021-12-31,MATURITY,2022-03-14,665.323,0.000,665.323
IBHB,2021-12-31,MATURITY,2022-03-15,72404.202,1138387.097,1210791.298
IBHB,2021-12-31,MATURITY,2022-03-17,23.632,104516.129,104539.761
IBHB,2021-12-31,MATURITY,2022-03-21,1713.710,0.000,1713.710
IBHB,2021-12-31,MATURITY,2022-03-25,774.194,0.000,774.194
IBHB,2021-12-31,MATURITY,2022-03-28,1572.379,56451.613,58023.992
IBHB,2021-12-31,MATURITY,2022-04-01,31658.713,317771.261,349429.974
IBHB,2021-12-31,MATURITY,2022-04-05,246.976,11290.323,11537.298
IBHB,2021-12-31,MATURITY,2022-04-07,1488.710,0.000,1488.710
IBHB,2021-12-31,MATURITY,2022-04-11,3035.081,124193.548,127228.629
IBHB,2021-12-31,MATURITY,2022-04-12,629.032,0.000,629.032
IBHB,2021-12-31,MATURITY,2022-04-15,11841.790,230000.000,241841.790
IBHB,2021-12-31,MATURITY,2022-04-19,72.474,2422.671,2495.145
IBHB,2021-12-31,MATURITY,2022-05-02,27352.823,35483.871,62836.694
IBHB,2021-12-31,MATURITY,2022-05-06,3112.903,0.000,3112.903
IBHB,2021-12-31,MATURITY,2022-05-09,5090.726,0.000,5090.726
IBHB,2021-12-31,MATURITY,2022-05-16,55343.548,182580.645,237924.194
IBHB,2021-12-31,MATURITY,2022-05-19,559.476,24193.548,24753.024
IBHB,2021-12-31,MATURITY,2022-05-23,3801.613,0.000,3801.613
IBHB,2021-12-31,MATURITY,2022-05-31,516.532,0.000,516.532
IBHB,2021-12-31,MATURITY,2022-06-01,27397.737,462580.645,489978.382
IBHB,2021-12-31,MATURITY,2022-06-06,5978.226,270967.742,276945.968
IBHB,2021-12-31,MATURITY,2022-06-13,434.073,35483.871,35917.944
IBHB,2021-12-31,MATURITY,2022-06-15,38175.202,403225.806,441401.008
IBHB,2021-12-31,MATURITY,2022-06-16,2258.065,258064.516,260322.581
IBHB,2021-12-31,MATURITY,2022-06-22,326.613,58064.516,58391.129
IBHB,2021-12-31,MATURITY,2022-06-27,838.306,33870.968,34709.274
IBHB,2021-12-31,MATURITY,2022-06-30,3390.726,219354.839,222745.565
IBHB,2021-12-31,MATURITY,2022-07-01,10802.419,704838.710,715641.129
IBHB,2021-12-31,MATURITY,2022-07-08,4122.581,232258.065,236380.645
IBHB,2021-12-31,MATURITY,2022-07-15,26779.395,1247419.355,1274198.750
IBHB,2021-12-31,MATURITY,2022-07-20,2709.677,154838.710,157548.387
IBHB,2021-12-31,MATURITY,2022-07-25,12141.048,614516.129,626657.177
IBHB,2021-12-31,MATURITY,2022-08-01,7394.758,467741.935,475136.694
IBHB,2021-12-31,MATURITY,2022-08-02,705.645,56451.613,57157.258
IBHB,2021-12-31,MATURITY,2022-08-03,1081.089,72580.645,73661.734
IBHB,2021-12-31,MATURITY,2022-08-09,2666.129,187096.774,189762.903
IBHB,2021-12-31,MATURITY,2022-08-15,39373.790,1740645.161,1780018.952
IBHB,2021-12-31,MATURITY,2022-08-22,1689.113,114516.129,116205.242
IBHB,2021-12-31,MATURITY,2022-08-24,737.500,50000.000,50737.500
IBHB,2021-12-31,MATURITY,2022-09-01,8933.065,500000.000,508933.065
IBHB,2021-12-31,MATURITY,2022-09-07,2540.323,161290.323,163830.645
IBHB,2021-12-31,MATURITY,2022-09-12,665.323,32258.065,32923.387
IBHB,2021-12-31,MATURITY,2022-09-15,38230.847,1553225.806,1591456.653
IBHB,2021-12-31,MATURITY,2022-09-20,1713.710,80645.161,82358.871
IBHB,2021-12-31,MATURITY,2022-09-26,1375.000,101612.903,102987.903
IBHB,2021-12-31,MATURITY,2022-10-03,23041.331,1246774.194,1269815.524
IBHB,2021-12-31,MATURITY,2022-10-07,1488.710,83870.968,85359.677
IBHB,2021-12-31,MATURITY,2022-10-11,892.742,66129.032,67021.774
IBHB,2021-12-31,MATURITY,2022-10-12,629.032,48387.097,49016.129
IBHB,2021-12-31,MATURITY,2022-10-17,7618.952,501612.903,509231.855
IBHB,2021-12-31,MATURITY,2022-11-01,24122.984,1235483.871,1259606.855
IBHB,2021-12-31,MATURITY,2022-11-02,2705.645,196774.194,199479.839
IBHB,2021-12-31,MATURITY,2022-11-07,3112.903,209677.419,212790.323
IBHB,2021-12-31,MATURITY,2022-11-08,790.323,45161.290,45951.613
IBHB,2021-12-31,MATURITY,2022-11-09,4300.403,217741.935,222042.339
IBHB,2021-12-31,MATURITY,2022-11-15,47549.261,2144193.548,2191742.809
IBHB,2021-12-31,MATURITY,2022-11-16,4745.968,295161.290,299907.258
IBHB,2021-12-31,MATURITY,2022-11-21,3801.613,287096.774,290898.387
IBHB,2021-12-31,MATURITY,2022-11-30,516.532,33870.968,34387.500
IBHB,2021-12-31,MATURITY,2022-12-01,16968.145,962580.645,979548.790
IBHB,2021-12-31,MATURITY,2022-12-06,1236.290,67741.935,68978.226
IBHB,2021-12-31,MATURITY,2022-12-15,30606.250,1099354.839,1129961.089
