STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBHE,2021-12-31,WORST,2022-01-06,38386.029,192658.000,231044.029
IBHE,2021-12-31,WORST,2022-01-18,78054.207,681.615,78735.822
IBHE,2021-12-31,WORST,2022-01-20,1129.412,0.000,1129.412
IBHE,2021-12-31,WORST,2022-01-24,2940.441,0.000,2940.441
IBHE,2021-12-31,WORST,2022-01-30,13662.994,1162677.794,1176340.788
IBHE,2021-12-31,WORST,2022-01-31,2058.824,0.000,2058.824
IBHE,2021-12-31,WORST,2022-02-01,31983.989,102902.794,134886.783
IBHE,2021-12-31,WORST,2022-02-04,2492.559,0.000,2492.559
IBHE,2021-12-31,WORST,2022-02-15,72403.309,789613.947,862017.256
IBHE,2021-12-31,WORST,2022-03-01,40807.353,233272.059,274079.412
IBHE,2021-12-31,WORST,2022-03-09,1621.324,0.000,1621.324
IBHE,2021-12-31,WORST,2022-03-15,37630.515,216948.529,254579.044
IBHE,2021-12-31,WORST,2022-04-01,48697.794,412507.632,461205.426
IBHE,2021-12-31,WORST,2022-04-07,955.882,0.000,955.882
IBHE,2021-12-31,WORST,2022-04-08,215.033,143764.706,143979.739
IBHE,2021-12-31,WORST,2022-04-11,2647.059,0.000,2647.059
IBHE,2021-12-31,WORST,2022-04-14,2238.971,0.000,2238.971
IBHE,2021-12-31,WORST,2022-04-15,86382.515,1204904.900,1291287.415
IBHE,2021-12-31,WORST,2022-04-18,5402.206,0.000,5402.206
IBHE,2021-12-31,WORST,2022-04-20,1129.412,0.000,1129.412
IBHE,2021-12-31,WORST,2022-04-22,3970.588,0.000,3970.588
IBHE,2021-12-31,WORST,2022-04-29,4563.971,0.000,4563.971
IBHE,2021-12-31,WORST,2022-05-01,289.828,32642.759,32932.587
IBHE,2021-12-31,WORST,2022-05-02,69851.471,1145331.618,1215183.088
IBHE,2021-12-31,WORST,2022-05-03,1264.706,0.000,1264.706
IBHE,2021-12-31,WORST,2022-05-13,5409.926,0.000,5409.926
IBHE,2021-12-31,WORST,2022-05-16,60582.639,798880.094,859462.733
IBHE,2021-12-31,WORST,2022-05-20,6150.735,0.000,6150.735
IBHE,2021-12-31,WORST,2022-05-24,1242.188,44820.882,46063.070
IBHE,2021-12-31,WORST,2022-05-31,7419.118,95507.353,102926.471
IBHE,2021-12-31,WORST,2022-06-01,42114.030,657110.971,699225.001
IBHE,2021-12-31,WORST,2022-06-06,2150.735,0.000,2150.735
IBHE,2021-12-31,WORST,2022-06-09,1240.676,0.000,1240.676
IBHE,2021-12-31,WORST,2022-06-15,58888.212,677195.874,736084.086
IBHE,2021-12-31,WORST,2022-06-16,4145.221,0.000,4145.221
IBHE,2021-12-31,WORST,2022-06-18,891.077,39286.765,40177.841
IBHE,2021-12-31,WORST,2022-06-21,1544.118,0.000,1544.118
IBHE,2021-12-31,WORST,2022-06-27,1786.765,0.000,1786.765
IBHE,2021-12-31,WORST,2022-06-30,1610.294,0.000,1610.294
IBHE,2021-12-31,WORST,2022-07-01,38386.029,751695.147,790081.176
IBHE,2021-12-31,WORST,2022-07-15,62850.133,478824.866,541674.999
IBHE,2021-12-31,WORST,2022-07-20,1129.412,0.000,1129.412
IBHE,2021-12-31,WORST,2022-07-25,2940.441,0.000,2940.441
IBHE,2021-12-31,WORST,2022-08-01,31631.075,132226.588,163857.664
IBHE,2021-12-31,WORST,2022-08-04,2492.559,0.000,2492.559
IBHE,2021-12-31,WORST,2022-08-12,1662.990,29411.765,31074.755
IBHE,2021-12-31,WORST,2022-08-15,43811.029,289622.235,333433.265
IBHE,2021-12-31,WORST,2022-09-01,34458.620,556057.676,590516.296
IBHE,2021-12-31,WORST,2022-09-09,1621.324,0.000,1621.324
IBHE,2021-12-31,WORST,2022-09-15,30064.338,112131.000,142195.338
IBHE,2021-12-31,WORST,2022-10-03,27699.632,137463.235,165162.868
IBHE,2021-12-31,WORST,2022-10-07,955.882,0.000,955.882
IBHE,2021-12-31,WORST,2022-10-11,2647.059,0.000,2647.059
IBHE,2021-12-31,WORST,2022-10-14,2238.971,0.000,2238.971
IBHE,2021-12-31,WORST,2022-10-17,51561.559,452707.712,504269.271
IBHE,2021-12-31,WORST,2022-10-20,1129.412,0.000,1129.412
IBHE,2021-12-31,WORST,2022-10-24,3970.588,0.000,3970.588
IBHE,2021-12-31,WORST,2022-10-31,7813.971,78095.588,85909.559
IBHE,2021-12-31,WORST,2022-11-01,30700.735,82041.076,112741.812
IBHE,2021-12-31,WORST,2022-11-14,5409.926,0.000,5409.926
IBHE,2021-12-31,WORST,2022-11-15,32438.746,228329.937,260768.684
IBHE,2021-12-31,WORST,2022-11-21,6150.735,0.000,6150.735
IBHE,2021-12-31,WORST,2022-11-28,1750.000,0.000,1750.000
IBHE,2021-12-31,WORST,2022-11-30,1338.235,41845.588,43183.824
IBHE,2021-12-31,WORST,2022-12-01,20198.162,97592.382,117790.544
IBHE,2021-12-31,WORST,2022-12-06,2150.735,0.000,2150.735
IBHE,2021-12-31,WORST,2022-12-09,1240.676,0.000,1240.676
IBHE,2021-12-31,WORST,2022-12-15,34435.182,184382.485,218817.667
IBHE,2021-12-31,WORST,2022-12-16,4145.221,0.000,4145.221
IBHE,2021-12-31,WORST,2022-12-19,1544.118,0.000,1544.118
IBHE,2021-12-31,WORST,2022-12-27,1786.765,0.000,1786.765
IBHE,2021-12-31,WORST,2022-12-30,1610.294,0.000,1610.294
IBHE,2021-12-31,WORST,2023-01-03,14812.500,0.000,14812.500
IBHE,2021-12-31,WORST,2023-01-17,45930.533,41998.224,87928.758
IBHE,2021-12-31,WORST,2023-01-20,1129.412,0.000,1129.412
IBHE,2021-12-31,WORST,2023-01-23,2940.441,0.000,2940.441
IBHE,2021-12-31,WORST,2023-01-31,2058.824,0.000,2058.824
