STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBHF,2021-12-31,WORST,2022-01-06,24819.367,89677.089,114496.456
IBHF,2021-12-31,WORST,2022-01-10,6762.861,85625.000,92387.861
IBHF,2021-12-31,WORST,2022-01-15,218.750,51312.500,51531.250
IBHF,2021-12-31,WORST,2022-01-18,71193.515,39423.611,110617.126
IBHF,2021-12-31,WORST,2022-01-20,7263.889,0.000,7263.889
IBHF,2021-12-31,WORST,2022-01-27,933.333,0.000,933.333
IBHF,2021-12-31,WORST,2022-01-30,15529.762,993729.944,1009259.706
IBHF,2021-12-31,WORST,2022-01-31,2576.389,0.000,2576.389
IBHF,2021-12-31,WORST,2022-02-01,67418.156,117552.500,184970.656
IBHF,2021-12-31,WORST,2022-02-10,3000.000,0.000,3000.000
IBHF,2021-12-31,WORST,2022-02-15,71565.240,364269.378,435834.617
IBHF,2021-12-31,WORST,2022-02-22,2774.306,0.000,2774.306
IBHF,2021-12-31,WORST,2022-02-28,3208.333,0.000,3208.333
IBHF,2021-12-31,WORST,2022-03-01,40635.711,512754.778,553390.488
IBHF,2021-12-31,WORST,2022-03-15,89572.685,1131014.611,1220587.296
IBHF,2021-12-31,WORST,2022-03-30,3187.500,0.000,3187.500
IBHF,2021-12-31,WORST,2022-03-31,6416.667,0.000,6416.667
IBHF,2021-12-31,WORST,2022-04-01,51463.720,378951.302,430415.022
IBHF,2021-12-31,WORST,2022-04-15,71614.737,270954.018,342568.755
IBHF,2021-12-31,WORST,2022-04-20,7263.889,0.000,7263.889
IBHF,2021-12-31,WORST,2022-04-26,1458.333,0.000,1458.333
IBHF,2021-12-31,WORST,2022-05-01,1682.292,108920.139,110602.431
IBHF,2021-12-31,WORST,2022-05-02,40260.108,316458.722,356718.831
IBHF,2021-12-31,WORST,2022-05-13,1100.000,0.000,1100.000
IBHF,2021-12-31,WORST,2022-05-16,55706.173,511847.500,567553.673
IBHF,2021-12-31,WORST,2022-06-01,34552.200,81900.000,116452.200
IBHF,2021-12-31,WORST,2022-06-08,3018.056,0.000,3018.056
IBHF,2021-12-31,WORST,2022-06-15,24215.316,198708.667,222923.983
IBHF,2021-12-31,WORST,2022-07-01,17759.722,0.000,17759.722
IBHF,2021-12-31,WORST,2022-07-08,5120.500,0.000,5120.500
IBHF,2021-12-31,WORST,2022-07-15,64180.417,297638.444,361818.861
IBHF,2021-12-31,WORST,2022-07-20,7263.889,0.000,7263.889
IBHF,2021-12-31,WORST,2022-07-27,933.333,0.000,933.333
IBHF,2021-12-31,WORST,2022-08-01,62750.833,105107.778,167858.611
IBHF,2021-12-31,WORST,2022-08-10,3000.000,0.000,3000.000
IBHF,2021-12-31,WORST,2022-08-15,60727.778,432819.444,493547.222
IBHF,2021-12-31,WORST,2022-08-22,2774.306,0.000,2774.306
IBHF,2021-12-31,WORST,2022-08-31,3055.556,0.000,3055.556
IBHF,2021-12-31,WORST,2022-09-01,31562.500,56822.778,88385.278
IBHF,2021-12-31,WORST,2022-09-15,51558.333,0.000,51558.333
IBHF,2021-12-31,WORST,2022-09-30,9604.167,103188.000,112792.167
IBHF,2021-12-31,WORST,2022-10-03,35627.533,248998.136,284625.670
IBHF,2021-12-31,WORST,2022-10-17,63323.282,87373.406,150696.688
IBHF,2021-12-31,WORST,2022-10-20,7263.889,0.000,7263.889
IBHF,2021-12-31,WORST,2022-10-26,1458.333,0.000,1458.333
IBHF,2021-12-31,WORST,2022-11-01,28350.694,153719.167,182069.861
IBHF,2021-12-31,WORST,2022-11-02,868.056,0.000,868.056
IBHF,2021-12-31,WORST,2022-11-14,1100.000,0.000,1100.000
IBHF,2021-12-31,WORST,2022-11-15,40355.556,183756.944,224112.500
IBHF,2021-12-31,WORST,2022-12-01,32065.972,164534.722,196600.694
IBHF,2021-12-31,WORST,2022-12-08,3018.056,0.000,3018.056
IBHF,2021-12-31,WORST,2022-12-15,20808.101,256407.500,277215.601
IBHF,2021-12-31,WORST,2023-01-03,17759.722,0.000,17759.722
IBHF,2021-12-31,WORST,2023-01-09,5120.500,0.000,5120.500
IBHF,2021-12-31,WORST,2023-01-17,54229.028,0.000,54229.028
IBHF,2021-12-31,WORST,2023-01-20,7263.889,0.000,7263.889
IBHF,2021-12-31,WORST,2023-01-27,933.333,0.000,933.333
IBHF,2021-12-31,WORST,2023-01-31,2576.389,0.000,2576.389
IBHF,2021-12-31,WORST,2023-02-01,56028.611,200772.556,256801.167
IBHF,2021-12-31,WORST,2023-02-05,30.556,51375.000,51405.556
IBHF,2021-12-31,WORST,2023-02-10,3000.000,0.000,3000.000
IBHF,2021-12-31,WORST,2023-02-15,42811.111,86770.833,129581.944
IBHF,2021-12-31,WORST,2023-02-21,2774.306,0.000,2774.306
IBHF,2021-12-31,WORST,2023-02-28,3055.556,0.000,3055.556
IBHF,2021-12-31,WORST,2023-03-01,29027.778,0.000,29027.778
IBHF,2021-12-31,WORST,2023-03-04,2640.625,85781.250,88421.875
IBHF,2021-12-31,WORST,2023-03-15,48745.833,68250.000,116995.833
IBHF,2021-12-31,WORST,2023-03-31,6416.667,0.000,6416.667
IBHF,2021-12-31,WORST,2023-04-03,27527.169,140088.026,167615.195
IBHF,2021-12-31,WORST,2023-04-17,60879.898,182348.684,243228.582
IBHF,2021-12-31,WORST,2023-04-20,7263.889,0.000,7263.889
IBHF,2021-12-31,WORST,2023-04-26,1458.333,0.000,1458.333
IBHF,2021-12-31,WORST,2023-05-01,24631.944,0.000,24631.944
IBHF,2021-12-31,WORST,2023-05-02,868.056,0.000,868.056
IBHF,2021-12-31,WORST,2023-05-15,34660.417,137396.500,172056.917
IBHF,2021-12-31,WORST,2023-06-01,28642.361,38888.889,67531.250
IBHF,2021-12-31,WORST,2023-06-08,3018.056,0.000,3018.056
IBHF,2021-12-31,WORST,2023-06-15,15872.917,0.000,15872.917
IBHF,2021-12-31,WORST,2023-07-03,17759.722,0.000,17759.722
IBHF,2021-12-31,WORST,2023-07-10,5120.500,0.000,5120.500
IBHF,2021-12-31,WORST,2023-07-17,54229.028,0.000,54229.028
IBHF,2021-12-31,WORST,2023-07-20,7263.889,324.073,7587.962
IBHF,2021-12-31,WORST,2023-07-27,933.333,0.000,933.333
IBHF,2021-12-31,WORST,2023-07-31,2576.389,0.000,2576.389
IBHF,2021-12-31,WORST,2023-08-01,48561.944,171836.111,220398.056
IBHF,2021-12-31,WORST,2023-08-10,3000.000,0.000,3000.000
IBHF,2021-12-31,WORST,2023-08-15,39373.611,44611.111,83984.722
IBHF,2021-12-31,WORST,2023-08-21,2774.306,0.000,2774.306
IBHF,2021-12-31,WORST,2023-08-31,3055.556,0.000,3055.556
IBHF,2021-12-31,WORST,2023-09-01,29027.778,0.000,29027.778
IBHF,2021-12-31,WORST,2023-09-15,48042.129,55995.556,104037.685
IBHF,2021-12-31,WORST,2023-10-02,29156.761,86643.582,115800.343
IBHF,2021-12-31,WORST,2023-10-16,54891.374,1695.906,56587.281
IBHF,2021-12-31,WORST,2023-10-20,7259.432,324.073,7583.505
IBHF,2021-12-31,WORST,2023-10-26,1458.333,0.000,1458.333
IBHF,2021-12-31,WORST,2023-11-01,24631.944,146656.611,171288.556
IBHF,2021-12-31,WORST,2023-11-02,868.056,0.000,868.056
IBHF,2021-12-31,WORST,2023-11-13,1100.000,0.000,1100.000
