STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBMK,2021-12-31,WORST,2022-01-06,123046.502,761945.325,884991.827
IBMK,2021-12-31,WORST,2022-01-18,5921.502,25938.567,31860.068
IBMK,2021-12-31,WORST,2022-01-31,0.000,1365.188,1365.188
IBMK,2021-12-31,WORST,2022-02-01,79013.225,701706.485,780719.710
IBMK,2021-12-31,WORST,2022-02-15,33003.413,564846.416,597849.829
IBMK,2021-12-31,WORST,2022-03-01,66797.355,1009556.314,1076353.669
IBMK,2021-12-31,WORST,2022-03-15,17481.229,554607.509,572088.737
IBMK,2021-12-31,WORST,2022-04-01,74954.352,639249.147,714203.498
IBMK,2021-12-31,WORST,2022-04-15,10836.177,109215.017,120051.195
IBMK,2021-12-31,WORST,2022-05-02,61774.744,736177.474,797952.218
IBMK,2021-12-31,WORST,2022-05-15,232.935,8873.720,9106.655
IBMK,2021-12-31,WORST,2022-05-16,31683.020,502730.375,534413.396
IBMK,2021-12-31,WORST,2022-06-01,83392.065,1415017.065,1498409.130
IBMK,2021-12-31,WORST,2022-06-15,19997.507,842320.819,862318.326
IBMK,2021-12-31,WORST,2022-07-01,104657.850,4268259.386,4372917.235
IBMK,2021-12-31,WORST,2022-07-15,5273.038,214675.768,219948.805
IBMK,2021-12-31,WORST,2022-08-01,61649.317,2610238.908,2671888.225
IBMK,2021-12-31,WORST,2022-08-15,19162.116,834470.990,853633.106
IBMK,2021-12-31,WORST,2022-09-01,41836.604,1743344.710,1785181.314
IBMK,2021-12-31,WORST,2022-09-15,3783.276,153583.618,157366.894
IBMK,2021-12-31,WORST,2022-10-03,59561.433,2439931.741,2499493.174
IBMK,2021-12-31,WORST,2022-10-17,8105.802,351535.836,359641.638
IBMK,2021-12-31,WORST,2022-11-01,43627.986,1778839.590,1822467.577
IBMK,2021-12-31,WORST,2022-11-15,19265.785,789078.498,808344.283
IBMK,2021-12-31,WORST,2022-12-01,48927.474,2006143.345,2055070.819
IBMK,2021-12-31,MATURITY,2022-01-06,123046.502,761945.325,884991.827
IBMK,2021-12-31,MATURITY,2022-01-18,5921.502,25938.567,31860.068
IBMK,2021-12-31,MATURITY,2022-01-31,0.000,1365.188,1365.188
IBMK,2021-12-31,MATURITY,2022-02-01,79013.225,701706.485,780719.710
IBMK,2021-12-31,MATURITY,2022-02-15,33003.413,564846.416,597849.829
IBMK,2021-12-31,MATURITY,2022-03-01,66797.355,1009556.314,1076353.669
IBMK,2021-12-31,MATURITY,2022-03-15,17481.229,554607.509,572088.737
IBMK,2021-12-31,MATURITY,2022-04-01,74954.352,639249.147,714203.498
IBMK,2021-12-31,MATURITY,2022-04-15,10836.177,109215.017,120051.195
IBMK,2021-12-31,MATURITY,2022-05-02,61774.744,736177.474,797952.218
IBMK,2021-12-31,MATURITY,2022-05-15,232.935,8873.720,9106.655
IBMK,2021-12-31,MATURITY,2022-05-16,31683.020,502730.375,534413.396
IBMK,2021-12-31,MATURITY,2022-06-01,83392.065,1415017.065,1498409.130
IBMK,2021-12-31,MATURITY,2022-06-15,19997.507,842320.819,862318.326
IBMK,2021-12-31,MATURITY,2022-07-01,104657.850,4268259.386,4372917.235
IBMK,2021-12-31,MATURITY,2022-07-15,5273.038,214675.768,219948.805
IBMK,2021-12-31,MATURITY,2022-08-01,61649.317,2610238.908,2671888.225
IBMK,2021-12-31,MATURITY,2022-08-15,19162.116,834470.990,853633.106
IBMK,2021-12-31,MATURITY,2022-09-01,41836.604,1743344.710,1785181.314
IBMK,2021-12-31,MATURITY,2022-09-15,3783.276,153583.618,157366.894
IBMK,2021-12-31,MATURITY,2022-10-03,59561.433,2439931.741,2499493.174
IBMK,2021-12-31,MATURITY,2022-10-17,8105.802,351535.836,359641.638
IBMK,2021-12-31,MATURITY,2022-11-01,43627.986,1778839.590,1822467.577
IBMK,2021-12-31,MATURITY,2022-11-15,19265.785,789078.498,808344.283
IBMK,2021-12-31,MATURITY,2022-12-01,48927.474,2006143.345,2055070.819
