STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBTD,2021-12-31,WORST,2022-01-06,0.000,183283.793,183283.793
IBTD,2021-12-31,WORST,2022-01-31,99709.397,0.000,99709.397
IBTD,2021-12-31,WORST,2022-02-15,58125.000,0.000,58125.000
IBTD,2021-12-31,WORST,2022-04-18,88.879,0.000,88.879
IBTD,2021-12-31,WORST,2022-05-02,39531.250,0.000,39531.250
IBTD,2021-12-31,WORST,2022-05-16,641.724,0.000,641.724
IBTD,2021-12-31,WORST,2022-05-31,108621.315,0.000,108621.315
IBTD,2021-12-31,WORST,2022-06-15,10.560,0.000,10.560
IBTD,2021-12-31,WORST,2022-08-01,99709.397,0.000,99709.397
IBTD,2021-12-31,WORST,2022-08-15,58125.000,0.000,58125.000
IBTD,2021-12-31,WORST,2022-10-17,88.879,0.000,88.879
IBTD,2021-12-31,WORST,2022-10-31,39531.250,0.000,39531.250
IBTD,2021-12-31,WORST,2022-11-15,641.724,0.000,641.724
IBTD,2021-12-31,WORST,2022-11-30,108621.315,0.000,108621.315
IBTD,2021-12-31,WORST,2022-12-15,10.560,0.000,10.560
IBTD,2021-12-31,WORST,2023-01-31,99709.397,4922896.552,5022605.948
IBTD,2021-12-31,WORST,2023-02-15,58125.000,0.000,58125.000
IBTD,2021-12-31,WORST,2023-04-17,88.879,0.000,88.879
IBTD,2021-12-31,WORST,2023-05-01,39531.250,0.000,39531.250
IBTD,2021-12-31,WORST,2023-05-15,641.724,0.000,641.724
IBTD,2021-12-31,WORST,2023-05-31,108621.315,5214275.862,5322897.177
IBTD,2021-12-31,WORST,2023-06-15,10.560,0.000,10.560
IBTD,2021-12-31,WORST,2023-07-31,41250.000,3000000.000,3041250.000
IBTD,2021-12-31,WORST,2023-08-15,58125.000,4650000.000,4708125.000
IBTD,2021-12-31,WORST,2023-10-16,88.879,142206.897,142295.776
IBTD,2021-12-31,WORST,2023-10-31,39531.250,2750000.000,2789531.250
IBTD,2021-12-31,WORST,2023-11-15,641.724,513379.310,514021.034
IBTD,2021-12-31,WORST,2023-11-30,46299.892,3220862.069,3267161.961
IBTD,2021-12-31,WORST,2023-12-15,10.560,16896.552,16907.112
IBTD,2021-12-31,MATURITY,2022-01-06,0.000,183283.793,183283.793
IBTD,2021-12-31,MATURITY,2022-01-31,99709.397,0.000,99709.397
IBTD,2021-12-31,MATURITY,2022-02-15,58125.000,0.000,58125.000
IBTD,2021-12-31,MATURITY,2022-04-18,88.879,0.000,88.879
IBTD,2021-12-31,MATURITY,2022-05-02,39531.250,0.000,39531.250
IBTD,2021-12-31,MATURITY,2022-05-16,641.724,0.000,641.724
IBTD,2021-12-31,MATURITY,2022-05-31,108621.315,0.000,108621.315
IBTD,2021-12-31,MATURITY,2022-06-15,10.560,0.000,10.560
IBTD,2021-12-31,MATURITY,2022-08-01,99709.397,0.000,99709.397
IBTD,2021-12-31,MATURITY,2022-08-15,58125.000,0.000,58125.000
IBTD,2021-12-31,MATURITY,2022-10-17,88.879,0.000,88.879
IBTD,2021-12-31,MATURITY,2022-10-31,39531.250,0.000,39531.250
IBTD,2021-12-31,MATURITY,2022-11-15,641.724,0.000,641.724
IBTD,2021-12-31,MATURITY,2022-11-30,108621.315,0.000,108621.315
IBTD,2021-12-31,MATURITY,2022-12-15,10.560,0.000,10.560
IBTD,2021-12-31,MATURITY,2023-01-31,99709.397,4922896.552,5022605.948
IBTD,2021-12-31,MATURITY,2023-02-15,58125.000,0.000,58125.000
IBTD,2021-12-31,MATURITY,2023-04-17,88.879,0.000,88.879
IBTD,2021-12-31,MATURITY,2023-05-01,39531.250,0.000,39531.250
IBTD,2021-12-31,MATURITY,2023-05-15,641.724,0.000,641.724
IBTD,2021-12-31,MATURITY,2023-05-31,108621.315,5214275.862,5322897.177
IBTD,2021-12-31,MATURITY,2023-06-15,10.560,0.000,10.560
IBTD,2021-12-31,MATURITY,2023-07-31,41250.000,3000000.000,3041250.000
IBTD,2021-12-31,MATURITY,2023-08-15,58125.000,4650000.000,4708125.000
IBTD,2021-12-31,MATURITY,2023-10-16,88.879,142206.897,142295.776
IBTD,2021-12-31,MATURITY,2023-10-31,39531.250,2750000.000,2789531.250
IBTD,2021-12-31,MATURITY,2023-11-15,641.724,513379.310,514021.034
IBTD,2021-12-31,MATURITY,2023-11-30,46299.892,3220862.069,3267161.961
IBTD,2021-12-31,MATURITY,2023-12-15,10.560,16896.552,16907.112
