STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBTG,2021-12-31,WORST,2022-01-06,0.000,48600.514,48600.514
IBTG,2021-12-31,WORST,2022-01-31,34849.107,0.000,34849.107
IBTG,2021-12-31,WORST,2022-02-28,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2022-03-31,37427.143,0.000,37427.143
IBTG,2021-12-31,WORST,2022-05-02,60715.893,0.000,60715.893
IBTG,2021-12-31,WORST,2022-05-16,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2022-05-31,35405.766,0.000,35405.766
IBTG,2021-12-31,WORST,2022-06-30,26442.589,0.000,26442.589
IBTG,2021-12-31,WORST,2022-08-01,34849.107,0.000,34849.107
IBTG,2021-12-31,WORST,2022-08-31,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2022-09-30,37427.143,0.000,37427.143
IBTG,2021-12-31,WORST,2022-10-31,60715.893,0.000,60715.893
IBTG,2021-12-31,WORST,2022-11-15,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2022-11-30,35464.234,0.000,35464.234
IBTG,2021-12-31,WORST,2023-01-03,26442.589,0.000,26442.589
IBTG,2021-12-31,WORST,2023-01-31,34849.107,0.000,34849.107
IBTG,2021-12-31,WORST,2023-02-28,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2023-03-31,37427.143,0.000,37427.143
IBTG,2021-12-31,WORST,2023-05-01,60715.893,0.000,60715.893
IBTG,2021-12-31,WORST,2023-05-15,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2023-05-31,35405.766,0.000,35405.766
IBTG,2021-12-31,WORST,2023-06-30,26442.589,0.000,26442.589
IBTG,2021-12-31,WORST,2023-07-31,34849.107,0.000,34849.107
IBTG,2021-12-31,WORST,2023-08-31,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2023-10-02,37427.143,0.000,37427.143
IBTG,2021-12-31,WORST,2023-10-31,60715.893,0.000,60715.893
IBTG,2021-12-31,WORST,2023-11-15,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2023-11-30,35464.234,0.000,35464.234
IBTG,2021-12-31,WORST,2024-01-02,26442.589,0.000,26442.589
IBTG,2021-12-31,WORST,2024-01-31,34849.107,0.000,34849.107
IBTG,2021-12-31,WORST,2024-02-29,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2024-04-01,37427.143,0.000,37427.143
IBTG,2021-12-31,WORST,2024-04-30,60715.893,0.000,60715.893
IBTG,2021-12-31,WORST,2024-05-15,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2024-05-31,35440.106,0.000,35440.106
IBTG,2021-12-31,WORST,2024-07-01,26442.589,0.000,26442.589
IBTG,2021-12-31,WORST,2024-07-31,34849.107,0.000,34849.107
IBTG,2021-12-31,WORST,2024-09-03,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2024-09-30,37427.143,0.000,37427.143
IBTG,2021-12-31,WORST,2024-10-31,60715.893,0.000,60715.893
IBTG,2021-12-31,WORST,2024-11-15,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2024-12-02,35435.000,0.000,35435.000
IBTG,2021-12-31,WORST,2024-12-31,26442.589,0.000,26442.589
IBTG,2021-12-31,WORST,2025-01-31,34849.107,0.000,34849.107
IBTG,2021-12-31,WORST,2025-02-28,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2025-03-31,37427.143,0.000,37427.143
IBTG,2021-12-31,WORST,2025-04-30,60715.893,0.000,60715.893
IBTG,2021-12-31,WORST,2025-05-15,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2025-06-02,35400.644,0.000,35400.644
IBTG,2021-12-31,WORST,2025-06-30,26442.589,0.000,26442.589
IBTG,2021-12-31,WORST,2025-07-31,34849.107,0.000,34849.107
IBTG,2021-12-31,WORST,2025-09-02,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2025-09-30,37427.143,0.000,37427.143
IBTG,2021-12-31,WORST,2025-10-31,60715.893,0.000,60715.893
IBTG,2021-12-31,WORST,2025-11-17,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2025-12-01,35464.234,0.000,35464.234
IBTG,2021-12-31,WORST,2025-12-31,26442.589,0.000,26442.589
IBTG,2021-12-31,WORST,2026-02-02,34849.107,142857.143,177706.250
IBTG,2021-12-31,WORST,2026-03-02,2246.161,0.000,2246.161
IBTG,2021-12-31,WORST,2026-03-31,37427.143,3326857.143,3364284.286
IBTG,2021-12-31,WORST,2026-04-30,60715.893,6007571.429,6068287.321
IBTG,2021-12-31,WORST,2026-05-15,3810.000,0.000,3810.000
IBTG,2021-12-31,WORST,2026-06-01,35405.766,0.000,35405.766
IBTG,2021-12-31,WORST,2026-06-30,26442.589,5862142.857,5888585.446
IBTG,2021-12-31,WORST,2026-07-31,34581.250,3893714.286,3928295.536
IBTG,2021-12-31,WORST,2026-08-31,2246.161,326714.286,328960.446
IBTG,2021-12-31,WORST,2026-11-16,3810.000,381000.000,384810.000
IBTG,2021-12-31,WORST,2026-11-30,35464.234,4755285.714,4790749.948
IBTG,2021-12-31,MATURITY,2022-01-06,0.000,48600.514,48600.514
IBTG,2021-12-31,MATURITY,2022-01-31,34849.107,0.000,34849.107
IBTG,2021-12-31,MATURITY,2022-02-28,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2022-03-31,37427.143,0.000,37427.143
IBTG,2021-12-31,MATURITY,2022-05-02,60715.893,0.000,60715.893
IBTG,2021-12-31,MATURITY,2022-05-16,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2022-05-31,35405.766,0.000,35405.766
IBTG,2021-12-31,MATURITY,2022-06-30,26442.589,0.000,26442.589
IBTG,2021-12-31,MATURITY,2022-08-01,34849.107,0.000,34849.107
IBTG,2021-12-31,MATURITY,2022-08-31,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2022-09-30,37427.143,0.000,37427.143
IBTG,2021-12-31,MATURITY,2022-10-31,60715.893,0.000,60715.893
IBTG,2021-12-31,MATURITY,2022-11-15,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2022-11-30,35464.234,0.000,35464.234
IBTG,2021-12-31,MATURITY,2023-01-03,26442.589,0.000,26442.589
IBTG,2021-12-31,MATURITY,2023-01-31,34849.107,0.000,34849.107
IBTG,2021-12-31,MATURITY,2023-02-28,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2023-03-31,37427.143,0.000,37427.143
IBTG,2021-12-31,MATURITY,2023-05-01,60715.893,0.000,60715.893
IBTG,2021-12-31,MATURITY,2023-05-15,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2023-05-31,35405.766,0.000,35405.766
IBTG,2021-12-31,MATURITY,2023-06-30,26442.589,0.000,26442.589
IBTG,2021-12-31,MATURITY,2023-07-31,34849.107,0.000,34849.107
IBTG,2021-12-31,MATURITY,2023-08-31,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2023-10-02,37427.143,0.000,37427.143
IBTG,2021-12-31,MATURITY,2023-10-31,60715.893,0.000,60715.893
IBTG,2021-12-31,MATURITY,2023-11-15,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2023-11-30,35464.234,0.000,35464.234
IBTG,2021-12-31,MATURITY,2024-01-02,26442.589,0.000,26442.589
IBTG,2021-12-31,MATURITY,2024-01-31,34849.107,0.000,34849.107
IBTG,2021-12-31,MATURITY,2024-02-29,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2024-04-01,37427.143,0.000,37427.143
IBTG,2021-12-31,MATURITY,2024-04-30,60715.893,0.000,60715.893
IBTG,2021-12-31,MATURITY,2024-05-15,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2024-05-31,35440.106,0.000,35440.106
IBTG,2021-12-31,MATURITY,2024-07-01,26442.589,0.000,26442.589
IBTG,2021-12-31,MATURITY,2024-07-31,34849.107,0.000,34849.107
IBTG,2021-12-31,MATURITY,2024-09-03,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2024-09-30,37427.143,0.000,37427.143
IBTG,2021-12-31,MATURITY,2024-10-31,60715.893,0.000,60715.893
IBTG,2021-12-31,MATURITY,2024-11-15,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2024-12-02,35435.000,0.000,35435.000
IBTG,2021-12-31,MATURITY,2024-12-31,26442.589,0.000,26442.589
IBTG,2021-12-31,MATURITY,2025-01-31,34849.107,0.000,34849.107
IBTG,2021-12-31,MATURITY,2025-02-28,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2025-03-31,37427.143,0.000,37427.143
IBTG,2021-12-31,MATURITY,2025-04-30,60715.893,0.000,60715.893
IBTG,2021-12-31,MATURITY,2025-05-15,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2025-06-02,35400.644,0.000,35400.644
IBTG,2021-12-31,MATURITY,2025-06-30,26442.589,0.000,26442.589
IBTG,2021-12-31,MATURITY,2025-07-31,34849.107,0.000,34849.107
IBTG,2021-12-31,MATURITY,2025-09-02,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2025-09-30,37427.143,0.000,37427.143
IBTG,2021-12-31,MATURITY,2025-10-31,60715.893,0.000,60715.893
IBTG,2021-12-31,MATURITY,2025-11-17,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2025-12-01,35464.234,0.000,35464.234
IBTG,2021-12-31,MATURITY,2025-12-31,26442.589,0.000,26442.589
IBTG,2021-12-31,MATURITY,2026-02-02,34849.107,142857.143,177706.250
IBTG,2021-12-31,MATURITY,2026-03-02,2246.161,0.000,2246.161
IBTG,2021-12-31,MATURITY,2026-03-31,37427.143,3326857.143,3364284.286
IBTG,2021-12-31,MATURITY,2026-04-30,60715.893,6007571.429,6068287.321
IBTG,2021-12-31,MATURITY,2026-05-15,3810.000,0.000,3810.000
IBTG,2021-12-31,MATURITY,2026-06-01,35405.766,0.000,35405.766
IBTG,2021-12-31,MATURITY,2026-06-30,26442.589,5862142.857,5888585.446
IBTG,2021-12-31,MATURITY,2026-07-31,34581.250,3893714.286,3928295.536
IBTG,2021-12-31,MATURITY,2026-08-31,2246.161,326714.286,328960.446
IBTG,2021-12-31,MATURITY,2026-11-16,3810.000,381000.000,384810.000
IBTG,2021-12-31,MATURITY,2026-11-30,35464.234,4755285.714,4790749.948
