STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
IBTJ,2021-12-31,WORST,2022-01-06,0.000,268568.462,268568.462
IBTJ,2021-12-31,WORST,2022-02-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2022-05-16,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2022-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2022-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2023-02-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2023-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2023-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2023-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2024-02-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2024-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2024-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2024-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2025-02-18,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2025-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2025-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2025-11-17,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2026-02-17,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2026-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2026-08-17,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2026-11-16,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2027-02-16,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2027-05-17,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2027-08-16,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2027-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2028-02-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2028-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2028-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,WORST,2028-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,WORST,2029-02-15,117066.827,4088615.385,4205682.212
IBTJ,2021-12-31,WORST,2029-05-15,130814.327,9054923.077,9185737.404
IBTJ,2021-12-31,WORST,2029-08-15,63403.750,7803538.462,7866942.212
IBTJ,2021-12-31,WORST,2029-11-15,23287.115,2661384.615,2684671.731
IBTJ,2021-12-31,MATURITY,2022-01-06,0.000,268568.462,268568.462
IBTJ,2021-12-31,MATURITY,2022-02-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2022-05-16,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2022-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2022-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2023-02-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2023-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2023-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2023-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2024-02-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2024-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2024-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2024-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2025-02-18,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2025-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2025-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2025-11-17,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2026-02-17,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2026-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2026-08-17,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2026-11-16,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2027-02-16,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2027-05-17,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2027-08-16,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2027-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2028-02-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2028-05-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2028-08-15,117066.827,0.000,117066.827
IBTJ,2021-12-31,MATURITY,2028-11-15,130814.327,0.000,130814.327
IBTJ,2021-12-31,MATURITY,2029-02-15,117066.827,4088615.385,4205682.212
IBTJ,2021-12-31,MATURITY,2029-05-15,130814.327,9054923.077,9185737.404
IBTJ,2021-12-31,MATURITY,2029-08-15,63403.750,7803538.462,7866942.212
IBTJ,2021-12-31,MATURITY,2029-11-15,23287.115,2661384.615,2684671.731
