STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
ICSH,2021-12-31,WORST,2022-01-06,1517.852,7016909.538,7018427.389
ICSH,2021-12-31,WORST,2022-01-07,553.328,440339.264,440892.591
ICSH,2021-12-31,WORST,2022-01-10,231.517,367943.732,368175.249
ICSH,2021-12-31,WORST,2022-01-11,530.444,246214.315,246744.759
ICSH,2021-12-31,WORST,2022-01-12,402.095,312287.960,312690.055
ICSH,2021-12-31,WORST,2022-01-13,483.762,0.000,483.762
ICSH,2021-12-31,WORST,2022-01-14,132.558,535531.651,535664.209
ICSH,2021-12-31,WORST,2022-01-15,572.906,57913.972,58486.878
ICSH,2021-12-31,WORST,2022-01-18,4344.904,845153.786,849498.691
ICSH,2021-12-31,WORST,2022-01-19,21.213,263673.976,263695.189
ICSH,2021-12-31,WORST,2022-01-20,674.751,994414.564,995089.315
ICSH,2021-12-31,WORST,2022-01-21,2464.261,140670.252,143134.514
ICSH,2021-12-31,WORST,2022-01-24,2878.237,220835.747,223713.984
ICSH,2021-12-31,WORST,2022-01-25,4148.225,268928.424,273076.649
ICSH,2021-12-31,WORST,2022-01-26,0.000,588911.874,588911.874
ICSH,2021-12-31,WORST,2022-01-27,1620.030,165494.415,167114.445
ICSH,2021-12-31,WORST,2022-01-28,319.407,372362.433,372681.839
ICSH,2021-12-31,WORST,2022-01-30,168.343,295986.760,296155.103
ICSH,2021-12-31,WORST,2022-01-31,388.993,107571.369,107960.362
ICSH,2021-12-31,WORST,2022-02-01,2398.158,838642.946,841041.104
ICSH,2021-12-31,WORST,2022-02-02,277.486,211005.379,211282.864
ICSH,2021-12-31,WORST,2022-02-03,776.493,350475.796,351252.289
ICSH,2021-12-31,WORST,2022-02-04,73.278,248241.622,248314.900
ICSH,2021-12-31,WORST,2022-02-07,63.326,401323.955,401387.281
ICSH,2021-12-31,WORST,2022-02-08,418.424,15928.837,16347.261
ICSH,2021-12-31,WORST,2022-02-09,408.226,0.000,408.226
ICSH,2021-12-31,WORST,2022-02-10,1228.247,479048.407,480276.654
ICSH,2021-12-31,WORST,2022-02-11,569.398,88953.248,89522.645
ICSH,2021-12-31,WORST,2022-02-12,107.227,8274.721,8381.947
ICSH,2021-12-31,WORST,2022-02-14,1849.927,540256.516,542106.444
ICSH,2021-12-31,WORST,2022-02-15,3606.950,535959.895,539566.846
