ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|TREASURY NOTE (2OLD)|TNOTE|US91282CDF59|91282CDF5|United States|353286000|352821|352821|USD|ISHT7-10|11/1/2021|
12/30/2021|TREASURY NOTE|TNOTE|US9128285M81|9128285M8|United States|544334800|607517|607517|USD|ISHT7-10|11/15/2018|
12/30/2021|TREASURY NOTE (OLD)|TNOTE|US91282CDL28|91282CDL2|United States|1520000|1529|1529|USD|ISHT7-10|11/30/2021|
12/30/2021|TREASURY NOTE (OTR)|TNOTE|US91282CDP32|91282CDP3|United States|25000000|24898|24898|USD|ISHT7-10|12/31/2021|
12/30/2021|TREASURY NOTE|TNOTE|US9128286B18|9128286B1|United States|2020095400|2205074|2205074|USD|ISHT7-10|2/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US9128286T26|9128286T2|United States|1442886300|1543188|1543188|USD|ISHT7-10|5/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828Z948|912828Z94|United States|827550700|836601|836601|USD|ISHT7-10|2/18/2020|
12/30/2021|TREASURY NOTE|TNOTE|US912828ZQ64|912828ZQ6|United States|1003164400|938895|938895|USD|ISHT7-10|5/15/2020|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAE12|91282CAE1|United States|4588200600|4290788|4290788|USD|ISHT7-10|8/17/2020|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAV37|91282CAV3|United States|4638400|4417|4417|USD|ISHT7-10|11/16/2020|
12/30/2021|TREASURY NOTE (2OLD)|TNOTE|US91282CCB54|91282CCB5|United States|296900|301|301|USD|ISHT7-10|5/17/2021|
12/30/2021|TREASURY NOTE (OLD)|TNOTE|US91282CCS89|91282CCS8|United States|3620817000|3558461|3558461|USD|ISHT7-10|8/16/2021|
12/30/2021|TREASURY NOTE (OTR)|TNOTE|US91282CDJ71|91282CDJ7|United States|3494381700|3458296|3458296|USD|ISHT7-10|11/15/2021|
12/30/2021|USD CASH|USD|||United States|-76712915|-76713|-76713|USD|ISHT7-10|1/1/1989|
12/30/2021|BLK CSH FND TREASURY SL AGENCY|XTSLA|US0669224778|066922477|United States|16179000|16179|16179|USD|ISHT7-10|2/4/2009|
