ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|DENMARK (KINGDOM OF)|DGB|DK0009922320||Denmark|66625516|18052|118471|DKK|ISHGLTSY|11/14/2008|
12/30/2021|DENMARK (KINGDOM OF)|DGB|DK0009923807||Denmark|52573000|8389|55056|DKK|ISHGLTSY|1/25/2019|
12/30/2021|SWEDEN (KINGDOM OF)|SGB|SE0004869071||Sweden|67195000|7676|69441|SEK|ISHGLTSY|10/22/2012|
12/30/2021|DENMARK (KINGDOM OF)|DGB|DK0009923567||Denmark|44170000|7014|46035|DKK|ISHGLTSY|1/27/2017|
12/30/2021|SWEDEN (KINGDOM OF)|SGB|SE0005676608||Sweden|56260000|6849|61962|SEK|ISHGLTSY|2/3/2014|
12/30/2021|SWEDEN (KINGDOM OF)        RegS|SGB|SE0007125927||Sweden|58820000|6800|61523|SEK|ISHGLTSY|5/22/2015|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011401937||Israel|14595000|6197|19242|ILS|ISHGLTSY|3/7/2017|
12/30/2021|NORWAY (KINGDOM OF)|NGB|NO0010646813||Norway|53017000|6164|54287|NOK|ISHGLTSY|5/24/2012|
12/30/2021|NORWAY (KINGDOM OF)|NGB|NO0010705536||Norway|50494000|6068|53439|NOK|ISHGLTSY|3/14/2014|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011254005||Israel|11026000|5834|18115|ILS|ISHGLTSY|1/10/2012|
12/30/2021|NORWAY (KINGDOM OF)|NGB|NO0010757925||Norway|47706000|5466|48137|NOK|ISHGLTSY|2/19/2016|
12/30/2021|SWEDEN (KINGDOM OF)|SGB|SE0011281922||Sweden|46620000|5386|48723|SEK|ISHGLTSY|6/1/2018|
12/30/2021|DENMARK (KINGDOM OF)|DGB|DK0009923138||Denmark|32135000|5310|34846|DKK|ISHGLTSY|5/23/2014|
12/30/2021|SWEDEN (KINGDOM OF)|SGB|SE0009496367||Sweden|45950000|5299|47936|SEK|ISHGLTSY|1/27/2017|
12/30/2021|SWEDEN (KINGDOM OF)|SGB|SE0002829192||Sweden|30780000|5155|46636|SEK|ISHGLTSY|3/30/2009|
12/30/2021|IRELAND (REPUBLIC OF)|IRISH|IE00B4TV0D44||Ireland|3560656|4957|4375|EUR|ISHGLTSY|10/13/2009|
12/30/2021|NETHERLANDS (KINGDOM OF)|NETHER|NL0010721999||Netherlands|2650000|4950|4369|EUR|ISHGLTSY|2/21/2014|
12/30/2021|NETHERLANDS (KINGDOM OF)|NETHER|NL0009446418||Netherlands|2505398|4944|4363|EUR|ISHGLTSY|5/21/2010|
12/30/2021|DENMARK (KINGDOM OF)|DGB|DK0009924102||Denmark|31260000|4733|31059|DKK|ISHGLTSY|1/22/2021|
12/30/2021|IRELAND (REPUBLIC OF)      RegS|IRISH|IE00BJ38CR43||Ireland|3450440|4721|4166|EUR|ISHGLTSY|11/11/2014|
12/30/2021|AUSTRIA (REPUBLIC OF)|RAGB|AT0000A04967||Austria|2551000|4636|4092|EUR|ISHGLTSY|1/17/2007|
12/30/2021|IRELAND (REPUBLIC OF)      RegS|IRISH|IE00BV8C9186||Ireland|3169470|4630|4086|EUR|ISHGLTSY|2/10/2015|
12/30/2021|NORWAY (KINGDOM OF)|NGB|NO0010875230||Norway|41174000|4575|40291|NOK|ISHGLTSY|2/19/2020|
12/30/2021|IRELAND (REPUBLIC OF)      RegS|IRISH|IE00BV8C9418||Ireland|3790290|4566|4029|EUR|ISHGLTSY|1/14/2016|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011609851||Israel|13938000|4514|14016|ILS|ISHGLTSY|11/5/2019|
12/30/2021|CANADA (GOVERNMENT OF)|CAN|CA135087H722|135087H72|Canada|5334000|4453|5694|CAD|ISHGLTSY|12/22/2017|
12/30/2021|CANADA (GOVERNMENT OF)|CAN|CA135087K940|135087K94|Canada|5795000|4426|5659|CAD|ISHGLTSY|4/3/2020|
12/30/2021|NETHERLANDS (KINGDOM OF)|NETHER|NL0000102234||Netherlands|2332381|4276|3774|EUR|ISHGLTSY|4/25/2005|
12/30/2021|SWEDEN (KINGDOM OF)|SGB|SE0013935319||Sweden|38930000|4263|38568|SEK|ISHGLTSY|3/27/2020|
12/30/2021|DENMARK (KINGDOM OF)|DGB|DK0009923054||Denmark|26560898|4205|27598|DKK|ISHGLTSY|9/7/2012|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011308488||Israel|11625000|4159|12915|ILS|ISHGLTSY|1/7/2014|
12/30/2021|IRELAND (REPUBLIC OF)      RegS|IRISH|IE00BH3SQ895||Ireland|3335000|4094|3613|EUR|ISHGLTSY|1/16/2019|
12/30/2021|FRANCE (REPUBLIC OF)       RegS|FRTR|FR0012993103||France|3148000|4054|3578|EUR|ISHGLTSY|10/5/2015|
12/30/2021|FRANCE (REPUBLIC OF)       RegS|FRTR|FR0010466938||France|3227000|4009|3538|EUR|ISHGLTSY|5/9/2007|
12/30/2021|FINLAND (REPUBLIC OF)|RFGB|FI4000046545||Finland|2424000|4006|3536|EUR|ISHGLTSY|7/3/2012|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG31B8000001||Singapore|5280000|3980|5382|SGD|ISHGLTSY|2/1/2018|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011626681||Israel|12200000|3973|12337|ILS|ISHGLTSY|2/4/2020|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011393449||Israel|11300000|3962|12303|ILS|ISHGLTSY|11/8/2016|
12/30/2021|DENMARK (KINGDOM OF)|DGB|DK0009924029||Denmark|26708000|3961|25993|DKK|ISHGLTSY|4/3/2020|
12/30/2021|BELGIUM (KINGDOM OF)|BGB|BE0000291972||Belgium|2479794|3954|3490|EUR|ISHGLTSY|2/26/1998|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG7U32949426||Singapore|4830000|3943|5332|SGD|ISHGLTSY|9/1/2010|
12/30/2021|SWEDEN (KINGDOM OF)|SGB|SE0004517290||Sweden|29240000|3918|35449|SEK|ISHGLTSY|3/20/2012|
12/30/2021|ISRAEL (STATE OF)|ILGOV|IL0011267478||Israel|11175000|3904|12124|ILS|ISHGLTSY|8/7/2012|
12/30/2021|BELGIUM (KINGDOM OF)|BGB|BE0000304130||Belgium|2067690|3842|3390|EUR|ISHGLTSY|5/19/2004|
12/30/2021|SINGAPORE (REPUBLIC OF)|SIGB|SG7S30941627||Singapore|4860000|3820|5166|SGD|ISHGLTSY|9/1/2009|
12/30/2021|CANADA (GOVERNMENT OF)|CAN|CA135087K379|135087K37|Canada|4840000|3753|4799|CAD|ISHGLTSY|7/26/2019|
12/30/2021|CANADA (GOVERNMENT OF)|CAN|CA135087M276|135087M27|Canada|4683000|3679|4705|CAD|ISHGLTSY|4/26/2021|
