iShares Core 10+ Year USD Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Dec 08, 2009"
Shares Outstanding,"4,900,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"TREASURY BOND","Treasury","Fixed Income","11,312,195.38","3.19","11,312,195.38","12,350,000.00","912810ST6","US912810ST60","BNG0BM3","91.42","United States","-","USD","16.32","1.92","1.00","Nov 15, 2040","1.38","16.37","-","1.92","16.37","1.92","USD","Nov 15, 2020","Nov 30, 2020"
"TREASURY BOND","Treasury","Fixed Income","8,967,307.50","2.53","8,967,307.50","7,250,000.00","912810SA7","US912810SA79","BG0D0F5","122.56","United States","-","USD","18.64","1.90","1.00","Feb 15, 2048","3.00","18.80","-","1.90","18.80","1.90","USD","Feb 15, 2018","Feb 15, 2018"
"TREASURY BOND","Treasury","Fixed Income","8,315,988.19","2.35","8,315,988.19","9,450,000.00","912810SQ2","US912810SQ22","BKVKF47","87.58","United States","-","USD","16.41","1.92","1.00","Aug 15, 2040","1.13","16.46","-","1.92","16.46","1.92","USD","Aug 15, 2020","Aug 31, 2020"
"TREASURY BOND","Treasury","Fixed Income","7,837,792.31","2.21","7,837,792.31","8,850,000.00","912810SP4","US912810SP49","BL6JZR9","88.05","United States","-","USD","22.87","1.92","1.00","Aug 15, 2050","1.38","23.00","-","1.92","23.00","1.92","USD","Aug 15, 2020","Aug 17, 2020"
"TREASURY BOND","Treasury","Fixed Income","6,725,495.26","1.90","6,725,495.26","7,170,000.00","912810SS8","US912810SS87","BN7JWV5","93.59","United States","-","USD","22.51","1.91","1.00","Nov 15, 2050","1.63","22.66","-","1.91","22.66","1.91","USD","Nov 15, 2020","Nov 16, 2020"
"TREASURY BOND","Treasury","Fixed Income","6,107,632.62","1.72","6,107,632.62","6,100,000.00","912810SU3","US912810SU34","BLH1TN8","99.42","United States","-","USD","22.03","1.90","1.00","Feb 15, 2051","1.88","22.18","-","1.90","22.18","1.90","USD","Feb 15, 2021","Feb 16, 2021"
"TREASURY BOND","Treasury","Fixed Income","4,377,646.65","1.23","4,377,646.65","3,930,000.00","912810RK6","US912810RK60","BVVT273","110.45","United States","-","USD","17.57","1.94","1.00","Feb 15, 2045","2.50","17.69","-","1.94","17.69","1.94","USD","Feb 15, 2015","Feb 17, 2015"
"TREASURY BOND","Treasury","Fixed Income","4,290,400.00","1.21","4,290,400.00","3,460,000.00","912810SD1","US912810SD19","BFZLQN7","122.88","United States","-","USD","18.90","1.90","1.00","Aug 15, 2048","3.00","19.06","-","1.90","19.06","1.90","USD","Aug 15, 2018","Aug 15, 2018"
"TREASURY BOND","Treasury","Fixed Income","4,104,500.66","1.16","4,104,500.66","3,500,000.00","912810RZ3","US912810RZ30","BF92XY6","116.92","United States","-","USD","18.91","1.92","1.00","Nov 15, 2047","2.75","19.06","-","1.92","19.06","1.92","USD","Nov 15, 2017","Nov 15, 2017"
"TREASURY BOND","Treasury","Fixed Income","3,880,618.06","1.09","3,880,618.06","2,950,000.00","912810RC4","US912810RC45","BCZQWC2","130.19","United States","-","USD","15.63","1.91","1.00","Aug 15, 2043","3.63","15.76","-","1.91","15.76","1.91","USD","Aug 15, 2013","Aug 15, 2013"
"TREASURY NOTE (OTR)","Treasury","Fixed Income","3,764,497.50","1.06","3,764,497.50","3,800,000.00","91282CDJ7","US91282CDJ71","BMCNFW7","98.89","United States","-","USD","9.18","1.50","1.00","Nov 15, 2031","1.38","9.18","-","1.50","9.18","1.50","USD","Nov 15, 2021","Nov 15, 2021"
"TREASURY BOND","Treasury","Fixed Income","3,726,458.93","1.05","3,726,458.93","4,230,000.00","912810SR0","US912810SR05","BMFKWB3","87.95","United States","-","USD","16.27","1.91","1.00","May 15, 2040","1.13","16.32","-","1.91","16.32","1.91","USD","May 15, 2020","Jun 01, 2020"
"TREASURY BOND (2OLD)","Treasury","Fixed Income","3,671,936.25","1.04","3,671,936.25","3,300,000.00","912810SX7","US912810SX72","BMHV4V8","110.97","United States","-","USD","21.34","1.89","1.00","May 15, 2051","2.38","21.52","-","1.89","21.52","1.89","USD","May 15, 2021","May 17, 2021"
