STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
LEMB,2021-12-31,WORST,2022-01-06,47373.685,77062.470,124436.155
LEMB,2021-12-31,WORST,2022-01-10,1778.394,0.000,1778.394
LEMB,2021-12-31,WORST,2022-01-11,26699.654,0.000,26699.654
LEMB,2021-12-31,WORST,2022-01-14,32173.849,0.000,32173.849
LEMB,2021-12-31,WORST,2022-01-17,4238.658,0.000,4238.658
LEMB,2021-12-31,WORST,2022-01-19,16943.392,0.000,16943.392
LEMB,2021-12-31,WORST,2022-01-25,3226.426,0.000,3226.426
LEMB,2021-12-31,WORST,2022-01-26,15990.809,0.000,15990.809
LEMB,2021-12-31,WORST,2022-01-31,30787.572,0.000,30787.572
LEMB,2021-12-31,WORST,2022-02-02,5493.261,0.000,5493.261
LEMB,2021-12-31,WORST,2022-02-08,26334.761,0.000,26334.761
LEMB,2021-12-31,WORST,2022-02-09,3050.209,0.000,3050.209
LEMB,2021-12-31,WORST,2022-02-10,375.115,0.000,375.115
LEMB,2021-12-31,WORST,2022-02-14,61192.722,0.000,61192.722
LEMB,2021-12-31,WORST,2022-02-15,34324.063,0.000,34324.063
LEMB,2021-12-31,WORST,2022-02-16,27228.023,0.000,27228.023
LEMB,2021-12-31,WORST,2022-02-17,636.084,0.000,636.084
LEMB,2021-12-31,WORST,2022-02-21,12858.363,0.000,12858.363
LEMB,2021-12-31,WORST,2022-02-24,4481.878,0.000,4481.878
LEMB,2021-12-31,WORST,2022-02-28,26282.907,0.000,26282.907
LEMB,2021-12-31,WORST,2022-03-01,27709.089,0.000,27709.089
LEMB,2021-12-31,WORST,2022-03-02,7296.782,0.000,7296.782
LEMB,2021-12-31,WORST,2022-03-09,4627.546,0.000,4627.546
LEMB,2021-12-31,WORST,2022-03-10,17742.738,0.000,17742.738
LEMB,2021-12-31,WORST,2022-03-11,3165.846,0.000,3165.846
LEMB,2021-12-31,WORST,2022-03-14,6445.504,0.000,6445.504
LEMB,2021-12-31,WORST,2022-03-15,49966.117,0.000,49966.117
LEMB,2021-12-31,WORST,2022-03-16,10952.887,0.000,10952.887
LEMB,2021-12-31,WORST,2022-03-23,7164.812,0.000,7164.812
LEMB,2021-12-31,WORST,2022-03-28,5940.827,0.000,5940.827
LEMB,2021-12-31,WORST,2022-03-30,2497.215,0.000,2497.215
LEMB,2021-12-31,WORST,2022-03-31,14540.880,0.000,14540.880
LEMB,2021-12-31,WORST,2022-04-01,3491.339,0.000,3491.339
LEMB,2021-12-31,WORST,2022-04-06,28237.127,0.000,28237.127
