ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001001945||Czech Republic|26620000|1238|27195|CZK|ISHLEMB|6/18/2007|
12/30/2021|CZECH REPUBLIC             RegS|CZGB|CZ0001004600||Czech Republic|37560000|1620|35581|CZK|ISHLEMB|9/25/2015|
12/30/2021|CZECH REPUBLIC             RegS|CZGB|CZ0001002547||Czech Republic|27220000|1342|29481|CZK|ISHLEMB|5/25/2009|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001005870||Czech Republic|23670000|1024|22482|CZK|ISHLEMB|2/14/2020|
12/30/2021|CZECH REPUBLIC             RegS|CZGB|CZ0001004253||Czech Republic|40920000|1815|39866|CZK|ISHLEMB|3/17/2014|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001004469||Czech Republic|47400000|1966|43183|CZK|ISHLEMB|6/26/2015|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001005037||Czech Republic|43280000|1705|37446|CZK|ISHLEMB|2/10/2017|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001003859||Czech Republic|46550000|2064|45325|CZK|ISHLEMB|2/25/2013|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001005375||Czech Republic|41940000|1895|41628|CZK|ISHLEMB|2/23/2018|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001006076||Czech Republic|13580000|491|10790|CZK|ISHLEMB|8/28/2020|
12/30/2021|CZECH REPUBLIC             RegS|CZGB|CZ0001004477||Czech Republic|44610000|1743|38274|CZK|ISHLEMB|5/15/2015|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001005888||Czech Republic|41010000|1627|35724|CZK|ISHLEMB|3/13/2020|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001006233||Czech Republic|21830000|912|20019|CZK|ISHLEMB|4/23/2021|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001005243||Czech Republic|49240000|2068|45414|CZK|ISHLEMB|10/13/2017|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001001796||Czech Republic|20390000|1095|24051|CZK|ISHLEMB|12/4/2006|
12/30/2021|CZECH REPUBLIC|CZGB|CZ0001005920||Czech Republic|13730000|517|11365|CZK|ISHLEMB|4/24/2020|
12/30/2021|CZK CASH|CZK|||Czech Republic|2313784|105|2314|CZK|ISHLEMB|1/1/1990|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000096165||South Africa|16584678|1094|17499|ZAR|ISHLEMB|6/22/2012|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000016320||South Africa|56250021|3900|62361|ZAR|ISHLEMB|5/21/1998|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000106998||South Africa|53959360|3225|51556|ZAR|ISHLEMB|10/4/2013|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000077470||South Africa|20060000|1083|17321|ZAR|ISHLEMB|5/28/2010|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000107004||South Africa|37125000|2132|34083|ZAR|ISHLEMB|6/13/2014|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000125972||South Africa|31876000|1843|29466|ZAR|ISHLEMB|7/17/2015|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000030404||South Africa|23292000|1040|16632|ZAR|ISHLEMB|7/21/2006|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000107012||South Africa|38661000|2126|33993|ZAR|ISHLEMB|7/19/2013|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000125980||South Africa|27355000|1546|24711|ZAR|ISHLEMB|9/11/2015|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000077488||South Africa|18335386|785|12544|ZAR|ISHLEMB|6/4/2010|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000106972||South Africa|33226000|1808|28913|ZAR|ISHLEMB|7/18/2014|
12/30/2021|SOUTH AFRICA (REPUBLIC OF)|SAGB|ZAG000096173||South Africa|53092000|2859|45709|ZAR|ISHLEMB|6/29/2012|
12/30/2021|ZAR CASH|ZAR|||South Africa|2465226|154|2465|ZAR|ISHLEMB|1/1/1990|
12/30/2021|ARS CASH|ARS|||Argentina|303744|2|304|ARS|ISHLEMB|1/1/1985|
12/30/2021|BRAZIL (FEDERATIVE REPUBLIC OF)|BLTN|BRSTNCLTN7O0||Brazil|11000|1871|10433|BRL|ISHLEMB|7/5/2018|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GOV|BLTN|BRSTNCLTN7Q5||Brazil|25000|3807|21227|BRL|ISHLEMB|4/5/2019|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GOV|BLTN|BRSTNCLTN7S1||Brazil|36697|5338|29765|BRL|ISHLEMB|1/3/2020|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GO|BRAZIL|US105756BT66||Brazil|500000|90|502|BRL|ISHLEMB|4/27/2012|
12/30/2021|BRL CASH|BRL|||Brazil|674830|121|675|BRL|ISHLEMB|1/1/1990|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GO|BNTNF|BRSTNCNTF147||Brazil|16557|3065|17090|BRL|ISHLEMB|3/9/2012|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GOV|BLTN|BRSTNCLTN7W3||Brazil|14000|1942|10829|BRL|ISHLEMB|1/8/2021|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF|BNTNF|BRSTNCNTF170||Brazil|12399|2295|12797|BRL|ISHLEMB|1/10/2014|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GO|BNTNF|BRSTNCNTF1P8||Brazil|14193|2605|14525|BRL|ISHLEMB|1/15/2016|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GO|BRAZIL|US105756BN96||Brazil|1420000|264|1474|BRL|ISHLEMB|2/14/2007|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GOV|BNTNF|BRSTNCNTF1Q6||Brazil|9263|1684|9388|BRL|ISHLEMB|1/5/2018|
12/30/2021|BRAZIL FEDERATIVE REPUBLIC OF (GOV|BNTNF|BRSTNCNTF204||Brazil|5000|901|5026|BRL|ISHLEMB|1/10/2020|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000010208||Indonesia|6893000000|499|7123412|IDR|ISHLEMB|8/13/2012|
12/30/2021|PERUSAHAAN PENERBIT SBSN INDONESIA|INDOIS|IDP000002909||Indonesia|8832000000|677|9657168|IDR|ISHLEMB|10/4/2018|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000012006||Indonesia|18660000000|1456|20778339|IDR|ISHLEMB|8/29/2013|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000012808||Indonesia|6779000000|522|7454188|IDR|ISHLEMB|9/27/2018|
12/30/2021|PERUSAHAAN PENERBIT SBSN INDONESIA|INDOIS|IDP000003808||Indonesia|11181000000|839|11973050|IDR|ISHLEMB|10/17/2019|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000013707||Indonesia|13233000000|981|13989650|IDR|ISHLEMB|8/1/2019|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000007204||Indonesia|2856000000|247|3519192|IDR|ISHLEMB|9/21/2006|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000015108||Indonesia|16486000000|1189|16963830|IDR|ISHLEMB|8/13/2020|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000009507||Indonesia|10796000000|874|12469628|IDR|ISHLEMB|9/23/2010|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000018607||Indonesia|5114000000|365|5212194|IDR|ISHLEMB|7/8/2021|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000009804||Indonesia|15733000000|1193|17026284|IDR|ISHLEMB|9/15/2011|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000010307||Indonesia|9215000000|663|9460248|IDR|ISHLEMB|8/13/2012|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000011107||Indonesia|11916000000|988|14100846|IDR|ISHLEMB|9/12/2013|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000012907||Indonesia|8969000000|709|10110359|IDR|ISHLEMB|9/27/2018|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000009002||Indonesia|3789000000|346|4931725|IDR|ISHLEMB|8/20/2009|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000013806||Indonesia|19372000000|1439|20534262|IDR|ISHLEMB|8/1/2019|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000015207||Indonesia|21130000000|1531|21842039|IDR|ISHLEMB|8/13/2020|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000011701||Indonesia|5305000000|434|6190282|IDR|ISHLEMB|8/6/2015|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000009200||Indonesia|5720000000|499|7117796|IDR|ISHLEMB|7/22/2010|
12/30/2021|PERUSAHAAN PENERBIT SBSN INDONESIA|INDOIS|IDP000002206||Indonesia|8608000000|715|10197608|IDR|ISHLEMB|1/28/2016|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000018706||Indonesia|3578000000|256|3654247|IDR|ISHLEMB|7/8/2021|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000009705||Indonesia|5783000000|455|6493731|IDR|ISHLEMB|7/21/2011|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000012204||Indonesia|8278000000|632|9018227|IDR|ISHLEMB|11/10/2016|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000010406||Indonesia|6152000000|436|6218042|IDR|ISHLEMB|8/30/2012|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000010802||Indonesia|12247000000|989|14108826|IDR|ISHLEMB|8/1/2013|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000013509||Indonesia|8675000000|641|9139902|IDR|ISHLEMB|7/4/2019|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000011602||Indonesia|10734000000|842|12008727|IDR|ISHLEMB|7/9/2015|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000018201||Indonesia|5099000000|358|5112135|IDR|ISHLEMB|1/7/2021|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000012303||Indonesia|12212000000|902|12875392|IDR|ISHLEMB|8/10/2017|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000013202||Indonesia|10957000000|880|12562047|IDR|ISHLEMB|1/7/2019|
12/30/2021|INDONESIA (REPUBLIC OF)|INDOGB|IDG000014101||Indonesia|10561000000|785|11206478|IDR|ISHLEMB|11/7/2019|
12/30/2021|IDR CASH|IDR|||Indonesia|1428719005|100|1428719|IDR|ISHLEMB|1/1/1990|
12/30/2021|COLOMBIA REPUBLIC OF (GOVERNMENT)|COLTES|COL17CT02385||Colombia|9467500000|2624|10563358|COP|ISHLEMB|7/24/2008|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLTES|COL17CT03557||Colombia|8324800000|2003|8063688|COP|ISHLEMB|11/26/2017|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLTES|COL17CT02625||Colombia|10511900000|2661|10711784|COP|ISHLEMB|8/26/2011|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLOM|XS0306322065||Colombia|745000000|214|861807|COP|ISHLEMB|6/28/2007|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLTES|COL17CT03672||Colombia|8235000000|1868|7518897|COP|ISHLEMB|1/15/2020|
12/30/2021|COLOMBIA REPUBLIC OF (GOVERNMENT)|COLTES|COL17CT02914||Colombia|11810200000|2771|11154740|COP|ISHLEMB|4/28/2012|
12/30/2021|COLOMBIA REPUBLIC OF (GOVERNMENT)|COLTES|COL17CT03342||Colombia|8357600000|2071|8334052|COP|ISHLEMB|9/18/2014|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLTES|COL17CT03771||Colombia|4559500000|1108|4458653|COP|ISHLEMB|6/23/2021|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLTES|COL17CT03490||Colombia|11377100000|2678|10780894|COP|ISHLEMB|6/30/2016|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLTES|COL17CT03615||Colombia|10119600000|2342|9425142|COP|ISHLEMB|10/18/2018|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLTES|COL17CT03748||Colombia|5060000000|1073|4318938|COP|ISHLEMB|1/13/2021|
12/30/2021|COLOMBIA (REPUBLIC OF)|COLTES|COL17CT03722||Colombia|6251100000|1358|5464468|COP|ISHLEMB|9/14/2020|
12/30/2021|COP CASH|COP|||Colombia|878781725|218|878782|COP|ISHLEMB|1/1/1990|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000102646||Poland|5053000|1298|5262|PLN|ISHLEMB|4/22/2002|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000110151||Poland|6866000|1718|6966|PLN|ISHLEMB|8/7/2017|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000107264||Poland|5596000|1406|5700|PLN|ISHLEMB|10/25/2012|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000111191||Poland|7267000|1783|7228|PLN|ISHLEMB|10/8/2018|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000111720||Poland|8322000|1990|8066|PLN|ISHLEMB|5/13/2019|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000112728||Poland|5675000|1280|5191|PLN|ISHLEMB|5/11/2020|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000108197||Poland|8853000|2175|8819|PLN|ISHLEMB|6/9/2014|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000108866||Poland|11223000|2639|10698|PLN|ISHLEMB|9/14/2015|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000113460||Poland|6490000|1348|5463|PLN|ISHLEMB|2/22/2021|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000109427||Poland|5720000|1326|5375|PLN|ISHLEMB|10/10/2016|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000107611||Poland|7455000|1769|7171|PLN|ISHLEMB|5/20/2013|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000111498||Poland|10680000|2472|10022|PLN|ISHLEMB|2/11/2019|
12/30/2021|POLAND (REPUBLIC OF)|POLGB|PL0000112736||Poland|8163000|1663|6742|PLN|ISHLEMB|5/11/2020|
12/30/2021|PLN CASH|PLN|||Poland|453896|112|454|PLN|ISHLEMB|1/1/1990|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000403266||Hungary|260890000|794|259153|HUF|ISHLEMB|1/11/2017|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000404280||Hungary|293560000|875|285562|HUF|ISHLEMB|4/15/2020|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000402383||Hungary|368890000|1176|383940|HUF|ISHLEMB|1/10/2007|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000403068||Hungary|388310000|1178|384351|HUF|ISHLEMB|3/18/2015|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000403571||Hungary|421210000|1242|405479|HUF|ISHLEMB|6/27/2018|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000402748||Hungary|491850000|1612|526220|HUF|ISHLEMB|1/15/2014|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000404058||Hungary|651500000|1778|580182|HUF|ISHLEMB|11/13/2019|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000404611||Hungary|631240000|1746|569688|HUF|ISHLEMB|9/2/2020|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000404934||Hungary|379930000|1035|337645|HUF|ISHLEMB|2/24/2021|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000403340||Hungary|460210000|1313|428402|HUF|ISHLEMB|5/24/2017|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000403118||Hungary|545910000|1563|510131|HUF|ISHLEMB|1/13/2016|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000402532||Hungary|293660000|1030|336142|HUF|ISHLEMB|3/2/2011|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000404603||Hungary|398420000|1048|342008|HUF|ISHLEMB|6/24/2020|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000403696||Hungary|518860000|1439|469536|HUF|ISHLEMB|2/20/2019|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000403001||Hungary|716380000|2003|653517|HUF|ISHLEMB|4/22/2015|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000404744||Hungary|500730000|1264|412370|HUF|ISHLEMB|10/28/2020|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000403555||Hungary|313800000|782|255308|HUF|ISHLEMB|2/7/2018|
12/30/2021|HUNGARY (REPUBLIC OF)|HGB|HU0000404165||Hungary|294770000|730|238385|HUF|ISHLEMB|1/22/2020|
12/30/2021|HUF CASH|HUF|||Hungary|38122873|117|38123|HUF|ISHLEMB|1/1/1990|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT170822T15||Turkey|20563000|1549|20180|TRY|ISHLEMB|8/23/2017|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT140922T17||Turkey|13128405|955|12439|TRY|ISHLEMB|9/26/2012|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT180123T10||Turkey|32828000|2443|31820|TRY|ISHLEMB|1/24/2018|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT080323T10||Turkey|22850000|1534|19983|TRY|ISHLEMB|3/20/2013|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT140623T19||Turkey|32315000|2326|30301|TRY|ISHLEMB|6/20/2018|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT200324T13||Turkey|13481000|842|10971|TRY|ISHLEMB|4/2/2014|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT240724T15||Turkey|25811401|1528|19909|TRY|ISHLEMB|8/6/2014|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT120325T12||Turkey|19866046|1050|13674|TRY|ISHLEMB|3/25/2015|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT011025T16||Turkey|60288000|3529|45965|TRY|ISHLEMB|10/7/2020|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT110226T13||Turkey|35337000|1899|24737|TRY|ISHLEMB|2/24/2016|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT240227T17||Turkey|14952457|756|9843|TRY|ISHLEMB|3/8/2017|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT110827T16||Turkey|28065000|1358|17685|TRY|ISHLEMB|8/23/2017|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT080328T15||Turkey|9151000|471|6141|TRY|ISHLEMB|3/21/2018|
12/30/2021|TURKEY (REPUBLIC OF)|TURKGB|TRT131130T14||Turkey|46342000|2082|27113|TRY|ISHLEMB|11/25/2020|
12/30/2021|TRY CASH|TRY|||Turkey|3960780|304|3961|TRY|ISHLEMB|1/1/1990|
12/30/2021|MEXICO (UNITED MEXICAN STATES)|MBONO|MX0MGO000151||Mexico|488043|2483|50888|MXN|ISHLEMB|3/15/2019|
12/30/2021|MEXICO (UNITED MEXICAN STATES)|MBONO|MX0MGO0000D8||Mexico|455509|2241|45935|MXN|ISHLEMB|1/18/2007|
12/30/2021|MEXICO (UNITED MEXICAN STATES)|MBONO|MX0MGO0000B2||Mexico|102229|603|12365|MXN|ISHLEMB|10/26/2006|
12/30/2021|MEXICO (UNITED MEXICAN STATES)|MBONO|MX0MGO000003||Mexico|428155|2129|43631|MXN|ISHLEMB|10/30/2003|
