STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
LQDB,2021-12-31,WORST,2022-01-06,40746.667,4118067.093,4158813.760
LQDB,2021-12-31,WORST,2022-01-10,24207.333,0.000,24207.333
LQDB,2021-12-31,WORST,2022-01-12,2633.333,0.000,2633.333
LQDB,2021-12-31,WORST,2022-01-13,1791.667,0.000,1791.667
LQDB,2021-12-31,WORST,2022-01-18,120674.065,0.000,120674.065
LQDB,2021-12-31,WORST,2022-01-20,5166.667,0.000,5166.667
LQDB,2021-12-31,WORST,2022-01-24,19677.333,0.000,19677.333
LQDB,2021-12-31,WORST,2022-01-25,5369.733,0.000,5369.733
LQDB,2021-12-31,WORST,2022-01-31,9808.333,0.000,9808.333
LQDB,2021-12-31,WORST,2022-02-01,37991.806,0.000,37991.806
LQDB,2021-12-31,WORST,2022-02-04,10951.667,0.000,10951.667
LQDB,2021-12-31,WORST,2022-02-07,4133.333,0.000,4133.333
LQDB,2021-12-31,WORST,2022-02-09,7366.667,0.000,7366.667
LQDB,2021-12-31,WORST,2022-02-11,1630.833,0.000,1630.833
LQDB,2021-12-31,WORST,2022-02-14,19600.000,0.000,19600.000
LQDB,2021-12-31,WORST,2022-02-15,128773.423,0.000,128773.423
LQDB,2021-12-31,WORST,2022-02-18,15283.333,0.000,15283.333
LQDB,2021-12-31,WORST,2022-02-22,11407.333,0.000,11407.333
LQDB,2021-12-31,WORST,2022-02-23,3066.667,0.000,3066.667
LQDB,2021-12-31,WORST,2022-02-25,1533.333,0.000,1533.333
LQDB,2021-12-31,WORST,2022-02-28,3075.000,0.000,3075.000
LQDB,2021-12-31,WORST,2022-03-01,49601.000,0.000,49601.000
LQDB,2021-12-31,WORST,2022-03-02,2920.000,0.000,2920.000
LQDB,2021-12-31,WORST,2022-03-03,1350.000,0.000,1350.000
LQDB,2021-12-31,WORST,2022-03-04,3200.000,0.000,3200.000
LQDB,2021-12-31,WORST,2022-03-07,5485.000,0.000,5485.000
LQDB,2021-12-31,WORST,2022-03-09,1500.000,0.000,1500.000
LQDB,2021-12-31,WORST,2022-03-10,5378.667,0.000,5378.667
LQDB,2021-12-31,WORST,2022-03-11,2291.667,0.000,2291.667
LQDB,2021-12-31,WORST,2022-03-14,2991.667,0.000,2991.667
LQDB,2021-12-31,WORST,2022-03-15,152235.384,0.000,152235.384
LQDB,2021-12-31,WORST,2022-03-16,7966.667,0.000,7966.667
LQDB,2021-12-31,WORST,2022-03-17,1946.667,0.000,1946.667
LQDB,2021-12-31,WORST,2022-03-21,23434.333,0.000,23434.333
LQDB,2021-12-31,WORST,2022-03-22,28504.667,0.000,28504.667
LQDB,2021-12-31,WORST,2022-03-24,6933.333,0.000,6933.333
LQDB,2021-12-31,WORST,2022-03-25,51552.667,0.000,51552.667
LQDB,2021-12-31,WORST,2022-03-28,3206.667,0.000,3206.667
LQDB,2021-12-31,WORST,2022-03-29,6683.333,0.000,6683.333
LQDB,2021-12-31,WORST,2022-04-01,60172.667,0.000,60172.667
LQDB,2021-12-31,WORST,2022-04-04,9000.000,0.000,9000.000
LQDB,2021-12-31,WORST,2022-04-05,3788.500,0.000,3788.500
LQDB,2021-12-31,WORST,2022-04-11,5133.333,0.000,5133.333
LQDB,2021-12-31,WORST,2022-04-12,666.667,0.000,666.667
LQDB,2021-12-31,WORST,2022-04-14,677.333,0.000,677.333
LQDB,2021-12-31,WORST,2022-04-15,74156.108,0.000,74156.108
LQDB,2021-12-31,WORST,2022-04-18,13850.000,0.000,13850.000
LQDB,2021-12-31,WORST,2022-04-19,7691.667,0.000,7691.667
LQDB,2021-12-31,WORST,2022-04-20,1666.667,0.000,1666.667
LQDB,2021-12-31,WORST,2022-04-21,5666.667,0.000,5666.667
LQDB,2021-12-31,WORST,2022-04-25,14568.000,0.000,14568.000
LQDB,2021-12-31,WORST,2022-04-28,541.667,0.000,541.667
LQDB,2021-12-31,WORST,2022-04-29,5850.000,0.000,5850.000
LQDB,2021-12-31,WORST,2022-05-02,82556.300,0.000,82556.300
LQDB,2021-12-31,WORST,2022-05-04,2000.000,0.000,2000.000
LQDB,2021-12-31,WORST,2022-05-09,6501.667,0.000,6501.667
LQDB,2021-12-31,WORST,2022-05-10,1216.667,0.000,1216.667
LQDB,2021-12-31,WORST,2022-05-11,7475.000,0.000,7475.000
LQDB,2021-12-31,WORST,2022-05-13,2300.000,0.000,2300.000
LQDB,2021-12-31,WORST,2022-05-16,176282.267,0.000,176282.267
LQDB,2021-12-31,WORST,2022-05-17,9800.000,0.000,9800.000
LQDB,2021-12-31,WORST,2022-05-18,5358.833,0.000,5358.833
LQDB,2021-12-31,WORST,2022-05-19,2833.333,0.000,2833.333
LQDB,2021-12-31,WORST,2022-05-20,1517.600,0.000,1517.600
LQDB,2021-12-31,WORST,2022-05-23,34825.000,0.000,34825.000
LQDB,2021-12-31,WORST,2022-05-24,14077.333,0.000,14077.333
LQDB,2021-12-31,WORST,2022-05-25,658.333,0.000,658.333
LQDB,2021-12-31,WORST,2022-05-26,6666.667,0.000,6666.667
LQDB,2021-12-31,WORST,2022-05-31,19038.333,0.000,19038.333
LQDB,2021-12-31,WORST,2022-06-01,87544.328,0.000,87544.328
LQDB,2021-12-31,WORST,2022-06-02,6900.000,0.000,6900.000
LQDB,2021-12-31,WORST,2022-06-06,7618.387,0.000,7618.387
LQDB,2021-12-31,WORST,2022-06-07,791.667,0.000,791.667
LQDB,2021-12-31,WORST,2022-06-09,1625.000,0.000,1625.000
LQDB,2021-12-31,WORST,2022-06-13,3608.333,0.000,3608.333
LQDB,2021-12-31,WORST,2022-06-14,3225.000,0.000,3225.000
LQDB,2021-12-31,WORST,2022-06-15,78833.722,0.000,78833.722
LQDB,2021-12-31,WORST,2022-06-17,2350.000,0.000,2350.000
LQDB,2021-12-31,WORST,2022-06-21,14843.333,0.000,14843.333
LQDB,2021-12-31,WORST,2022-06-22,6593.333,266666.667,273260.000
LQDB,2021-12-31,WORST,2022-06-23,3500.000,0.000,3500.000
LQDB,2021-12-31,WORST,2022-06-24,6066.667,0.000,6066.667
LQDB,2021-12-31,WORST,2022-06-30,10196.222,0.000,10196.222
LQDB,2021-12-31,WORST,2022-07-01,40746.667,0.000,40746.667
LQDB,2021-12-31,WORST,2022-07-08,15533.333,0.000,15533.333
LQDB,2021-12-31,WORST,2022-07-11,8674.000,0.000,8674.000
LQDB,2021-12-31,WORST,2022-07-12,2633.333,0.000,2633.333
LQDB,2021-12-31,WORST,2022-07-13,1791.667,0.000,1791.667
LQDB,2021-12-31,WORST,2022-07-15,108394.167,0.000,108394.167
LQDB,2021-12-31,WORST,2022-07-18,10533.333,0.000,10533.333
LQDB,2021-12-31,WORST,2022-07-19,2468.000,0.000,2468.000
LQDB,2021-12-31,WORST,2022-07-20,5166.667,0.000,5166.667
LQDB,2021-12-31,WORST,2022-07-22,5733.333,0.000,5733.333
LQDB,2021-12-31,WORST,2022-07-25,19313.733,0.000,19313.733
LQDB,2021-12-31,WORST,2022-07-29,1975.000,0.000,1975.000
LQDB,2021-12-31,WORST,2022-08-01,48041.667,0.000,48041.667
LQDB,2021-12-31,WORST,2022-08-04,10951.667,0.000,10951.667
LQDB,2021-12-31,WORST,2022-08-05,4133.333,0.000,4133.333
LQDB,2021-12-31,WORST,2022-08-09,7366.667,133333.333,140700.000
LQDB,2021-12-31,WORST,2022-08-11,1630.833,0.000,1630.833
LQDB,2021-12-31,WORST,2022-08-15,149454.200,0.000,149454.200
LQDB,2021-12-31,WORST,2022-08-18,15283.333,0.000,15283.333
LQDB,2021-12-31,WORST,2022-08-19,3120.000,0.000,3120.000
LQDB,2021-12-31,WORST,2022-08-22,8287.333,0.000,8287.333
LQDB,2021-12-31,WORST,2022-08-23,3066.667,0.000,3066.667
LQDB,2021-12-31,WORST,2022-08-25,1533.333,0.000,1533.333
LQDB,2021-12-31,WORST,2022-08-29,3075.000,0.000,3075.000
LQDB,2021-12-31,WORST,2022-09-01,49491.333,136166.667,185658.000
LQDB,2021-12-31,WORST,2022-09-02,2920.000,0.000,2920.000
LQDB,2021-12-31,WORST,2022-09-06,10035.000,0.000,10035.000
LQDB,2021-12-31,WORST,2022-09-09,1500.000,0.000,1500.000
LQDB,2021-12-31,WORST,2022-09-12,8476.512,0.000,8476.512
LQDB,2021-12-31,WORST,2022-09-13,2225.000,0.000,2225.000
LQDB,2021-12-31,WORST,2022-09-15,151808.833,0.000,151808.833
LQDB,2021-12-31,WORST,2022-09-16,7966.667,0.000,7966.667
LQDB,2021-12-31,WORST,2022-09-19,1946.667,0.000,1946.667
LQDB,2021-12-31,WORST,2022-09-20,8233.333,0.000,8233.333
LQDB,2021-12-31,WORST,2022-09-21,15201.000,0.000,15201.000
LQDB,2021-12-31,WORST,2022-09-22,28504.667,0.000,28504.667
LQDB,2021-12-31,WORST,2022-09-26,59652.667,0.000,59652.667
LQDB,2021-12-31,WORST,2022-09-28,2040.000,0.000,2040.000
LQDB,2021-12-31,WORST,2022-09-29,6683.333,0.000,6683.333
LQDB,2021-12-31,WORST,2022-10-03,69539.333,0.000,69539.333
LQDB,2021-12-31,WORST,2022-10-05,3788.500,0.000,3788.500
LQDB,2021-12-31,WORST,2022-10-11,5133.333,0.000,5133.333
LQDB,2021-12-31,WORST,2022-10-12,666.667,0.000,666.667
