ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
9/23/2020|US 2YR NOTE DEC 20|TUZ0|||United States|1|||USD|ISHLQDI|4/1/2020|
9/23/2020|US 5YR NOTE DEC 20|FVZ0|||United States|3|||USD|ISHLQDI|4/1/2020|
9/23/2020|US ULTRA 10YR NOTE DEC 20|UXYZ0|||United States|4|||USD|ISHLQDI|3/23/2020|
9/23/2020|US LONG BOND DEC 20|USZ0|||United States|1|||USD|ISHLQDI|3/23/2020|
9/23/2020|US ULTRA T-BOND DEC 20|WNZ0|||United States|1|||USD|ISHLQDI|3/23/2020|
9/23/2020|SWP: IFS 1.741500 20-AUG-2022|LCH|||United States|-10000|0|0|USD|ISHLQDI|8/18/2020|
9/23/2020|SWP: IFS 0.250000 03-APR-2023|LCH|||United States|-1463000|44|44|USD|ISHLQDI|4/20/2020|
9/23/2020|SWP: IFS 2.289000 15-MAY-2023|LCH|||United States|-2164000|-87|-87|USD|ISHLQDI|5/8/2018|
9/23/2020|SWP: IFS 1.745500 20-AUG-2023|LCH|||United States|-10000|0|0|USD|ISHLQDI|8/18/2020|
9/23/2020|SWP: IFS 1.805000 20-AUG-2025|LCH|||United States|-3400000|-1|-1|USD|ISHLQDI|8/18/2020|
9/23/2020|SWP: IFS 1.797500 20-AUG-2025|LCH|||United States|-10000|0|0|USD|ISHLQDI|8/18/2020|
9/23/2020|SWP: IFS 0.877000 09-APR-2027|LCH|||United States|-392000|21|21|USD|ISHLQDI|4/20/2020|
9/23/2020|SWP: IFS 2.367500 15-MAY-2028|LCH|||United States|-1775000|-133|-133|USD|ISHLQDI|5/8/2018|
9/23/2020|SWP: IFS 2.192500 03-DEC-2028|LCH|||United States|-2663000|-142|-142|USD|ISHLQDI|11/29/2018|
9/23/2020|SWP: IFS 1.896250 20-AUG-2030|LCH|||United States|-6400000|9|9|USD|ISHLQDI|8/18/2020|
9/23/2020|SWP: IFS 1.889000 20-AUG-2030|LCH|||United States|-10000|0|0|USD|ISHLQDI|8/18/2020|
9/23/2020|SWP: IFS 2.398500 15-MAY-2048|LCH|||United States|-362000|-80|-80|USD|ISHLQDI|5/8/2018|
9/23/2020|SWP: IFS 1.833750 18-OCT-2049|LCH|||United States|-418000|10|10|USD|ISHLQDI|10/15/2019|
9/23/2020|SWP: IFS 1.947500 20-AUG-2050|LCH|||United States|-400000|-0|-0|USD|ISHLQDI|8/18/2020|
9/23/2020|SWP: IFS 1.937500 20-AUG-2050|LCH|||United States|-10000|0|0|USD|ISHLQDI|8/18/2020|
9/23/2020|ISHARES IBOXX $ INV GRADE CORPORAT|LQD|US4642872422|464287242|United States|123109|16583|16583|USD|ISHLQDI|7/22/2002|
9/23/2020|USD CASH|USD|||United States|-16052|-16|-16|USD|ISHLQDI|1/1/1989|
9/23/2020|CASH COLLATERAL USD XCITI|XCITI|||United States|1194000|1194|1194|USD|ISHLQDI|12/1/2009|
9/23/2020|CASH COLLATERAL USD SALFT|SALFT|||United States|28000|28|28|USD|ISHLQDI|11/1/2006|
9/23/2020|DERIV USD BALANCE WITH R93546 LCH|DERIV_USD|||United States|354990|356|356|USD|ISHLQDI|1/1/2000|
9/23/2020|BLK CSH FND TREASURY SL AGENCY|XTSLA|US0669224778|066922477|United States|90000|90|90|USD|ISHLQDI|2/4/2009|
