ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|EQUINOR ASA|EQNR|US29446MAD48|29446MAD4|Norway|8505000|8940|8940|USD|ISHINTOP|4/6/2020|
12/30/2021|EQUINOR ASA|EQNR|US29446MAJ18|29446MAJ1|Norway|6087000|6180|6180|USD|ISHINTOP|5/22/2020|
12/30/2021|EQUINOR ASA|EQNR|US29446MAB81|29446MAB8|Norway|7859000|8726|8726|USD|ISHINTOP|9/10/2018|
12/30/2021|EQUINOR ASA|EQNR|US29446MAF95|29446MAF9|Norway|6366000|6890|6890|USD|ISHINTOP|4/6/2020|
12/30/2021|EQUINOR ASA|EQNR|US29446MAK80||Norway|6577000|6713|6713|USD|ISHINTOP|5/22/2020|
12/30/2021|EQUINOR ASA|EQNR|US85771PAC68||Norway|7426000|9889|9889|USD|ISHINTOP|8/17/2010|
12/30/2021|EQUINOR ASA|EQNR|US85771PAL67||Norway|8259000|9610|9610|USD|ISHINTOP|5/15/2013|
12/30/2021|EQUINOR ASA|EQNR|US85771PAQ54||Norway|4672000|6077|6077|USD|ISHINTOP|11/8/2013|
12/30/2021|EQUINOR ASA|EQNR|US29446MAC64|29446MAC6|Norway|8382000|8929|8929|USD|ISHINTOP|11/18/2019|
12/30/2021|EQUINOR ASA|EQNR|US29446MAH51|29446MAH5|Norway|10620000|12283|12283|USD|ISHINTOP|4/6/2020|
12/30/2021|AFLAC INCORPORATED|AFL|US001055BJ00|001055BJ0|United States|8031000|8949|8949|USD|ISHINTOP|4/1/2020|
12/30/2021|AMERICAN INTERNATIONAL GROUP INC|AIG|US026874DQ70|026874DQ7|United States|16428000|16941|16941|USD|ISHINTOP|5/11/2020|
12/30/2021|AMERICAN INTERNATIONAL GROUP INC|AIG|US026874DD67|026874DD6|United States|7196000|7833|7833|USD|ISHINTOP|7/10/2015|
