STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
MBB,2021-12-31,WORST,2022-01-06,0.000,417239.295,417239.295
MBB,2021-12-31,WORST,2022-01-15,20285.826,154735.064,175020.890
MBB,2021-12-31,WORST,2022-01-20,39224.178,332075.346,371299.520
MBB,2021-12-31,WORST,2022-01-25,140991.881,898180.869,1039172.724
MBB,2021-12-31,WORST,2022-02-15,20009.267,124048.651,144057.919
MBB,2021-12-31,WORST,2022-02-20,42812.671,294596.746,337409.413
MBB,2021-12-31,WORST,2022-02-25,166836.709,825316.452,992153.160
MBB,2021-12-31,WORST,2022-03-15,19649.961,118408.226,138058.188
MBB,2021-12-31,WORST,2022-03-20,42021.649,272166.793,314188.447
MBB,2021-12-31,WORST,2022-03-25,164808.234,810165.062,974973.315
MBB,2021-12-31,WORST,2022-04-15,19306.997,139524.784,158831.782
MBB,2021-12-31,WORST,2022-04-20,41291.526,318943.589,360235.097
MBB,2021-12-31,WORST,2022-04-25,162834.046,987695.717,1150529.738
MBB,2021-12-31,WORST,2022-05-15,18902.744,130987.869,149890.613
MBB,2021-12-31,WORST,2022-05-20,40448.751,307315.473,347764.207
MBB,2021-12-31,WORST,2022-05-25,160437.386,959450.021,1119887.425
MBB,2021-12-31,WORST,2022-06-15,18523.932,135428.042,153951.973
MBB,2021-12-31,WORST,2022-06-20,39645.272,328443.332,368088.607
MBB,2021-12-31,WORST,2022-06-25,158135.584,1021641.386,1179777.010
MBB,2021-12-31,WORST,2022-07-15,18131.741,141479.708,159611.450
MBB,2021-12-31,WORST,2022-07-20,38798.091,340828.033,379626.097
MBB,2021-12-31,WORST,2022-07-25,155705.501,1099155.609,1254861.055
MBB,2021-12-31,WORST,2022-08-15,17723.022,124469.881,142192.904
MBB,2021-12-31,WORST,2022-08-20,37924.249,308490.081,346414.302
MBB,2021-12-31,WORST,2022-08-25,153107.638,985240.798,1138348.425
MBB,2021-12-31,WORST,2022-09-15,17363.579,133533.411,150896.989
MBB,2021-12-31,WORST,2022-09-20,37139.105,331309.160,368448.264
MBB,2021-12-31,WORST,2022-09-25,150795.516,1080287.107,1231082.604
MBB,2021-12-31,WORST,2022-10-15,16977.944,115102.927,132080.874
MBB,2021-12-31,WORST,2022-10-20,36299.621,285177.389,321476.987
MBB,2021-12-31,WORST,2022-10-25,148267.168,941725.014,1089992.213
MBB,2021-12-31,WORST,2022-11-15,16644.607,107192.557,123837.162
MBB,2021-12-31,WORST,2022-11-20,35577.042,262144.765,297721.823
MBB,2021-12-31,WORST,2022-11-25,146069.944,889731.198,1035801.125
MBB,2021-12-31,WORST,2022-12-15,16335.111,103560.554,119895.666
MBB,2021-12-31,WORST,2022-12-20,34915.253,256677.049,291592.318
MBB,2021-12-31,WORST,2022-12-25,144005.547,873381.730,1017387.344
MBB,2021-12-31,WORST,2023-01-15,16035.759,107123.148,123158.907
MBB,2021-12-31,WORST,2023-01-20,34270.617,265115.806,299386.433
MBB,2021-12-31,WORST,2023-01-25,141984.867,912757.709,1054742.562
MBB,2021-12-31,WORST,2023-02-15,15725.921,94052.211,109778.126
MBB,2021-12-31,WORST,2023-02-20,33606.070,225723.036,259329.074
MBB,2021-12-31,WORST,2023-02-25,139878.565,805062.907,944941.562
MBB,2021-12-31,WORST,2023-03-15,15453.754,87903.684,103357.440
MBB,2021-12-31,WORST,2023-03-20,33040.089,215651.566,248691.637
MBB,2021-12-31,WORST,2023-03-25,138021.248,760280.357,898301.549
MBB,2021-12-31,WORST,2023-04-15,15199.630,104205.911,119405.543
MBB,2021-12-31,WORST,2023-04-20,32501.813,246977.265,279479.075
MBB,2021-12-31,WORST,2023-04-25,136277.814,931802.871,1068080.675
MBB,2021-12-31,WORST,2023-05-15,14898.561,95467.478,110366.040
MBB,2021-12-31,WORST,2023-05-20,31885.747,226784.007,258669.741
MBB,2021-12-31,WORST,2023-05-25,134151.819,867063.784,1001215.608
MBB,2021-12-31,WORST,2023-06-15,14623.247,106350.251,120973.495
MBB,2021-12-31,WORST,2023-06-20,31322.367,258132.920,289455.277
MBB,2021-12-31,WORST,2023-06-25,132188.501,990267.573,1122456.049
MBB,2021-12-31,WORST,2023-07-15,14316.516,107568.000,121884.518
MBB,2021-12-31,WORST,2023-07-20,30683.985,259781.697,290465.707
MBB,2021-12-31,WORST,2023-07-25,129958.381,1021341.888,1151300.289
MBB,2021-12-31,WORST,2023-08-15,14006.429,94820.060,108826.487
MBB,2021-12-31,WORST,2023-08-20,30043.728,230714.512,260758.260
MBB,2021-12-31,WORST,2023-08-25,127670.291,899134.144,1026804.434
MBB,2021-12-31,WORST,2023-09-15,13733.411,101326.028,115059.441
MBB,2021-12-31,WORST,2023-09-20,29476.555,250061.931,279538.497
MBB,2021-12-31,WORST,2023-09-25,125661.011,975830.336,1101491.377
MBB,2021-12-31,WORST,2023-10-15,13441.189,84677.324,98118.517
MBB,2021-12-31,WORST,2023-10-20,28863.654,207037.384,235901.044
MBB,2021-12-31,WORST,2023-10-25,123482.050,807726.595,931208.621
MBB,2021-12-31,WORST,2023-11-15,13196.816,84365.611,97562.426
MBB,2021-12-31,WORST,2023-11-20,28355.559,204753.036,233108.588
MBB,2021-12-31,WORST,2023-11-25,121677.634,811948.925,933626.589
MBB,2021-12-31,WORST,2023-12-15,12953.493,81527.479,94480.969
MBB,2021-12-31,WORST,2023-12-20,27854.382,199142.867,226997.245
MBB,2021-12-31,WORST,2023-12-25,119867.281,790932.948,910800.163
MBB,2021-12-31,WORST,2024-01-15,12718.130,76427.275,89145.409
MBB,2021-12-31,WORST,2024-01-20,27368.677,184391.319,211759.993
MBB,2021-12-31,WORST,2024-01-25,118104.674,740280.813,858385.439
MBB,2021-12-31,WORST,2024-02-15,12497.979,71703.592,84201.571
MBB,2021-12-31,WORST,2024-02-20,26919.320,167426.975,194346.249
MBB,2021-12-31,WORST,2024-02-25,116459.658,691234.722,807694.362
MBB,2021-12-31,WORST,2024-03-15,12291.115,69534.191,81825.305
MBB,2021-12-31,WORST,2024-03-20,26510.815,167079.165,193589.959
MBB,2021-12-31,WORST,2024-03-25,114917.356,674448.265,789365.589
MBB,2021-12-31,WORST,2024-04-15,12090.585,74669.578,86760.161
MBB,2021-12-31,WORST,2024-04-20,26104.897,172617.328,198722.237
MBB,2021-12-31,WORST,2024-04-25,113417.193,746926.012,860343.281
MBB,2021-12-31,WORST,2024-05-15,11875.684,77847.982,89723.663
MBB,2021-12-31,WORST,2024-05-20,25685.664,183139.761,208825.454
MBB,2021-12-31,WORST,2024-05-25,111766.795,793022.795,904789.611
MBB,2021-12-31,WORST,2024-06-15,11651.567,81050.796,92702.365
MBB,2021-12-31,WORST,2024-06-20,25242.181,193813.581,219055.779
MBB,2021-12-31,WORST,2024-06-25,110020.288,840986.597,951006.884
MBB,2021-12-31,WORST,2024-07-15,11418.462,76832.147,88250.606
MBB,2021-12-31,WORST,2024-07-20,24774.533,181463.946,206238.476
MBB,2021-12-31,WORST,2024-07-25,108177.707,803766.045,911943.698
MBB,2021-12-31,WORST,2024-08-15,11197.813,77558.847,88756.662
MBB,2021-12-31,WORST,2024-08-20,24337.433,186682.975,211020.414
MBB,2021-12-31,WORST,2024-08-25,106423.581,811652.012,918075.593
MBB,2021-12-31,WORST,2024-09-15,10974.868,75017.259,85992.128
MBB,2021-12-31,WORST,2024-09-20,23888.145,181113.541,205001.697
MBB,2021-12-31,WORST,2024-09-25,104651.041,787376.793,892027.838
MBB,2021-12-31,WORST,2024-10-15,10759.197,65193.138,75952.341
MBB,2021-12-31,WORST,2024-10-20,23453.011,155969.831,179422.844
MBB,2021-12-31,WORST,2024-10-25,102932.872,672574.655,775507.501
MBB,2021-12-31,WORST,2024-11-15,10571.580,66858.975,77430.553
MBB,2021-12-31,WORST,2024-11-20,23077.307,159788.440,182865.712
MBB,2021-12-31,WORST,2024-11-25,101461.670,694664.149,796125.824
MBB,2021-12-31,WORST,2024-12-15,10379.183,59116.085,69495.268
MBB,2021-12-31,WORST,2024-12-20,22693.034,140529.569,163222.593
MBB,2021-12-31,WORST,2024-12-25,99943.256,609772.623,709715.769
MBB,2021-12-31,WORST,2025-01-15,10209.204,61038.685,71247.892
MBB,2021-12-31,WORST,2025-01-20,22355.931,145933.318,168289.248
MBB,2021-12-31,WORST,2025-01-25,98611.358,632223.518,730834.851
MBB,2021-12-31,WORST,2025-02-15,10033.725,55684.983,65718.705
MBB,2021-12-31,WORST,2025-02-20,22005.936,128548.116,150554.041
MBB,2021-12-31,WORST,2025-02-25,97231.285,569754.210,666985.535
MBB,2021-12-31,WORST,2025-03-15,9873.530,52632.972,62506.501
MBB,2021-12-31,WORST,2025-03-20,21697.082,124805.564,146502.689
MBB,2021-12-31,WORST,2025-03-25,95982.915,538967.388,634950.350
MBB,2021-12-31,WORST,2025-04-15,9722.249,58031.190,67753.442
MBB,2021-12-31,WORST,2025-04-20,21398.407,134063.903,155462.306
MBB,2021-12-31,WORST,2025-04-25,94805.573,615220.520,710026.042
MBB,2021-12-31,WORST,2025-05-15,9555.612,60433.212,69988.823
MBB,2021-12-31,WORST,2025-05-20,21077.656,143404.014,164481.684
MBB,2021-12-31,WORST,2025-05-25,93468.980,652721.626,746190.599
MBB,2021-12-31,WORST,2025-06-15,9381.978,61086.216,70468.188
MBB,2021-12-31,WORST,2025-06-20,20735.867,147482.069,168217.941
MBB,2021-12-31,WORST,2025-06-25,92055.089,669979.206,762034.311
MBB,2021-12-31,WORST,2025-07-15,9206.640,61883.761,71090.399
MBB,2021-12-31,WORST,2025-07-20,20385.515,149311.296,169696.832
MBB,2021-12-31,WORST,2025-07-25,90610.771,688457.652,779068.446
MBB,2021-12-31,WORST,2025-08-15,9029.037,60434.113,69463.150
MBB,2021-12-31,WORST,2025-08-20,20031.354,148496.353,168527.689
MBB,2021-12-31,WORST,2025-08-25,89130.685,670434.608,759565.298
MBB,2021-12-31,WORST,2025-09-15,8855.515,56856.315,65711.835
MBB,2021-12-31,WORST,2025-09-20,19679.307,139906.402,159585.699
MBB,2021-12-31,WORST,2025-09-25,87688.778,630309.789,717998.552
MBB,2021-12-31,WORST,2025-10-15,8692.316,52792.885,61485.206
MBB,2021-12-31,WORST,2025-10-20,19348.082,129665.928,149013.997
MBB,2021-12-31,WORST,2025-10-25,86334.168,577597.903,663932.075
MBB,2021-12-31,WORST,2025-11-15,8540.510,52493.886,61034.396
MBB,2021-12-31,WORST,2025-11-20,19039.991,128795.486,147835.475
MBB,2021-12-31,WORST,2025-11-25,85088.896,576547.448,661636.397
MBB,2021-12-31,WORST,2025-12-15,8389.611,45371.397,53761.009
MBB,2021-12-31,WORST,2025-12-20,18734.481,109909.078,128643.534
MBB,2021-12-31,WORST,2025-12-25,83847.160,491246.907,575094.007
MBB,2021-12-31,WORST,2026-01-15,8259.400,49529.671,57789.063
MBB,2021-12-31,WORST,2026-01-20,18474.195,122391.487,140865.675
MBB,2021-12-31,WORST,2026-01-25,82789.843,543108.541,625898.323
MBB,2021-12-31,WORST,2026-02-15,8117.033,42956.048,51073.079
MBB,2021-12-31,WORST,2026-02-20,18184.452,101057.778,119242.231
MBB,2021-12-31,WORST,2026-02-25,81620.841,460625.531,542246.372
MBB,2021-12-31,WORST,2026-03-15,7993.657,41904.052,49897.711
MBB,2021-12-31,WORST,2026-03-20,17944.474,101640.647,119585.157
MBB,2021-12-31,WORST,2026-03-25,80626.553,450618.922,531245.550
MBB,2021-12-31,WORST,2026-04-15,7873.312,47317.574,55190.884
MBB,2021-12-31,WORST,2026-04-20,17703.990,112923.903,130627.893
MBB,2021-12-31,WORST,2026-04-25,79655.793,529821.372,609477.111
MBB,2021-12-31,WORST,2026-05-15,7737.346,47948.503,55685.849
MBB,2021-12-31,WORST,2026-05-20,17437.062,117208.149,134645.220
MBB,2021-12-31,WORST,2026-05-25,78520.029,544988.872,623508.918
MBB,2021-12-31,WORST,2026-06-15,7599.525,47109.808,54709.333
MBB,2021-12-31,WORST,2026-06-20,17161.233,116279.227,133440.432
MBB,2021-12-31,WORST,2026-06-25,77354.845,541718.992,619073.803
MBB,2021-12-31,WORST,2026-07-15,7464.265,50708.840,58173.102
MBB,2021-12-31,WORST,2026-07-20,16888.244,126282.161,143170.412
MBB,2021-12-31,WORST,2026-07-25,76201.833,595334.551,671536.331
MBB,2021-12-31,WORST,2026-08-15,7318.472,49415.399,56733.869
MBB,2021-12-31,WORST,2026-08-20,16592.188,125107.985,141700.172
MBB,2021-12-31,WORST,2026-08-25,74937.278,578044.974,652982.291
MBB,2021-12-31,WORST,2026-09-15,7176.319,45305.626,52481.948
MBB,2021-12-31,WORST,2026-09-20,16298.913,114046.483,130345.386
MBB,2021-12-31,WORST,2026-09-25,73708.917,526887.145,600596.076
MBB,2021-12-31,WORST,2026-10-15,7046.074,42194.341,49240.414
MBB,2021-12-31,WORST,2026-10-20,16031.722,105383.437,121415.146
MBB,2021-12-31,WORST,2026-10-25,72589.973,482893.952,555484.017
MBB,2021-12-31,WORST,2026-11-15,6924.577,40750.501,47675.077
MBB,2021-12-31,WORST,2026-11-20,15783.728,101422.840,117206.546
MBB,2021-12-31,WORST,2026-11-25,71561.282,467114.274,538675.513
MBB,2021-12-31,WORST,2026-12-15,6807.299,37445.435,44252.731
MBB,2021-12-31,WORST,2026-12-20,15545.290,92937.128,108482.441
MBB,2021-12-31,WORST,2026-12-25,70567.278,426383.766,496951.095
MBB,2021-12-31,WORST,2027-01-15,6699.528,39392.846,46092.380
MBB,2021-12-31,WORST,2027-01-20,15327.244,99578.716,114905.953
MBB,2021-12-31,WORST,2027-01-25,69659.604,453799.815,523459.372
MBB,2021-12-31,WORST,2027-02-15,6586.014,33457.870,40043.887
MBB,2021-12-31,WORST,2027-02-20,15093.611,79693.660,94787.270
MBB,2021-12-31,WORST,2027-02-25,68693.947,374477.112,443171.066
MBB,2021-12-31,WORST,2027-03-15,6489.737,33553.520,40043.256
MBB,2021-12-31,WORST,2027-03-20,14905.858,83003.722,97909.586
MBB,2021-12-31,WORST,2027-03-25,67895.047,378365.543,446260.498
MBB,2021-12-31,WORST,2027-04-15,6393.098,38606.426,44999.525
MBB,2021-12-31,WORST,2027-04-20,14711.044,95348.325,110059.358
MBB,2021-12-31,WORST,2027-04-25,67088.706,457178.797,524267.546
MBB,2021-12-31,WORST,2027-05-15,6281.740,38107.812,44389.553
MBB,2021-12-31,WORST,2027-05-20,14487.830,96080.146,110567.979
MBB,2021-12-31,WORST,2027-05-25,66118.815,457185.160,523304.012
MBB,2021-12-31,WORST,2027-06-15,6171.796,37442.162,43613.953
MBB,2021-12-31,WORST,2027-06-20,14263.815,95468.698,109732.532
MBB,2021-12-31,WORST,2027-06-25,65151.526,455511.683,520663.267
MBB,2021-12-31,WORST,2027-07-15,6063.790,40179.402,46243.191
MBB,2021-12-31,WORST,2027-07-20,14041.759,103610.240,117651.977
MBB,2021-12-31,WORST,2027-07-25,64191.510,500445.845,564637.346
MBB,2021-12-31,WORST,2027-08-15,5947.702,37946.344,43894.044
MBB,2021-12-31,WORST,2027-08-20,13801.047,99329.077,113130.126
MBB,2021-12-31,WORST,2027-08-25,63138.834,470939.144,534077.956
MBB,2021-12-31,WORST,2027-09-15,5837.923,36877.048,42714.970
MBB,2021-12-31,WORST,2027-09-20,13570.148,97094.234,110664.384
MBB,2021-12-31,WORST,2027-09-25,62147.800,457780.146,519927.909
MBB,2021-12-31,WORST,2027-10-15,5731.194,33517.940,39249.131
MBB,2021-12-31,WORST,2027-10-20,13344.732,86604.251,99948.990
MBB,2021-12-31,WORST,2027-10-25,61184.633,406863.561,468048.159
MBB,2021-12-31,WORST,2027-11-15,5634.109,31564.579,37198.686
MBB,2021-12-31,WORST,2027-11-20,13142.513,80732.327,93874.851
MBB,2021-12-31,WORST,2027-11-25,60325.932,381683.958,442009.909
MBB,2021-12-31,WORST,2027-12-15,5542.763,30797.634,36340.400
MBB,2021-12-31,WORST,2027-12-20,12954.123,79515.031,92469.152
MBB,2021-12-31,WORST,2027-12-25,59521.279,371962.087,431483.272
MBB,2021-12-31,WORST,2028-01-15,5453.567,32216.168,37669.733
MBB,2021-12-31,WORST,2028-01-20,12769.027,84714.290,97483.318
MBB,2021-12-31,WORST,2028-01-25,58736.241,393248.171,451984.381
MBB,2021-12-31,WORST,2028-02-15,5360.176,27534.067,32894.245
MBB,2021-12-31,WORST,2028-02-20,12571.858,68104.636,80676.476
MBB,2021-12-31,WORST,2028-02-25,57906.895,325940.611,383847.517
MBB,2021-12-31,WORST,2028-03-15,5280.442,27625.666,32906.107
MBB,2021-12-31,WORST,2028-03-20,12412.560,71053.173,83465.730
MBB,2021-12-31,WORST,2028-03-25,57217.397,329528.854,386746.193
MBB,2021-12-31,WORST,2028-04-15,5200.375,30836.555,36036.931
MBB,2021-12-31,WORST,2028-04-20,12247.104,78827.862,91074.969
MBB,2021-12-31,WORST,2028-04-25,56521.028,384931.184,441452.204
MBB,2021-12-31,WORST,2028-05-15,5110.940,28989.225,34100.162
MBB,2021-12-31,WORST,2028-05-20,12063.980,74431.345,86495.311
MBB,2021-12-31,WORST,2028-05-25,55711.486,362767.974,418479.416
MBB,2021-12-31,WORST,2028-06-15,5026.937,31795.023,36821.962
MBB,2021-12-31,WORST,2028-06-20,11891.622,84846.749,96738.377
MBB,2021-12-31,WORST,2028-06-25,54950.589,409998.209,464948.790
MBB,2021-12-31,WORST,2028-07-15,4934.690,32237.905,37172.593
MBB,2021-12-31,WORST,2028-07-20,11695.908,85764.097,97460.014
MBB,2021-12-31,WORST,2028-07-25,54093.250,421802.536,475895.760
MBB,2021-12-31,WORST,2028-08-15,4841.109,28998.893,33839.999
MBB,2021-12-31,WORST,2028-08-20,11498.197,76859.766,88357.971
MBB,2021-12-31,WORST,2028-08-25,53213.062,372870.679,426083.728
MBB,2021-12-31,WORST,2028-09-15,4756.986,30480.501,35237.487
MBB,2021-12-31,WORST,2028-09-20,11320.663,83221.274,94541.939
MBB,2021-12-31,WORST,2028-09-25,52434.572,398249.287,450683.793
MBB,2021-12-31,WORST,2028-10-15,4668.398,26421.596,31089.995
MBB,2021-12-31,WORST,2028-10-20,11128.945,69543.033,80671.960
MBB,2021-12-31,WORST,2028-10-25,51602.901,333945.568,385548.572
MBB,2021-12-31,WORST,2028-11-15,4591.632,26166.140,30757.768
MBB,2021-12-31,WORST,2028-11-20,10967.617,69371.046,80338.671
MBB,2021-12-31,WORST,2028-11-25,50903.491,333035.037,383938.530
MBB,2021-12-31,WORST,2028-12-15,4515.564,25562.045,30077.608
MBB,2021-12-31,WORST,2028-12-20,10806.899,68358.331,79165.219
MBB,2021-12-31,WORST,2028-12-25,50206.448,324624.321,374830.726
MBB,2021-12-31,WORST,2029-01-15,4441.210,24189.243,28630.453
MBB,2021-12-31,WORST,2029-01-20,10648.901,64121.876,74770.771
MBB,2021-12-31,WORST,2029-01-25,49526.229,305184.694,354710.882
MBB,2021-12-31,WORST,2029-02-15,4370.890,22883.576,27254.460
MBB,2021-12-31,WORST,2029-02-20,10500.383,58573.692,69074.077
MBB,2021-12-31,WORST,2029-02-25,48887.338,284347.549,333234.844
MBB,2021-12-31,WORST,2029-03-15,4304.336,21937.251,26241.588
MBB,2021-12-31,WORST,2029-03-20,10364.308,57450.200,67814.528
MBB,2021-12-31,WORST,2029-03-25,48289.972,271806.025,320095.925
MBB,2021-12-31,WORST,2029-04-15,4240.542,24334.756,28575.300
MBB,2021-12-31,WORST,2029-04-20,10231.248,63731.624,73962.873
MBB,2021-12-31,WORST,2029-04-25,47719.720,316375.424,364095.178
MBB,2021-12-31,WORST,2029-05-15,4169.686,24074.754,28244.439
MBB,2021-12-31,WORST,2029-05-20,10084.067,64242.622,74326.673
MBB,2021-12-31,WORST,2029-05-25,47058.784,316645.388,363704.192
MBB,2021-12-31,WORST,2029-06-15,4099.568,25634.544,29734.117
MBB,2021-12-31,WORST,2029-06-20,9936.289,70632.126,80568.429
MBB,2021-12-31,WORST,2029-06-25,46398.770,346096.278,392495.087
MBB,2021-12-31,WORST,2029-07-15,4024.831,25310.136,29334.965
MBB,2021-12-31,WORST,2029-07-20,9774.385,69037.517,78811.882
MBB,2021-12-31,WORST,2029-07-25,45679.477,344950.551,390629.934
MBB,2021-12-31,WORST,2029-08-15,3951.009,24060.299,28011.308
MBB,2021-12-31,WORST,2029-08-20,9616.104,66332.842,75948.951
MBB,2021-12-31,WORST,2029-08-25,44963.723,325208.623,370172.338
MBB,2021-12-31,WORST,2029-09-15,3880.801,24569.163,28449.966
