BlackRock Short Maturity Municipal Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Mar 03, 2015"
Shares Outstanding,"5,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"MISSISSIPPI BUSINESS FIN CORP","Cash and/or Derivatives","Cash","10,000,638.89","3.36","10,000,638.89","10,000,000.00","60528ABS2","US60528ABS24","-","100.00","United States","-","USD","0.00","0.12","1.00","Dec 01, 2030","0.12","0.00","-","0.12","0.00","0.12","USD","Sep 02, 2010","Sep 02, 2010"
"OREGON ST FACS AUTH REV","Cash and/or Derivatives","Cash","9,700,504.93","3.26","9,700,504.93","9,700,000.00","68608JXF3","US68608JXF38","-","100.00","United States","-","USD","0.00","0.07","1.00","Aug 01, 2034","0.07","0.00","-","0.07","0.00","0.07","USD","Oct 31, 2018","Oct 31, 2018"
"NORTH EAST INDEPENDENT SCHOOL DIST","Cash and/or Derivatives","Cash","8,900,440.88","2.99","8,900,440.88","8,900,000.00","65915DCF3","-","-","100.00","United States","-","USD","0.21","0.17","1.00","Mar 16, 2022","0.16","0.21","-","0.17","0.21","0.17","USD","Dec 16, 2021","Dec 16, 2021"
"NEW JERSEY ECONOMIC DEV AUTH R","State Tax-Backed","Fixed Income","8,650,628.48","2.91","8,650,628.48","7,600,000.00","64577B6H2","US64577B6H20","-","112.07","United States","-","USD","2.50","0.67","1.00","Sep 01, 2024","5.25","2.49","-","0.67","2.49","0.67","USD","Jun 05, 2019","Jun 05, 2019"
"NORTH DAKOTA ST HSG FIN AGY","Cash and/or Derivatives","Cash","7,915,000.00","2.66","7,915,000.00","7,915,000.00","658909JV9","US658909JV92","-","100.00","United States","-","USD","0.00","0.10","1.00","Jul 01, 2036","0.10","0.00","-","0.10","0.00","0.10","USD","Aug 13, 2020","Dec 08, 2015"
"METROPOLITAN WASH D C ARPTS AU 144A","Cash and/or Derivatives","Cash","6,136,657.29","2.06","6,136,657.29","6,135,000.00","88034UNN4","US88034UNN45","-","100.00","United States","-","USD","0.00","0.15","1.00","Oct 01, 2053","0.15","0.00","-","0.15","0.00","0.15","USD","Dec 19, 2019","Dec 19, 2019"
"TARRANT CNTY TEX CULTURAL ED FACS","Cash and/or Derivatives","Cash","6,100,340.93","2.05","6,100,340.93","6,100,000.00","87638QBE8","US87638QBE89","-","100.00","United States","-","USD","0.00","0.08","1.00","Oct 01, 2041","0.08","0.00","-","0.08","0.00","0.08","USD","Jul 01, 2015","Sep 04, 2008"
"MAIN STR NAT GAS INC GA GAS SU","Corporate Muni","Fixed Income","6,063,912.95","2.04","6,063,912.95","5,685,000.00","56035DAK8","US56035DAK81","-","105.33","United States","-","USD","1.61","0.77","1.00","Sep 01, 2023","4.00","1.60","-","0.77","1.60","0.77","USD","Feb 07, 2018","Feb 07, 2018"
"OHIO ST HIGHER EDL FAC COMMN","Cash and/or Derivatives","Cash","5,975,000.00","2.01","5,975,000.00","5,975,000.00","67756DWX0","US67756DWX01","-","100.00","United States","-","USD","0.00","0.07","1.00","Jan 01, 2039","0.07","0.00","-","0.07","0.00","0.07","USD","Oct 01, 2020","Oct 01, 2020"
"MAIN STR NAT GAS INC GA GAS SU","Corporate Muni","Fixed Income","5,065,911.10","1.70","5,065,911.10","5,000,000.00","56035DAX0","US56035DAX03","-","101.32","United States","-","USD","0.13","0.24","1.00","Dec 01, 2023","0.90","1.90","-","0.24","1.90","0.24","USD","May 11, 2018","May 11, 2018"
