ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|BLACKROCK LIQ MUNICASH CL INS MMF|MCSXX|US09248U8412|09248U841|United States|-1|-0|-0|USD|ISHMEAR|2/23/1984|
12/30/2021|PENNSYLVANIA ECONOMIC DEV FING|PASDEV|US708692BE79|708692BE7|United States|3285000|3285|3285|USD|ISHMEAR|1/3/2022|
12/30/2021|LOUISVILLE/JEFFERSON CNTY KY M|LOUENV|US546751AM07|546751AM0|United States|5000000|5000|5000|USD|ISHMEAR|4/26/2007|
12/30/2021|OREGON ST FACS AUTH REV|ORSFAC|US68608JXF38|68608JXF3|United States|9700000|9700|9700|USD|ISHMEAR|10/31/2018|
12/30/2021|NEW YORK N Y CITY TRANSITIONAL|NYCGEN|US64971XKU18|64971XKU1|United States|2300000|2300|2300|USD|ISHMEAR|8/16/2010|
12/30/2021|TARRANT CNTY TEX CULTURAL ED FACS|TAREDU|US87638QBE89|87638QBE8|United States|6100000|6100|6100|USD|ISHMEAR|9/4/2008|
12/30/2021|MONROE CNTY GA DEV AUTH POLLUT|MONPOL|US610530FS16|610530FS1|United States|3700000|3700|3700|USD|ISHMEAR|6/3/2010|
12/30/2021|NEW YORK N Y CITY MUN WTR FIN|NYCUTL|US64972GRG19|64972GRG1|United States|2000000|2000|2000|USD|ISHMEAR|7/10/2014|
12/30/2021|MEADE CNTY KY INDL BLDG REV|MEA|US583022AE86|583022AE8|United States|3700000|3700|3700|USD|ISHMEAR|8/4/2021|
12/30/2021|MEADE CNTY KY INDL BLDG REV|MEA|US583022AD04|583022AD0|United States|1500000|1500|1500|USD|ISHMEAR|8/4/2021|
12/30/2021|USD CASH|USD|||United States|1679607|1680|1680|USD|ISHMEAR|1/1/1989|
12/30/2021|NORTH CAROLINA TPK AUTH TRIANG|NCSTRN|US65830RBQ11|65830RBQ1|United States|215000|220|220|USD|ISHMEAR|12/12/2018|
12/30/2021|PUBLIC FIN AUTH WIS HEALTHCARE|WISFIN|US74444KAP93|74444KAP9|United States|200000|205|205|USD|ISHMEAR|7/23/2020|
12/30/2021|MUNICIPAL ELEC AUTH GA|MELPWR|US6262074K70|6262074K7|United States|3000000|3075|3075|USD|ISHMEAR|11/19/2020|
12/30/2021|MAIN STR NAT GAS INC GA GAS SU|MAIUTL|US56035DAX03|56035DAX0|United States|3000000|3041|3041|USD|ISHMEAR|5/11/2018|
12/30/2021|MAIN STR NAT GAS INC GA GAS SU|MAIUTL|US56035DAX03|56035DAX0|United States|2000000|2027|2027|USD|ISHMEAR|5/11/2018|
12/30/2021|DOUGLAS CNTY NEB EDL FACS REV|DOUEDU|US259226CZ98|259226CZ9|United States|2000000|2008|2008|USD|ISHMEAR|9/1/2021|
12/30/2021|NORTH FT BEND WTR AUTH TEX WTR 144A|NRFWTR|US88034R4U66|88034R4U6|United States|1500000|1500|1500|USD|ISHMEAR|10/2/2019|
12/30/2021|MONROE CNTY N Y INDL DEV CORP 144A|MONDEV|US88034W4Z46|88034W4Z4|United States|2000000|2001|2001|USD|ISHMEAR|9/16/2020|
