iShares 0-3 Month Treasury Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"May 26, 2020"
Shares Outstanding,"8,150,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","145,950,000.00","17.91","145,950,000.00","145,950,000.00","066922477","US0669224778","6922477","1.00","United States","-","USD","0.07","0.07","1.00","-","0.10","0.10","-","0.07","0.10","0.07","USD","-","Feb 04, 2009"
"TREASURY NOTE","Treasury","Fixed Income","121,350,099.23","14.89","121,350,099.23","119,878,000.00","9128285V8","US9128285V80","BJ7M2Q1","100.08","United States","-","USD","0.05","0.53","1.00","Jan 15, 2022","2.50","0.04","-","0.53","0.04","0.53","USD","Jan 15, 2019","Jan 15, 2019"
"TREASURY NOTE","Treasury","Fixed Income","121,292,444.73","14.88","121,292,444.73","120,190,000.00","912828V72","US912828V723","BDFFCZ9","100.14","United States","-","USD","0.08","0.24","1.00","Jan 31, 2022","1.88","0.08","-","0.24","0.08","0.24","USD","Jan 31, 2017","Jan 31, 2017"
"TREASURY BILL","Cash and/or Derivatives","Cash","120,640,587.14","14.80","120,640,587.14","120,643,000.00","912796Q93","US912796Q938","BP48509","100.00","United States","-","USD","0.09","0.02","1.00","Feb 01, 2022","0.00","0.09","-","0.02","0.09","0.02","USD","Oct 05, 2021","Oct 05, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","112,057,301.99","13.75","112,057,301.99","112,061,000.00","912796R84","US912796R845","BP08TF6","100.00","United States","-","USD","0.13","0.03","1.00","Feb 15, 2022","0.00","0.12","-","0.03","0.12","0.03","USD","Oct 19, 2021","Oct 19, 2021"
"TREASURY NOTE","Treasury","Fixed Income","110,937,066.91","13.61","110,937,066.91","110,000,000.00","912828J43","US912828J439","BVYY5G5","100.26","United States","-","USD","0.16","0.14","1.00","Feb 28, 2022","1.75","0.16","-","0.14","0.16","0.14","USD","Feb 28, 2015","Mar 02, 2015"
"TREASURY BILL","Cash and/or Derivatives","Cash","68,252,225.40","8.37","68,252,225.40","68,254,000.00","912796K99","US912796K998","BP83D17","100.00","United States","-","USD","0.09","0.03","1.00","Feb 03, 2022","0.00","0.09","-","0.03","0.09","0.03","USD","Aug 05, 2021","Aug 05, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","62,137,539.82","7.62","62,137,539.82","62,144,500.00","912796N21","US912796N216","BNBYGW5","99.99","United States","-","USD","0.21","0.05","1.00","Mar 17, 2022","0.00","0.21","-","0.05","0.21","0.05","USD","Sep 16, 2021","Sep 16, 2021"
"UNITED STATES TREASURY","Cash and/or Derivatives","Cash","59,508,274.21","7.30","59,508,274.21","59,510,000.00","912796R76","US912796R761","BLR7GZ7","100.00","United States","-","USD","0.11","0.03","1.00","Feb 08, 2022","0.00","0.11","-","0.03","0.11","0.03","USD","Oct 12, 2021","Oct 12, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","19,998,900.00","2.45","19,998,900.00","20,000,000.00","912796S26","US912796S264","BLN7VD4","99.99","United States","-","USD","0.16","0.03","1.00","Mar 01, 2022","0.00","0.17","-","0.03","0.17","0.03","USD","Nov 02, 2021","Nov 02, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","7,128,443.94","0.87","7,128,443.94","7,129,000.00","912796M97","US912796M978","BLHM447","99.99","United States","-","USD","0.19","0.04","1.00","Mar 10, 2022","0.00","0.19","-","0.04","0.19","0.04","USD","Sep 09, 2021","Sep 09, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","2,199,975.80","0.27","2,199,975.80","2,200,000.00","912796Q85","US912796Q854","BNM3HV7","100.00","United States","-","USD","0.07","0.02","1.00","Jan 25, 2022","0.00","0.07","-","0.02","0.07","0.02","USD","Sep 28, 2021","Sep 28, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","731,995.61","0.09","731,995.61","732,000.00","912796Q77","US912796Q771","-","100.00","United States","-","USD","0.05","0.01","1.00","Jan 18, 2022","0.00","0.05","-","0.01","0.05","0.01","USD","Sep 21, 2021","Sep 21, 2021"
"TREASURY BILL","Cash and/or Derivatives","Cash","53,999.95","0.01","53,999.95","54,000.00","912796Q69","US912796Q698","BMG8X80","100.00","United States","-","USD","0.03","0.00","1.00","Jan 11, 2022","0.00","0.03","-","0.00","0.03","0.00","USD","Sep 14, 2021","Sep 14, 2021"
"USD CASH","Cash and/or Derivatives","Cash","-137,136,063.12","-16.82","-137,136,063.12","-137,136,063.00","-","-","-","100.00","United States","-","USD","0.00","0.10","1.00","-","0.00","0.00","-","0.10","0.00","0.10","USD","-","Jan 01, 1989"
 
"The content contained herein is owned or licensed by BlackRock and/or its third-party information providers and is protected by applicable copyrights, trademarks, service marks, and/or other intellectual property rights. Such content is solely for your personal, non-commercial use. Accordingly, you may not copy, distribute, modify, post, frame or deep link this content. You may download material displayed on this Website for your personal use provided you also retain all copyright and other proprietary notices contained on the materials. Modification or use of the materials for any other purpose violates BlackRock's intellectual property rights.
Holdings subject to change. See www.iShares.com for the most recent funds holdings.
The values for “price” shown herein generally represent a price provided by a third-party pricing vendor for the portfolio holding and do not reflect the impact of systematic fair valuation (“the vendor price”). The vendor price is not necessarily the price at which the Fund values the portfolio holding for the purposes of determining its net asset value (the “valuation price”). Additionally, where applicable, foreign currency exchange rates with respect to the portfolio holdings denominated in non-U.S. currencies for the valuation price will be generally determined as of the close of business on the New York Stock Exchange, whereas for the vendor price will be generally determined as of 4 p.m. London. The values shown herein for “market value,” “weight,” and “notional value” (the “calculated values”) are based off of the vendor price and may have been different if the valuation price were to have been used to calculate such values. The vendor price is as of the most recent practicable date and may not necessarily be as of the date shown above.
Please see the “Determination of Net Asset Value” section of each Fund’s prospectus for additional information on the Fund’s valuation policies and procedures.
CAREFULLY CONSIDER THE FUNDS' INVESTMENT OBJECTIVES, RISK FACTORS, AND CHARGES AND EXPENSES BEFORE INVESTING. THIS AND OTHER INFORMATION CAN BE FOUND IN THE FUNDS' PROSPECTUSES OR, IF AVAILABLE, THE SUMMARY PROSPECTUSES WHICH MAY BE OBTAINED BY VISITING WWW.ISHARES.COM OR WWW.BLACKROCK.COM. READ THE PROSPECTUS CAREFULLY VEFORE INVESTING. INVESTING INVOLVES RISK, INCLUDING POSSIBLE LOSS OF PRINCIPAL.
This information should not be relied upon as research, investment advice, or a recommendation regarding any products, strategies, or any security in particular.
This material is strictly for illustrative, educational, or informational purposes and is subject to change.
The iShares Funds are distributed by BlackRock Investments, LLC (together with its affiliates, “BlackRock”).
The iShares Funds are not sponsored, endorsed, issued, sold or promoted by Barclays, Bloomberg Finance L.P., BlackRock Index Services, LLC, Cohen & Steers Capital Management, Inc., European Public Real Estate Association (“EPRA® ”), FTSE International Limited (“FTSE”), ICE Data Services, LLC, India Index Services & Products Limited, JPMorgan Chase & Co., Japan Exchange Group, MSCI Inc., Markit Indices Limited, Morningstar, Inc., The NASDAQ OMX Group, Inc., National Association of Real Estate Investment Trusts (“NAREIT”), New York Stock Exchange, Inc., Russell or S&P Dow Jones Indices LLC. None of these companies make any representation regarding the advisability of investing in the Funds. With the exception of BlackRock Index Services, LLC, who is an affiliate, BlackRock Investments, LLC is not affiliated with the companies listed above. Neither FTSE nor NAREIT makes any warranty regarding the FTSE NAREIT Equity REITS Index, FTSE NAREIT All Residential Capped Index or FTSE NAREIT All Mortgage Capped Index; all rights vest in NAREIT. Neither FTSE nor NAREIT makes any warranty regarding the FTSE EPRA/NAREIT Developed Real Estate ex-U.S. Index, FTSE EPRA/NAREIT Developed Europe Index or FTSE EPRA/NAREIT Global REIT Index; all rights vest in FTSE, NAREIT and EPRA.“FTSE®” is a trademark of London Stock Exchange Group companies and is used by FTSE under license.
©2021 BlackRock, Inc. All rights reserved. iSHARES and BLACKROCK are registered trademarks of BlackRock, Inc., or its subsidiaries. All other marks are the property of their respective owners.
ICRMH0421U/S-1620308"
