ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|TREASURY NOTE|TNOTE|US912828U816|912828U81|United States|779000|787|787|USD|ISHTSHT|1/3/2017|
12/30/2021|TREASURY NOTE|TNOTE|US9128285V80|9128285V8|United States|462978000|468856|468856|USD|ISHTSHT|1/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828V723|912828V72|United States|65154000|65772|65772|USD|ISHTSHT|1/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US9128286C90|9128286C9|United States|226942000|229810|229810|USD|ISHTSHT|2/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828J439|912828J43|United States|5685000|5735|5735|USD|ISHTSHT|3/2/2015|
12/30/2021|TREASURY NOTE|TNOTE|US912828W895|912828W89|United States|108912000|109928|109928|USD|ISHTSHT|3/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US9128286M72|9128286M7|United States|453722000|458770|458770|USD|ISHTSHT|4/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828X471|912828X47|United States|794363000|801639|801639|USD|ISHTSHT|5/1/2017|
12/30/2021|TREASURY NOTE|TNOTE|US9128286U98|9128286U9|United States|1120569000|1132065|1132065|USD|ISHTSHT|5/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828SV33|912828SV3|United States|4711000|4750|4750|USD|ISHTSHT|5/15/2012|
12/30/2021|TREASURY NOTE|TNOTE|US912828XR65|912828XR6|United States|575657000|580443|580443|USD|ISHTSHT|5/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828XD79|912828XD7|United States|2108000|2127|2127|USD|ISHTSHT|6/1/2015|
12/30/2021|TREASURY NOTE|TNOTE|US912828XG01|912828XG0|United States|487136000|491979|491979|USD|ISHTSHT|6/30/2015|
12/30/2021|TREASURY NOTE|TNOTE|US912828XW50|912828XW5|United States|3766000|3828|3828|USD|ISHTSHT|6/30/2017|
12/30/2021|TREASURY NOTE|TNOTE|US9128287C81|9128287C8|United States|862594000|876793|876793|USD|ISHTSHT|7/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US9128282P40|9128282P4|United States|460680000|468714|468714|USD|ISHTSHT|7/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828XQ82|912828XQ8|United States|2300000|2343|2343|USD|ISHTSHT|7/31/2015|
12/30/2021|TREASURY NOTE|TNOTE|US912828YA22|912828YA2|United States|27244000|27612|27612|USD|ISHTSHT|8/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAG69|91282CAG6|United States|126982000|126928|126928|USD|ISHTSHT|8/31/2020|
12/30/2021|TREASURY NOTE|TNOTE|US912828L245|912828L24|United States|314924000|320358|320358|USD|ISHTSHT|8/31/2015|
12/30/2021|TREASURY NOTE|TNOTE|US9128282S88|9128282S8|United States|226012000|229328|229328|USD|ISHTSHT|8/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAN11|91282CAN1|United States|183420000|183272|183272|USD|ISHTSHT|9/30/2020|
12/30/2021|TREASURY NOTE|TNOTE|US912828L575|912828L57|United States|118719000|120574|120574|USD|ISHTSHT|9/30/2015|
12/30/2021|TREASURY NOTE|TNOTE|US9128282W90|9128282W9|United States|437808000|445149|445149|USD|ISHTSHT|10/2/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828YK04|912828YK0|United States|305979000|309461|309461|USD|ISHTSHT|10/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828M490|912828M49|United States|137238000|139457|139457|USD|ISHTSHT|11/2/2015|
12/30/2021|TREASURY NOTE|TNOTE|US91282CAR25|91282CAR2|United States|740000|739|739|USD|ISHTSHT|11/2/2020|
12/30/2021|TREASURY NOTE|TNOTE|US9128283C28|9128283C2|United States|170473000|173446|173446|USD|ISHTSHT|10/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828TY62|912828TY6|United States|40174000|40705|40705|USD|ISHTSHT|11/15/2012|
12/30/2021|TREASURY NOTE|TNOTE|US91282CBD20|91282CBD2|United States|292198000|291356|291356|USD|ISHTSHT|12/31/2020|
12/30/2021|USD CASH|USD|||United States|-474672024|-474672|-474672|USD|ISHTSHT|1/1/1989|
12/30/2021|TREASURY BILL|TBILL|US912796H440|912796H44|United States|715900000|715644|715644|USD|ISHTSHT|5/20/2021|
12/30/2021|TREASURY BILL|TBILL|US912796Y940|912796Y94|United States|243054000|243054|243054|USD|ISHTSHT|11/26/2021|
12/30/2021|UNITED STATES TREASURY|TBILL|US912796R761|912796R76|United States|16925000|16925|16925|USD|ISHTSHT|10/12/2021|
12/30/2021|TREASURY BILL|TBILL|US912796N216|912796N21|United States|1705317000|1705150|1705150|USD|ISHTSHT|9/16/2021|
12/30/2021|TREASURY BILL|TBILL|US912796Q698|912796Q69|United States|360000|360|360|USD|ISHTSHT|9/14/2021|
12/30/2021|TREASURY BILL|TBILL|US912796M978|912796M97|United States|1315000000|1314880|1314880|USD|ISHTSHT|9/9/2021|
12/30/2021|TREASURY BILL|TBILL|US912796Q854|912796Q85|United States|10890000|10890|10890|USD|ISHTSHT|9/28/2021|
12/30/2021|TREASURY BILL|TBILL|US912796Q771|912796Q77|United States|16000|16|16|USD|ISHTSHT|9/21/2021|
12/30/2021|TREASURY BILL|TBILL|US912796Q938|912796Q93|United States|730486000|730471|730471|USD|ISHTSHT|10/5/2021|
12/30/2021|TREASURY BILL|TBILL|US912796S264|912796S26|United States|480000000|479976|479976|USD|ISHTSHT|11/2/2021|
12/30/2021|BLK CSH FND TREASURY SL AGENCY|XTSLA|US0669224778|066922477|United States|226990000|226990|226990|USD|ISHTSHT|2/4/2009|
