ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|CDW LLC / CDW FINANCE CORP|CDWC|US12513GBA67||United States|5380000|5900|5900|USD|ISHSHYG|12/1/2014|
12/30/2021|CDW LLC|CDWC|US12513GBE89|12513GBE8|United States|5343000|5539|5539|USD|ISHSHYG|4/21/2020|
12/30/2021|CDW LLC|CDWC|US12513GBG38|12513GBG3|United States|2985000|3066|3066|USD|ISHSHYG|12/1/2021|
12/30/2021|CF INDUSTRIES INC|CF|US12527GAC78|12527GAC7|United States|3683000|3805|3805|USD|ISHSHYG|5/23/2013|
12/30/2021|CONTINENTAL RESOURCES INC|CLR|US212015AL58|212015AL5|United States|3442000|3584|3584|USD|ISHSHYG|7/12/2013|
12/30/2021|CONTINENTAL RESOURCES INC|CLR|US212015AN15|212015AN1|United States|3335000|3485|3485|USD|ISHSHYG|9/5/2014|
12/30/2021|DEVON ENERGY CORPORATION|DVN|US25179MBC64|25179MBC6|United States|1052000|1163|1163|USD|ISHSHYG|12/29/2021|
12/30/2021|MICHAEL KORS USA INC       144A|KORS|US59408TAA88|59408TAA8|United States|4060000|4292|4292|USD|ISHSHYG|10/20/2017|
12/30/2021|MICROCHIP TECHNOLOGY INCORPORATED|MCHP|US595017BA15||United States|4707000|4955|4955|USD|ISHSHYG|5/29/2020|
12/30/2021|NEWFIELD EXPLORATION CO|OVV|US651290AQ17|651290AQ1|United States|6880000|7733|7733|USD|ISHSHYG|6/26/2012|
12/30/2021|NEWFIELD EXPLORATION COMPANY|OVV|US651290AR99||United States|1860000|2112|2112|USD|ISHSHYG|3/10/2015|
12/30/2021|WESTERN DIGITAL CORPORATION|WDC|US958102AM75|958102AM7|United States|24165000|26926|26926|USD|ISHSHYG|2/13/2018|
12/30/2021|ARCELORMITTAL|MTNA|US03938LBA17|03938LBA1|Luxembourg|3623000|4016|4016|USD|ISHSHYG|3/11/2019|
12/30/2021|FINANCE OF AMERICA FUNDING LLC 144A|FIAMER|US317386AA83|317386AA8|United States|3633000|3608|3608|USD|ISHSHYG|11/5/2020|
12/30/2021|ACRISURE LLC / ACRISURE FINANCE IN 144A|ACRISU|US00489LAA17||United States|9560000|9686|9686|USD|ISHSHYG|11/17/2017|
12/30/2021|ACRISURE LLC               144A|ACRISU|US00489LAD55|00489LAD5|United States|3750000|4282|4282|USD|ISHSHYG|8/1/2019|
12/30/2021|ALLY FINANCIAL INC|ALLY|US02005NBF69||United States|11153000|12642|12642|USD|ISHSHYG|11/20/2015|
12/30/2021|ASSUREDPARTNERS INC        144A|ASSPAR|US04624VAA70||United States|5260000|5452|5452|USD|ISHSHYG|8/2/2017|
12/30/2021|BROOKFIELD PROPERTY REIT INC 144A|BPR|US11284DAA37|11284DAA3|United States|10160000|10626|10626|USD|ISHSHYG|5/1/2019|
12/30/2021|BLACKSTONE MORTGAGE TRUST INC 144A|BXMT|US09257WAD20|09257WAD2|United States|3700000|3711|3711|USD|ISHSHYG|10/5/2021|
12/30/2021|CREDIT ACCEPTANCE CORPORATION 144A|CACC|US225310AN19|225310AN1|United States|4404000|4511|4511|USD|ISHSHYG|12/18/2019|
12/30/2021|CREDIT ACCEPTANCE CORPORATION|CACC|US225310AM36|225310AM3|United States|3545000|3755|3755|USD|ISHSHYG|3/24/2020|
12/30/2021|CIT GROUP INC|CIT|US125581GQ55|125581GQ5|United States|12143000|12671|12671|USD|ISHSHYG|8/3/2012|
12/30/2021|CIT GROUP INC|CIT|US125581GR39|125581GR3|United States|8221000|8858|8858|USD|ISHSHYG|8/1/2013|
12/30/2021|CIT GROUP INC|CIT|US125581GY89||United States|4542000|4888|4888|USD|ISHSHYG|8/17/2018|
12/30/2021|CIT GROUP INC|CIT|US125581HA94|125581HA9|United States|5248000|5452|5452|USD|ISHSHYG|6/19/2020|
12/30/2021|CIT GROUP INC|CIT|US125581GW24|125581GW2|United States|4852000|5407|5407|USD|ISHSHYG|3/9/2018|
12/30/2021|USIS MERGER SUB INC        144A|COMINV|US91739VAA61||United States|6140000|6263|6263|USD|ISHSHYG|4/18/2017|
12/30/2021|DIVERSIFIED HEALTHCARE TRUST|DHC|US25525PAA57|25525PAA5|United States|9915000|10785|10785|USD|ISHSHYG|6/2/2020|
12/30/2021|ENOVA INTERNATIONAL INC    144A|ENVA|US29357KAF03|29357KAF0|United States|3970000|4186|4186|USD|ISHSHYG|9/19/2018|
12/30/2021|FIVE POINT OPERATING COMPANY LP 144A|FPH|US33834YAA64|33834YAA6|United States|5777000|6104|6104|USD|ISHSHYG|11/22/2017|
12/30/2021|FREEDOM MORTGAGE CORP      144A|FREMOR|US35640YAA55|35640YAA5|United States|4346000|4439|4439|USD|ISHSHYG|11/7/2017|
12/30/2021|FREEDOM MORTGAGE CORP      144A|FREMOR|US35640YAB39||United States|6571000|6844|6844|USD|ISHSHYG|4/9/2018|
12/30/2021|FREEDOM MORTGAGE CORP      144A|FREMOR|US35640YAF43|35640YAF4|United States|6060000|6238|6238|USD|ISHSHYG|10/19/2020|
12/30/2021|FORTRESS TRANSPORTATION AND INFRAS 144A|FTAI|US34960PAB76|34960PAB7|United States|8984000|9453|9453|USD|ISHSHYG|9/18/2018|
12/30/2021|FS ENERGY AND POWER FUND   144A|FSEN|US30264DAA72||United States|5395000|5781|5781|USD|ISHSHYG|8/16/2018|
12/30/2021|GENWORTH HOLDINGS INC|GNW|US372491AG50||United States|4121000|4372|4372|USD|ISHSHYG|10/4/2018|
12/30/2021|ENACT HOLDINGS INC         144A|GNW|US37255LAA52||United States|7960000|8898|8898|USD|ISHSHYG|8/21/2020|
12/30/2021|GREYSTAR REAL ESTATE PARTNERS LLC 144A|GRSTAR|US39807UAB26||United States|4838000|4938|4938|USD|ISHSHYG|11/24/2017|
12/30/2021|HAT HOLDINGS I LLC         144A|HASI|US418751AB93|418751AB9|United States|3760000|3966|3966|USD|ISHSHYG|4/21/2020|
12/30/2021|HAT HOLDINGS I LLC & HAT   144A|HASI|US418751AE33|418751AE3|United States|10050000|10223|10223|USD|ISHSHYG|6/28/2021|
12/30/2021|HUB INTERNATIONAL LTD      144A|HBGCN|US44332PAD33|44332PAD3|United States|16850000|17536|17536|USD|ISHSHYG|4/25/2018|
12/30/2021|HOME POINT CAPITAL         144A|HMPT|US43734LAA44||United States|5649000|5381|5381|USD|ISHSHYG|1/19/2021|
12/30/2021|ICAHN ENTERPRISES LP / ICAHN ENTER|IEP|US451102BM88|451102BM8|United States|5011000|5173|5173|USD|ISHSHYG|5/24/2017|
12/30/2021|ICAHN ENTERPRISES LP|IEP|US451102BW60||United States|11610000|12240|12240|USD|ISHSHYG|3/9/2020|
12/30/2021|ICAHN ENTERPRISES LP|IEP|US451102BQ92|451102BQ9|United States|7850000|8023|8023|USD|ISHSHYG|2/8/2018|
12/30/2021|ICAHN ENTERPRISES LP|IEP|US451102BT32|451102BT3|United States|13206000|13863|13863|USD|ISHSHYG|10/21/2019|
12/30/2021|LADDER CAPITAL FINANCE HOLDINGS LL 144A|LADR|US505742AG11|505742AG1|United States|2565000|2631|2631|USD|ISHSHYG|9/25/2017|
12/30/2021|LD HOLDINGS GROUP LLC      144A|LNDPT|US521088AA24||United States|5175000|5127|5127|USD|ISHSHYG|10/27/2020|
12/30/2021|MAGELLAN HEALTH INC|MGLN|US559079AK49|559079AK4|United States|3669000|4011|4011|USD|ISHSHYG|9/22/2017|
12/30/2021|MPT OPERATING PARTNERSHIP LP / MPT|MPW|US55342UAG94|55342UAG9|United States|3000000|3156|3156|USD|ISHSHYG|7/22/2016|
12/30/2021|NAVIENT CORP MTN|NAVI|US78442FEQ72||United States|10475000|11144|11144|USD|ISHSHYG|1/28/2013|
12/30/2021|NAVIENT CORP|NAVI|US63938CAE84|63938CAE8|United States|3182000|3503|3503|USD|ISHSHYG|9/16/2016|
12/30/2021|NAVIENT CORP MTN|NAVI|US78442FET12|78442FET1|United States|8958000|9714|9714|USD|ISHSHYG|3/27/2014|
12/30/2021|NAVIENT CORP|NAVI|US63938CAB46|63938CAB4|United States|5175000|5599|5599|USD|ISHSHYG|11/6/2014|
12/30/2021|NAVIENT CORP|NAVI|US63938CAH16|63938CAH1|United States|4930000|5436|5436|USD|ISHSHYG|5/26/2017|
12/30/2021|NAVIENT CORP|NAVI|US63938CAJ71|63938CAJ7|United States|5255000|5819|5819|USD|ISHSHYG|6/11/2018|
12/30/2021|NMI HOLDINGS INC           144A|NMIH|US629209AA52|629209AA5|United States|4406000|5027|5027|USD|ISHSHYG|6/19/2020|
12/30/2021|NEW RESIDENTIAL INVESTMENT CORP 144A|NRZ|US64828TAA07|64828TAA0|United States|5835000|5920|5920|USD|ISHSHYG|9/16/2020|
12/30/2021|PHH MORTGAGE CORP          144A|OCN|US69356NAA28|69356NAA2|United States|4240000|4479|4479|USD|ISHSHYG|3/4/2021|
12/30/2021|SPRINGLEAF FINANCE CORP|OMF|US85172FAL31||United States|8360000|8898|8898|USD|ISHSHYG|12/8/2017|
12/30/2021|SPRINGLEAF FINANCE CORP|OMF|US85172FAP45|85172FAP4|United States|13059000|14070|14070|USD|ISHSHYG|2/22/2019|
12/30/2021|SPRINGLEAF FINANCE CORP|OMF|US85172FAM14|85172FAM1|United States|13109000|14885|14885|USD|ISHSHYG|3/12/2018|
12/30/2021|SPRINGLEAF FINANCE CORP|OMF|US85172FAS83|85172FAS8|United States|6291000|6803|6803|USD|ISHSHYG|5/14/2020|
12/30/2021|SPRINGLEAF FINANCE CORP|OMF|US85172FAN96||United States|16785000|19555|19555|USD|ISHSHYG|5/11/2018|
12/30/2021|PENNYMAC FINANCIAL SERVICES INC 144A|PFSI|US70932MAA53|70932MAA5|United States|6965000|7233|7233|USD|ISHSHYG|9/29/2020|
12/30/2021|PARK INTERMEDIATE HOLDINGS LLC 144A|PK|US70052LAA17|70052LAA1|United States|5070000|5379|5379|USD|ISHSHYG|5/29/2020|
12/30/2021|RADIAN GROUP INC|RDN|US750236AU59|750236AU5|United States|4789000|5075|5075|USD|ISHSHYG|9/26/2017|
12/30/2021|RADIAN GROUP INC|RDN|US750236AX98|750236AX9|United States|5223000|5892|5892|USD|ISHSHYG|5/15/2020|
