ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|TREASURY NOTE|TNOTE|US9128282P40|9128282P4|United States|165000|168|168|USD|ISHT1-3|7/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828YA22|912828YA2|United States|10000|10|10|USD|ISHT1-3|8/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US912828L245|912828L24|United States|10000|10|10|USD|ISHT1-3|8/31/2015|
12/30/2021|TREASURY NOTE|TNOTE|US9128282S88|9128282S8|United States|18000|18|18|USD|ISHT1-3|8/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828L575|912828L57|United States|10000|10|10|USD|ISHT1-3|9/30/2015|
12/30/2021|TREASURY NOTE|TNOTE|US9128282W90|9128282W9|United States|13000|13|13|USD|ISHT1-3|10/2/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828YK04|912828YK0|United States|1393000|1409|1409|USD|ISHT1-3|10/15/2019|
12/30/2021|TREASURY NOTE|TNOTE|US9128283C28|9128283C2|United States|3015000|3068|3068|USD|ISHT1-3|10/31/2017|
12/30/2021|TREASURY NOTE|TNOTE|US912828M490|912828M49|United States|271000|275|275|USD|ISHT1-3|11/2/2015|
12/30/2021|TREASURY NOTE|TNOTE|US912828TY62|912828TY6|United States|1538000|1558|1558|USD|ISHT1-3|11/15/2012|
12/30/2021|TREASURY NOTE|TNOTE|US912828M805|912828M80|United States|9045000|9196|9196|USD|ISHT1-3|11/30/2015|
12/30/2021|TREASURY NOTE|TNOTE|US912828N308|912828N30|United States|516121800|524983|524983|USD|ISHT1-3|12/31/2015|
12/30/2021|TREASURY NOTE|TNOTE|US91282CBD20|91282CBD2|United States|53070000|52917|52917|USD|ISHT1-3|12/31/2020|
12/30/2021|TREASURY NOTE|TNOTE|US9128283U26|9128283U2|United States|226663000|233726|233726|USD|ISHT1-3|1/31/2018|
