ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828SA95|912828SA9|United States|321245910|322158|322158|USD|ISHSTIP|1/31/2012|
12/30/2021|TREASURY (CPI) NOTES|TIPS|US912828X398|912828X39|United States|397631240|403901|403901|USD|ISHSTIP|4/28/2017|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828TE09|912828TE0|United States|485261778|497986|497986|USD|ISHSTIP|7/31/2012|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828UH11|912828UH1|United States|678137808|701438|701438|USD|ISHSTIP|1/31/2013|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US9128284H06|9128284H0|United States|913428443|957018|957018|USD|ISHSTIP|4/30/2018|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828B253|912828B25|United States|827164638|883496|883496|USD|ISHSTIP|1/31/2014|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US9128286N55|9128286N5|United States|254919258|272342|272342|USD|ISHSTIP|4/30/2019|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828WU04|912828WU0|United States|490176985|523263|523263|USD|ISHSTIP|7/31/2014|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828YL86|912828YL8|United States|706669315|755659|755659|USD|ISHSTIP|10/31/2019|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828H458|912828H45|United States|245388297|263371|263371|USD|ISHSTIP|1/30/2015|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828ZJ22|912828ZJ2|United States|1278613410|1369623|1369623|USD|ISHSTIP|4/30/2020|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US91282CAQ42|91282CAQ4|United States|413392895|446408|446408|USD|ISHSTIP|10/30/2020|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828N712|912828N71|United States|96783989|106696|106696|USD|ISHSTIP|1/29/2016|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US91282CCA71|91282CCA7|United States|628092323|678821|678821|USD|ISHSTIP|4/30/2021|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US912828S505|912828S50|United States|469977769|511171|511171|USD|ISHSTIP|7/29/2016|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US91282CDC29|91282CDC2|United States|143671855|156434|156434|USD|ISHSTIP|10/29/2021|
12/30/2021|TREASURY (CPI) NOTE|TIPS|US9128282L36|9128282L3|United States|74780503|83237|83237|USD|ISHSTIP|7/31/2017|
12/30/2021|USD CASH|USD|||United States|-267315|-267|-267|USD|ISHSTIP|1/1/1989|
12/30/2021|BLK CSH FND TREASURY SL AGENCY|XTSLA|US0669224778|066922477|United States|19510000|19510|19510|USD|ISHSTIP|2/4/2009|
