STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
SUB,2021-12-31,WORST,2022-01-06,406296.677,1698591.080,2104887.757
SUB,2021-12-31,WORST,2022-01-18,32952.272,299372.057,332324.328
SUB,2021-12-31,WORST,2022-01-30,386.025,16091.052,16477.077
SUB,2021-12-31,WORST,2022-02-01,346251.182,503453.689,849704.871
SUB,2021-12-31,WORST,2022-02-08,34.341,17660.911,17695.251
SUB,2021-12-31,WORST,2022-02-15,122108.053,426923.077,549031.130
SUB,2021-12-31,WORST,2022-03-01,166914.805,923390.895,1090305.700
SUB,2021-12-31,WORST,2022-03-15,149839.548,1079356.358,1229195.906
SUB,2021-12-31,WORST,2022-04-01,263607.155,815777.080,1079384.235
SUB,2021-12-31,WORST,2022-04-15,34791.995,106750.392,141542.387
SUB,2021-12-31,WORST,2022-05-02,275866.965,1320722.135,1596589.100
SUB,2021-12-31,WORST,2022-05-16,115279.500,281946.625,397226.125
SUB,2021-12-31,WORST,2022-06-01,250886.094,1480533.752,1731419.846
SUB,2021-12-31,WORST,2022-06-15,133277.920,1105416.013,1238693.933
SUB,2021-12-31,WORST,2022-06-23,15349.729,392464.678,407814.407
SUB,2021-12-31,WORST,2022-06-29,4730.508,125588.697,130319.205
SUB,2021-12-31,WORST,2022-06-30,7591.784,251177.394,258769.178
SUB,2021-12-31,WORST,2022-07-01,402572.824,4498665.620,4901238.444
SUB,2021-12-31,WORST,2022-07-15,28142.229,559183.673,587325.903
SUB,2021-12-31,WORST,2022-08-01,340120.977,2923469.388,3263590.365
SUB,2021-12-31,WORST,2022-08-15,112987.392,1136183.956,1249171.348
SUB,2021-12-31,WORST,2022-09-01,149322.148,1166562.009,1315884.158
SUB,2021-12-31,WORST,2022-09-15,122210.361,47488.226,169698.587
SUB,2021-12-31,WORST,2022-10-03,243596.743,1975824.176,2219420.918
SUB,2021-12-31,WORST,2022-10-17,34178.571,107535.322,141713.893
SUB,2021-12-31,WORST,2022-11-01,246092.720,1836342.229,2082434.949
SUB,2021-12-31,WORST,2022-11-15,108235.871,686891.680,795127.551
SUB,2021-12-31,WORST,2022-12-01,211164.050,820722.135,1031886.185
SUB,2021-12-31,WORST,2022-12-15,104653.552,738304.553,842958.104
SUB,2021-12-31,WORST,2023-01-03,288987.539,1348901.099,1637888.638
SUB,2021-12-31,WORST,2023-01-17,14079.670,23233.909,37313.579
SUB,2021-12-31,WORST,2023-02-01,270301.675,797723.705,1068025.380
SUB,2021-12-31,WORST,2023-02-07,135.366,130298.273,130433.639
SUB,2021-12-31,WORST,2023-02-15,85593.358,917032.967,1002626.325
SUB,2021-12-31,WORST,2023-03-01,119613.520,914207.221,1033820.742
SUB,2021-12-31,WORST,2023-03-15,121023.155,1651020.408,1772043.564
SUB,2021-12-31,WORST,2023-04-03,194787.775,883437.991,1078225.765
SUB,2021-12-31,WORST,2023-04-17,31490.188,200549.451,232039.639
SUB,2021-12-31,WORST,2023-04-20,399.660,44270.016,44669.676
SUB,2021-12-31,WORST,2023-05-01,202557.398,1117425.432,1319982.830
SUB,2021-12-31,WORST,2023-05-15,91063.579,1045525.903,1136589.482
SUB,2021-12-31,WORST,2023-06-01,191188.776,1317268.446,1508457.221
SUB,2021-12-31,WORST,2023-06-15,85966.641,1070879.121,1156845.761
SUB,2021-12-31,WORST,2023-07-01,167.452,10047.096,10214.547
SUB,2021-12-31,WORST,2023-07-03,251882.359,2560282.575,2812164.933
SUB,2021-12-31,WORST,2023-07-17,13498.823,30769.231,44268.053
SUB,2021-12-31,WORST,2023-08-01,252427.885,2888775.510,3141203.395
SUB,2021-12-31,WORST,2023-08-15,61861.018,257064.364,318925.383
SUB,2021-12-31,WORST,2023-09-01,96758.340,652197.802,748956.142
SUB,2021-12-31,WORST,2023-09-15,79740.385,100313.972,180054.356
SUB,2021-12-31,WORST,2023-10-02,172738.520,1398901.099,1571639.619
SUB,2021-12-31,WORST,2023-10-16,26476.452,448744.113,475220.565
SUB,2021-12-31,WORST,2023-11-01,176634.714,1414756.672,1591391.386
SUB,2021-12-31,WORST,2023-11-15,64925.432,219623.234,284548.666
SUB,2021-12-31,WORST,2023-12-01,159085.297,999921.507,1159006.804
