STREET_TICKER,ASOF_DATE,CALL_TYPE,CASHFLOW_DATE,INTEREST,PRINCIPAL,CASHFLOW
TIP,2021-12-31,WORST,2022-01-06,0.000,20284.350,20284.350
TIP,2021-12-31,WORST,2022-01-18,149625.705,386.292,150011.998
TIP,2021-12-31,WORST,2022-02-15,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2022-04-18,90136.360,11994.379,102130.739
TIP,2021-12-31,WORST,2022-05-02,17.285,0.000,17.285
TIP,2021-12-31,WORST,2022-05-16,10.251,0.000,10.251
TIP,2021-12-31,WORST,2022-05-31,37.749,0.000,37.749
TIP,2021-12-31,WORST,2022-07-15,150027.686,0.000,150027.686
TIP,2021-12-31,WORST,2022-08-15,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2022-10-17,90128.864,0.000,90128.864
TIP,2021-12-31,WORST,2022-10-31,17.285,0.000,17.285
TIP,2021-12-31,WORST,2022-11-15,10.251,0.000,10.251
TIP,2021-12-31,WORST,2022-11-30,37.749,0.000,37.749
TIP,2021-12-31,WORST,2023-01-17,150027.686,5028428.405,5178456.091
TIP,2021-12-31,WORST,2023-02-15,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2023-04-17,90128.864,4627183.389,4717312.253
TIP,2021-12-31,WORST,2023-05-01,17.285,0.000,17.285
TIP,2021-12-31,WORST,2023-05-15,10.251,0.000,10.251
TIP,2021-12-31,WORST,2023-05-31,37.749,0.000,37.749
TIP,2021-12-31,WORST,2023-07-17,146884.918,2006960.982,2153845.900
TIP,2021-12-31,WORST,2023-08-15,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2023-10-16,75668.904,0.000,75668.904
TIP,2021-12-31,WORST,2023-10-31,17.285,0.000,17.285
TIP,2021-12-31,WORST,2023-11-15,10.251,0.000,10.251
TIP,2021-12-31,WORST,2023-11-30,37.749,0.000,37.749
TIP,2021-12-31,WORST,2024-01-16,143121.867,1217896.282,1361018.162
TIP,2021-12-31,WORST,2024-02-15,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2024-04-15,75668.904,9975937.173,10051606.077
TIP,2021-12-31,WORST,2024-04-30,17.285,0.000,17.285
TIP,2021-12-31,WORST,2024-05-15,10.251,0.000,10.251
TIP,2021-12-31,WORST,2024-05-31,37.749,0.000,37.749
TIP,2021-12-31,WORST,2024-07-15,139315.942,1105818.669,1245134.611
TIP,2021-12-31,WORST,2024-08-15,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2024-10-15,50729.078,3893331.515,3944060.593
TIP,2021-12-31,WORST,2024-10-31,17.285,0.000,17.285
TIP,2021-12-31,WORST,2024-11-15,10.251,0.000,10.251
TIP,2021-12-31,WORST,2024-12-02,37.749,0.000,37.749
TIP,2021-12-31,WORST,2025-01-15,138624.802,2858658.843,2997283.645
TIP,2021-12-31,WORST,2025-02-18,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2025-04-15,48295.730,7587932.515,7636228.244
TIP,2021-12-31,WORST,2025-04-30,17.285,0.000,17.285
TIP,2021-12-31,WORST,2025-05-15,10.251,0.000,10.251
TIP,2021-12-31,WORST,2025-06-02,37.749,0.000,37.749
TIP,2021-12-31,WORST,2025-07-15,135051.472,188111.009,323162.481
TIP,2021-12-31,WORST,2025-08-15,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2025-10-15,43553.305,1253410.299,1296963.604
TIP,2021-12-31,WORST,2025-10-31,17.285,0.000,17.285
TIP,2021-12-31,WORST,2025-11-17,10.251,0.000,10.251
TIP,2021-12-31,WORST,2025-12-01,37.749,0.000,37.749
TIP,2021-12-31,WORST,2026-01-15,134698.764,9347440.769,9482139.615
TIP,2021-12-31,WORST,2026-02-17,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2026-04-15,42769.920,3330980.577,3373750.498
TIP,2021-12-31,WORST,2026-04-30,17.285,0.000,17.285
TIP,2021-12-31,WORST,2026-05-15,10.251,0.000,10.251
TIP,2021-12-31,WORST,2026-06-01,37.749,10066.401,10104.150
TIP,2021-12-31,WORST,2026-07-15,98215.390,3237978.897,3336194.287
TIP,2021-12-31,WORST,2026-08-17,74792.486,0.000,74792.486
TIP,2021-12-31,WORST,2026-10-15,40688.046,1122482.657,1163170.703
