iShares 20+ Year Treasury Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Jul 22, 2002"
Shares Outstanding,"133,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"TREASURY BOND","Treasuries","Fixed Income","2,210,742,797.26","11.24","2,210,742,797.26","2,218,376,000.00","912810SU3","US912810SU34","BLH1TN8","98.94","United States","-","USD","22.01","1.92","1.00","Feb 15, 2051","1.88","22.16","-","1.92","22.16","1.92","USD","Feb 15, 2021","Feb 16, 2021"
"TREASURY BOND","Treasuries","Fixed Income","1,727,582,795.12","8.78","1,727,582,795.12","1,392,148,100.00","912810SF6","US912810SF66","BJ7G9G2","122.95","United States","-","USD","19.15","1.91","1.00","Feb 15, 2049","3.00","19.32","-","1.91","19.32","1.91","USD","Feb 15, 2019","Feb 15, 2019"
"TREASURY BOND","Treasuries","Fixed Income","1,214,315,665.74","6.17","1,214,315,665.74","983,150,000.00","912810SD1","US912810SD19","BFZLQN7","122.36","United States","-","USD","18.88","1.92","1.00","Aug 15, 2048","3.00","19.04","-","1.92","19.04","1.92","USD","Aug 15, 2018","Aug 15, 2018"
"TREASURY BOND","Treasuries","Fixed Income","1,136,602,536.64","5.78","1,136,602,536.64","974,852,500.00","912810RB6","US912810RB61","B8W8CX4","116.20","United States","-","USD","16.24","1.94","1.00","May 15, 2043","2.88","16.35","-","1.94","16.35","1.94","USD","May 15, 2013","May 15, 2013"
"TREASURY BOND","Treasuries","Fixed Income","1,063,518,854.19","5.41","1,063,518,854.19","863,216,700.00","912810SA7","US912810SA79","BG0D0F5","122.05","United States","-","USD","18.62","1.92","1.00","Feb 15, 2048","3.00","18.78","-","1.92","18.78","1.92","USD","Feb 15, 2018","Feb 15, 2018"
"TREASURY BOND (OLD)","Treasuries","Fixed Income","1,013,077,720.76","5.15","1,013,077,720.76","986,407,200.00","912810SZ2","US912810SZ21","BMWVP21","101.94","United States","-","USD","22.03","1.91","1.00","Aug 15, 2051","2.00","22.20","-","1.91","22.20","1.91","USD","Aug 15, 2021","Aug 16, 2021"
"TREASURY BOND","Treasuries","Fixed Income","948,233,875.19","4.82","948,233,875.19","1,015,370,600.00","912810SS8","US912810SS87","BN7JWV5","93.17","United States","-","USD","22.50","1.93","1.00","Nov 15, 2050","1.63","22.64","-","1.93","22.64","1.93","USD","Nov 15, 2020","Nov 16, 2020"
"TREASURY BOND","Treasuries","Fixed Income","923,103,776.02","4.69","923,103,776.02","901,992,600.00","912810SL3","US912810SL35","BK8ZZ34","101.57","United States","-","USD","21.19","1.93","1.00","Feb 15, 2050","2.00","21.34","-","1.93","21.34","1.93","USD","Feb 15, 2020","Feb 18, 2020"
"TREASURY BOND","Treasuries","Fixed Income","917,756,890.92","4.67","917,756,890.92","731,865,900.00","912810SC3","US912810SC36","BD59D47","124.98","United States","-","USD","18.72","1.91","1.00","May 15, 2048","3.13","18.89","-","1.91","18.89","1.91","USD","May 15, 2018","May 15, 2018"
"TREASURY BOND","Treasuries","Fixed Income","873,065,226.15","4.44","873,065,226.15","783,561,500.00","912810RQ3","US912810RQ31","BD2C0D7","110.46","United States","-","USD","18.13","1.95","1.00","Feb 15, 2046","2.50","18.26","-","1.95","18.26","1.95","USD","Feb 15, 2016","Feb 16, 2016"
