ASOF_DATE|NAME|TICKER|ISIN|CUSIP|COUNTRY|POSITION_AMOUNT|MARKET_VALUE_IN_THOUSANDS|LOCAL_MARKET_VALUE_IN_THOUSANDS|CURRENCY|PORTFOLIO_TICKER|Issue_Date
12/30/2021|ELECTRICITE DE FRANCE SA   144A|EDF|US268317AF12||France|8650000|9159|9159|USD|ISHUSHY|1/29/2013|
12/30/2021|ELECTRICITE DE FRANCE SA   144A|EDF|US268317AM62|268317AM6|France|8075000|8716|8716|USD|ISHUSHY|1/22/2014|
12/30/2021|NEW YORK COMMUNITY BANCORP INC|NYCB|US649445AC78|649445AC7|United States|1510000|1639|1639|USD|ISHUSHY|11/6/2018|
12/30/2021|CDW LLC / CDW FINANCE CORP|CDWC|US12513GBA67||United States|2673000|2932|2932|USD|ISHUSHY|12/1/2014|
12/30/2021|CDW LLC|CDWC|US12513GBE89|12513GBE8|United States|3168000|3277|3277|USD|ISHUSHY|4/21/2020|
12/30/2021|CDW LLC|CDWC|US12513GBD07||United States|2909000|3034|3034|USD|ISHUSHY|9/26/2019|
12/30/2021|CDW LLC|CDWC|US12513GBF54|12513GBF5|United States|3896000|3980|3980|USD|ISHUSHY|8/13/2020|
12/30/2021|DELL INC|DELL|US24702RAF82||United States|1801000|2347|2347|USD|ISHUSHY|12/3/2008|
12/30/2021|DELL INC|DELL|US24702RAM34|24702RAM3|United States|486000|558|558|USD|ISHUSHY|9/10/2010|
12/30/2021|MICHAEL KORS USA INC       144A|KORS|US59408TAA88|59408TAA8|United States|3529000|3718|3718|USD|ISHUSHY|10/20/2017|
12/30/2021|WESTERN DIGITAL CORPORATION|WDC|US958102AM75|958102AM7|United States|11518000|12819|12819|USD|ISHUSHY|2/13/2018|
12/30/2021|LLOYDS BANKING GROUP PLC|LLOYDS|US53944YAQ61|53944YAQ6|United Kingdom|4653000|4616|4616|USD|ISHUSHY|12/14/2021|
12/30/2021|BRITISH TELECOMMUNICATIONS PLC NC5 144A|BRITEL|US11102AAF84||United Kingdom|2800000|2823|2823|USD|ISHUSHY|11/23/2021|
12/30/2021|BRITISH TELECOMMUNICATIONS PLC N10 144A|BRITEL|US11102AAG67||United Kingdom|2700000|2734|2734|USD|ISHUSHY|11/23/2021|
12/30/2021|DRESDNER FUNDING TRUST I   144A|CMZB|US26156FAA12||Germany|4936000|6966|6966|USD|ISHUSHY|5/25/1999|
12/30/2021|GOLDMAN SACHS CAPITAL I|GS|US38143VAA70||United States|5108000|7151|7151|USD|ISHUSHY|2/20/2004|
12/30/2021|GLOBAL ATLANTIC (FIN) CO   144A|GBLATL|US37959GAC15||United States|4100000|4194|4194|USD|ISHUSHY|7/6/2021|
12/30/2021|KONINKLIJKE KPN NV         144A|KPN|US50048VAA89|50048VAA8|Netherlands|3780000|4035|4035|USD|ISHUSHY|3/28/2013|
12/30/2021|RAKUTEN GROUP INC          144A|RAKUTN|US75102WAA62|75102WAA6|Japan|4100000|4155|4155|USD|ISHUSHY|4/22/2021|
12/30/2021|RAKUTEN GROUP INC          144A|RAKUTN|US75102WAB46|75102WAB4|Japan|5625000|6001|6001|USD|ISHUSHY|4/22/2021|
12/30/2021|STANDARD CHARTERED PLC     144A|STANLN|US853254AB69||United Kingdom|4050000|5768|5768|USD|ISHUSHY|5/25/2007|
12/30/2021|VODAFONE GROUP PLC|VOD|US92857WBQ24|92857WBQ2|United Kingdom|10813000|13257|13257|USD|ISHUSHY|4/4/2019|
12/30/2021|VODAFONE GROUP PLC|VOD|US92857WBV19|92857WBV1|United Kingdom|2825000|2822|2822|USD|ISHUSHY|6/4/2021|
12/30/2021|VODAFONE GROUP PLC|VOD|US92857WBW91|92857WBW9|United Kingdom|5825000|5784|5784|USD|ISHUSHY|6/4/2021|
12/30/2021|VODAFONE GROUP PLC|VOD|US92857WBX74||United Kingdom|5406000|5548|5548|USD|ISHUSHY|6/4/2021|
12/30/2021|FINANCE OF AMERICA FUNDING LLC 144A|FIAMER|US317386AA83|317386AA8|United States|2009000|1996|1996|USD|ISHUSHY|11/5/2020|
12/30/2021|FIRSTCASH INC              144A|FCFS|US33767DAB10|33767DAB1|United States|2802000|2843|2843|USD|ISHUSHY|8/26/2020|
12/30/2021|FIRSTCASH INC              144A|FCFS|US31944TAA88|31944TAA8|United States|2280000|2324|2324|USD|ISHUSHY|12/13/2021|
12/30/2021|ACRISURE LLC / ACRISURE FINANCE IN 144A|ACRISU|US00489LAA17||United States|5252000|5315|5315|USD|ISHUSHY|11/17/2017|
12/30/2021|ACRISURE LLC               144A|ACRISU|US00489LAD55|00489LAD5|United States|2347000|2674|2674|USD|ISHUSHY|8/1/2019|
12/30/2021|ACRISURE LLC               144A|ACRISU|US00489LAF04|00489LAF0|United States|3731000|3697|3697|USD|ISHUSHY|2/16/2021|
12/30/2021|ACRISURE LLC               144A|ACRISU|US00489LAH69|00489LAH6|United States|2730000|2753|2753|USD|ISHUSHY|8/10/2021|
12/30/2021|AG MERGER SUB II INC       144A|ADVGRO|US00791GAA58||United States|2315000|2681|2681|USD|ISHUSHY|8/1/2019|
12/30/2021|AG ISSUER LLC              144A|ADVGRO|US00119LAA98|00119LAA9|United States|2738000|2904|2904|USD|ISHUSHY|2/13/2020|
12/30/2021|AERCAP GLOBAL AVIATION TRUST 144A|AER|US00773HAA59|00773HAA5|Ireland|2893000|3132|3132|USD|ISHUSHY|6/9/2015|
12/30/2021|AMERICAN FINANCE TRUST INC 144A|AFIN|US02608AAA79|02608AAA7|United States|2675000|2722|2722|USD|ISHUSHY|10/7/2021|
12/30/2021|ASSURANT INC|AIZ|US04621XAK46||United States|1878000|2173|2173|USD|ISHUSHY|3/27/2018|
12/30/2021|ALLY FINANCIAL INC|ALLY|US02005NBF69||United States|5438000|6169|6169|USD|ISHUSHY|11/20/2015|
12/30/2021|AMWINS GROUP INC           144A|AMWINS|US031921AB57|031921AB5|United States|4630000|4777|4777|USD|ISHUSHY|7/19/2021|
12/30/2021|APOLLO COMMERCIAL REAL ESTATE FINA 144A|ARI|US03762UAD72|03762UAD7|United States|2885000|2821|2821|USD|ISHUSHY|6/29/2021|
12/30/2021|ASSUREDPARTNERS INC        144A|ASSPAR|US04624VAA70||United States|2895000|2993|2993|USD|ISHUSHY|8/2/2017|
12/30/2021|GTCR (AP) FINANCE INC      144A|ASSPAR|US40060QAA31|40060QAA3|United States|2697000|2818|2818|USD|ISHUSHY|5/13/2019|
12/30/2021|ASSUREDPARTNERS INC        144A|ASSPAR|US04624VAB53|04624VAB5|United States|3182000|3190|3190|USD|ISHUSHY|12/10/2020|
12/30/2021|BROOKFIELD PROPERTY REIT INC 144A|BPR|US11284DAA37|11284DAA3|United States|5370000|5597|5597|USD|ISHUSHY|5/1/2019|
12/30/2021|BROOKFIELD PROPERTY REIT INC 144A|BPR|US11284DAC92|11284DAC9|United States|4615000|4610|4610|USD|ISHUSHY|9/29/2021|
12/30/2021|BROADSTREET PARTNERS INC   144A|BROPAR|US11135RAA32||United States|4090000|4048|4048|USD|ISHUSHY|4/21/2021|
12/30/2021|BLACKSTONE MORTGAGE TRUST INC 144A|BXMT|US09257WAD20|09257WAD2|United States|2200000|2197|2197|USD|ISHUSHY|10/5/2021|
12/30/2021|CREDIT ACCEPTANCE CORPORATION 144A|CACC|US225310AN19|225310AN1|United States|2364000|2423|2423|USD|ISHUSHY|12/18/2019|
12/30/2021|CREDIT ACCEPTANCE CORPORATION|CACC|US225310AM36|225310AM3|United States|2298000|2436|2436|USD|ISHUSHY|3/24/2020|
12/30/2021|ARETEC ESCROW ISSUER INC   144A|CETERA|US040133AA87|040133AA8|United States|2281000|2377|2377|USD|ISHUSHY|4/8/2021|
12/30/2021|CIT GROUP INC|CIT|US125581GR39|125581GR3|United States|3056000|3280|3280|USD|ISHUSHY|8/1/2013|
12/30/2021|CIT GROUP INC|CIT|US125581GY89||United States|2404000|2582|2582|USD|ISHUSHY|8/17/2018|
12/30/2021|CIT GROUP INC|CIT|US125581HA94|125581HA9|United States|2565000|2658|2658|USD|ISHUSHY|6/19/2020|
12/30/2021|CIT GROUP INC|CIT|US125581GW24|125581GW2|United States|2368000|2640|2640|USD|ISHUSHY|3/9/2018|
12/30/2021|CIT GROUP INC|CIT|US125581GX07|125581GX0|United States|2751000|3374|3374|USD|ISHUSHY|3/9/2018|
12/30/2021|CENTENE CORPORATION|CNC|US15135BAR24|15135BAR2|United States|13212000|13797|13797|USD|ISHUSHY|5/6/2020|
12/30/2021|CENTENE CORPORATION|CNC|US15135BAY74|15135BAY7|United States|12790000|12818|12818|USD|ISHUSHY|7/1/2021|
12/30/2021|CENTENE CORPORATION|CNC|US15135BAT89|15135BAT8|United States|19414000|20883|20883|USD|ISHUSHY|5/6/2020|
12/30/2021|CENTENE CORPORATION|CNC|US15135BAV36|15135BAV3|United States|11249000|11644|11644|USD|ISHUSHY|5/6/2020|
12/30/2021|CENTENE CORPORATION|CNC|US15135BAW19||United States|12302000|12563|12563|USD|ISHUSHY|10/7/2020|
12/30/2021|CENTENE CORPORATION|CNC|US15135BAX91||United States|12325000|12100|12100|USD|ISHUSHY|2/17/2021|
